mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
23	22	1/4	1/4	3/4	2	1		I(#42)				I(#42)	I			#42					M	2, 4, 6		0	2
23	22	1/2	1/2	3/4	2	1		I				I	I								M	0, 4, 1		0	0
24	23	0	0	3/4	2	1		IV				IV	IV								M	-1, 3, 0		-1	-1
25	24	0	0	3/4	2	1		I				I	I								M	0, 4, 1		0	0
25	24	1/2	1/2	3/4	2	1		vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
26	25	0	0	3/4	2	1		V.V7		V		V7	V		7						Mm7	1, 5, 2, -1		1	1
26	25	1/8	1/8	3/4	2	1		#viio7/vii				#viio7/vii	#vii	o	7		vii				o7	3, 0, -3, -6		3	3
26	25	1/4	1/4	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
27	26	0	0	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
27	26	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
27	26	1/4	1/4	3/4	2	1		I(#42)				I(#42)	I			#42					M	2, 4, 6		0	2
27	26	1/2	1/2	3/4	2	1		I				I	I								M	0, 4, 1		0	0
28	27	0	0	3/4	2	1		vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
28	27	1/4	1/4	3/4	2	1		V/V				V/V	V				V				M	2, 6, 3		2	2
29	28	0	0	3/4	2	1		V\\				V	V							\\	M	1, 5, 2		1	1
30	29	0	0	3/4	2	1		V.V7		V		V7	V		7						Mm7	1, 5, 2, -1		1	1
30	29	1/8	1/8	3/4	2	1		#viio7/vii				#viio7/vii	#vii	o	7		vii				o7	3, 0, -3, -6		3	3
30	29	1/4	1/4	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
31	30	0	0	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
31	30	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
31	30	1/4	1/4	3/4	2	1		I(#42)				I(#42)	I			#42					M	2, 4, 6		0	2
31	30	1/2	1/2	3/4	2	1		I				I	I								M	0, 4, 1		0	0
32	31	0	0	3/4	2	1		IV				IV	IV								M	-1, 3, 0		-1	-1
33	32	0	0	3/4	2	1		I				I	I								M	0, 4, 1		0	0
33	32	1/2	1/2	3/4	2	1		vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
34	33	0	0	3/4	2	1		V.V7		V		V7	V		7						Mm7	1, 5, 2, -1		1	1
34	33	1/8	1/8	3/4	2	1		#viio7/vii				#viio7/vii	#vii	o	7		vii				o7	3, 0, -3, -6		3	3
34	33	1/4	1/4	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
35	34	0	0	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
35	34	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
35	34	1/4	1/4	3/4	2	1		I(#42)				I(#42)	I			#42					M	2, 4, 6		0	2
35	34	1/2	1/2	3/4	2	1		I				I	I								M	0, 4, 1		0	0
36	35	0	0	3/4	2	1		V				V	V								M	1, 5, 2		1	1
36	35	1/4	1/4	3/4	2	1		V7(6)				V7(6)	V		7	6					Mm7	1, 5, -3, -1		1	1
36	35	1/2	1/2	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
37	36	0	0	3/4	2	1		V/IV\\				V/IV	V				IV			\\	M	0, 4, 1		0	0
37	36	1/2	1/2	3/4	2	1		V7/IV				V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0
38	37	0	0	3/4	2	1		I.V7		I		V7	V		7						Mm7	1, 5, 2, -1		1	1
39	38	0	0	3/4	2	1		#viio2/vii				#viio2/vii	#vii	o	2		vii				o7	-6, 3, 0, -3		3	-6
39	38	1/2	1/2	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
40	39	0	0	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
41	40	0	0	3/4	2	1		#viio2/vii				#viio2/vii	#vii	o	2		vii				o7	-6, 3, 0, -3		3	-6
41	40	1/2	1/2	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
42	41	0	0	3/4	2	1		#viio7/vi				#viio7/vi	#vii	o	7		vi				o7	1, -2, -5, -8		1	1
42	41	1/4	1/4	3/4	2	1		V65/vi				V65/vi	V		65		vi				Mm7	1, -2, -5, -3		-3	1
43	42	0	0	3/4	2	1		vi(4)				vi(4)	vi			4					m	-4, 2, -3		-4	-4
43	42	1/8	1/8	3/4	2	1		vi				vi	vi								m	-4, -7, -3		-4	-4
43	42	1/2	1/2	3/4	2	1		#ivo7(4)				#ivo7(4)	#iv	o	7	4					o7	6, -2, 0, -3		6	6
43	42	5/8	5/8	3/4	2	1		#ivo7				#ivo7	#iv	o	7						o7	6, 3, 0, -3		6	6
44	43	0	0	3/4	2	1		V(4)				V(4)	V			4					M	1, 0, 2		1	1
44	43	1/2	1/2	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
45	44	0	0	3/4	2	1		I(4)				I(4)	I			4					M	0, -1, 1		0	0
45	44	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
45	44	1/4	1/4	3/4	2	1		I\\				I	I							\\	M	0, 4, 1		0	0
46	45	0	0	3/4	2	1		IV.I		IV		I	I								M	0, 4, 1		0	0
46	45	1/8	1/8	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
46	45	1/4	1/4	3/4	2	1		I				I	I								M	0, 4, 1		0	0
47	46	0	0	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
47	46	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
47	46	1/4	1/4	3/4	2	1		I				I	I								M	0, 4, 1		0	0
48	47	0	0	3/4	2	1		I				I	I								M	0, 4, 1		0	0
48	47	1/8	1/8	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
48	47	1/4	1/4	3/4	2	1		I				I	I								M	0, 4, 1		0	0
49	48	0	0	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
49	48	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
49	48	1/4	1/4	3/4	2	1		I				I	I								M	0, 4, 1		0	0
50	49	0	0	3/4	2	1		V7(6)/vi				V7(6)/vi	V		7	6	vi				Mm7	-3, 1, -7, -5		-3	-3
50	49	1/8	1/8	3/4	2	1		V7/vi				V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
50	49	1/4	1/4	3/4	2	1		V7/vi				V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
51	50	0	0	3/4	2	1		vi(42)				vi(42)	vi			42					m	-2, 2, -3		-4	-2
51	50	1/8	1/8	3/4	2	1		vi				vi	vi								m	-4, -7, -3		-4	-4
51	50	1/4	1/4	3/4	2	1		vi				vi	vi								m	-4, -7, -3		-4	-4
52	51	0	0	3/4	2	1		V7(42)				V7(42)	V		7	42					Mm7	-4, 0, 2, -1		1	-4
52	51	3/8	3/8	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
52	51	5/8	5/8	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
53	52	0	0	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
53	52	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
53	52	1/4	1/4	3/4	2	1		I\\				I	I							\\	M	0, 4, 1		0	0
54	53	0	0	3/4	2	1		I				I	I								M	0, 4, 1		0	0
54	53	1/8	1/8	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
54	53	1/4	1/4	3/4	2	1		I				I	I								M	0, 4, 1		0	0
55	54	0	0	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
55	54	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
55	54	1/4	1/4	3/4	2	1		I				I	I								M	0, 4, 1		0	0
56	55	0	0	3/4	2	1		I				I	I								M	0, 4, 1		0	0
56	55	3/8	3/8	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
56	55	1/2	1/2	3/4	2	1		I				I	I								M	0, 4, 1		0	0
57	56	0	0	3/4	2	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
57	56	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
57	56	1/4	1/4	3/4	2	1		I				I	I								M	0, 4, 1		0	0
58	57	0	0	3/4	2	1		V7/vi				V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
59	58	0	0	3/4	2	1		vi(9)				vi(9)	vi			9					m	-4, -7, -3	-2	-4	-4
59	58	1/8	1/8	3/4	2	1		vi				vi	vi								m	-4, -7, -3		-4	-4
59	58	1/4	1/4	3/4	2	1		vi				vi	vi								m	-4, -7, -3		-4	-4
59	58	1/2	1/2	3/4	2	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
60	59	0	0	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
61	60	0	0	3/4	2	1		I(9)				I(9)	I			9					M	0, 4, 1	2	0	0
61	60	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
61	60	1/4	1/4	3/4	2	1		I\\				I	I							\\	M	0, 4, 1		0	0
62	61	0	0	3/4	2	1		I.V7		I		V7	V		7						Mm7	1, 5, 2, -1		1	1
63	62	0	0	3/4	2	1		#viio2/vii				#viio2/vii	#vii	o	2		vii				o7	-6, 3, 0, -3		3	-6
63	62	1/2	1/2	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
64	63	0	0	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
65	64	0	0	3/4	2	1		#viio2/vii				#viio2/vii	#vii	o	2		vii				o7	-6, 3, 0, -3		3	-6
65	64	1/2	1/2	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
66	65	0	0	3/4	2	1		#viio7/vi				#viio7/vi	#vii	o	7		vi				o7	1, -2, -5, -8		1	1
66	65	1/4	1/4	3/4	2	1		V65/vi				V65/vi	V		65		vi				Mm7	1, -2, -5, -3		-3	1
67	66	0	0	3/4	2	1		vi(4)				vi(4)	vi			4					m	-4, 2, -3		-4	-4
67	66	1/8	1/8	3/4	2	1		vi				vi	vi								m	-4, -7, -3		-4	-4
67	66	1/2	1/2	3/4	2	1		#ivo7(4)				#ivo7(4)	#iv	o	7	4					o7	6, -2, 0, -3		6	6
67	66	5/8	5/8	3/4	2	1		#ivo7				#ivo7	#iv	o	7						o7	6, 3, 0, -3		6	6
68	67	0	0	3/4	2	1		V(4)				V(4)	V			4					M	1, 0, 2		1	1
68	67	1/2	1/2	3/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
69	68	0	0	3/4	2	1		I(4)				I(4)	I			4					M	0, -1, 1		0	0
69	68	1/8	1/8	3/4	2	1		I				I	I								M	0, 4, 1		0	0
69	68	1/4	1/4	3/4	2	1		I\\				I	I							\\	M	0, 4, 1		0	0
