mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
28	27	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
29	28	0	V		D	V		V	V						M	0	0	1, 5, 2		1.0	1.0
29	28	1/2	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
30	29	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
31	30	0	ii6(2)		D	V		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
31	30	1/4	ii6		D	V		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
32	31	0	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
33	32	0	I\\		D	V		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
33	32	1/2	V7/IV		D	V		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
34	33	0	.I.I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
35	34	0	V7(6)		D	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
35	34	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
36	35	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
37	36	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
37	36	1/2	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
38	37	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
39	38	0	ii6(2)		D	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
39	38	1/4	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
40	39	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
41	40	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
42	41	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
43	42	0	V7(6)		D	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
43	42	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
44	43	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
45	44	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
45	44	1/2	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
46	45	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
47	46	0	ii6(2)		D	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
47	46	1/4	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
48	47	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
49	48	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
50	49	0	.bVI.I		D	bVI		I	I						M	0	0	0, 4, 1		0.0	0.0
50	49	1/2	I(#4)		D	bVI		I(#4)	I			#4			M	0	0	0, 4, 6		0.0	0.0
51	50	0	V(94)		D	bVI		V(94)	V			94			M	0	0	1, 0, 2	3	1.0	1.0
51	50	1/8	V(4)		D	bVI		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
51	50	1/4	V7		D	bVI		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
52	51	0	I		D	bVI		I	I						M	0	0	0, 4, 1		0.0	0.0
52	51	1/2	I(#4)		D	bVI		I(#4)	I			#4			M	0	0	0, 4, 6		0.0	0.0
53	52	0	V6(9)		D	bVI		V6(9)	V		6	9			M	0	0	5, 2, 1	3	1.0	5.0
53	52	1/8	V6		D	bVI		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
53	52	1/2	V		D	bVI		V	V						M	0	0	1, 5, 2		1.0	1.0
54	53	0	V7/V		D	bVI		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
55	54	0	V(4)		D	bVI		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
55	54	1/2	V		D	bVI		V	V						M	0	0	1, 5, 2		1.0	1.0
56	55	0	V7(6)/V		D	bVI		V7(6)/V	V		7	6	V		Mm7	0	0	2, 6, 5, 0		2.0	2.0
56	55	1/2	V7/V		D	bVI		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
57	56	0	V9		D	bVI										0	0				
57	56	1/2	V7\\		D	bVI		V7	V		7			\\	Mm7	0	0	1, 5, 2, -1		1.0	1.0
58	57	0	I		D	bVI		I	I						M	0	0	0, 4, 1		0.0	0.0
58	57	1/2	I(#4)		D	bVI		I(#4)	I			#4			M	0	0	0, 4, 6		0.0	0.0
59	58	0	V6(b2)		D	bVI		V6(b2)	V		6	b2			M	0	0	5, 2, -4		1.0	5.0
59	58	1/8	V6		D	bVI		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
60	59	0	i		D	bVI		i	i						m	0	0	0, -3, 1		0.0	0.0
60	59	1/2	i(#4)		D	bVI		i(#4)	i			#4			m	0	0	0, -3, 6		0.0	0.0
61	60	0	V7/bIII		D	bVI		V7/bIII	V		7		bIII		Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0
61	60	1/4	V(64)/bIII		D	bVI		V(64)/bIII	V			64	bIII		M	0	0	-2, -3, 1		-2.0	-2.0
62	61	0	V7/bIII		D	bVI		V7/bIII	V		7		bIII		Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0
63	62	0	.bIII(4)		D	bVI		bIII(4)	bIII			4			M	0	0	-3, 3, -2		-3.0	-3.0
63	62	1/2	.bIII		D	bVI		bIII	bIII						M	0	0	-3, 1, -2		-3.0	-3.0
64	63	0	V7(6)/bIII		D	bVI		V7(6)/bIII	V		7	6	bIII		Mm7	0	0	-2, 2, 1, -4		-2.0	-2.0
64	63	1/2	V7/bIII		D	bVI		V7/bIII	V		7		bIII		Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0
65	64	0	.bIII(94)		D	bVI		bIII(94)	bIII			94			M	0	0	-3, 3, -2	-1	-3.0	-3.0
65	64	1/2	.bIII\\		D	bVI		bIII	bIII					\\	M	0	0	-3, 1, -2		-3.0	-3.0
66	65	0	.I.viio7/iii		D	I		viio7/iii	vii	o	7		iii		o7	0	0	2, -1, -4, -7		2.0	2.0
67	66	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
68	67	0	viio7/iii		D	I		viio7/iii	vii	o	7		iii		o7	0	0	2, -1, -4, -7		2.0	2.0
69	68	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
70	69	0	V7/V		D	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
71	70	0	V(4)		D	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
71	70	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
72	71	0	V7/V		D	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
73	72	0	V(4)	1	D	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
73	72	5/8	V\\	1	D	I		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
74	71	0	V7(4)	2	D	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1.0	1.0
74	71	5/8	V7	2	D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
75	72	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
76	73	0	V7(6)		D	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
76	73	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
77	74	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
78	75	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
78	75	1/2	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
79	76	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
80	77	0	ii6(2)		D	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
80	77	1/4	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
81	78	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
82	79	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
83	80	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
84	81	0	V7(6)		D	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
84	81	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
85	82	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
86	83	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
86	83	1/2	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
87	84	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
88	85	0	ii6(2)		D	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
88	85	1/4	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
89	86	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
90	87	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
91	88	0	.V.I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
92	89	0	V7(6)		D	V		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
92	89	1/4	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
93	90	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
94	91	0	V		D	V		V	V						M	0	0	1, 5, 2		1.0	1.0
94	91	1/2	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
95	92	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
96	93	0	ii6(2)		D	V		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
96	93	1/4	ii6		D	V		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
97	94	0	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
98	95	0	I\\		D	V		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
99	96	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
100	97	0	V7(6)		D	V		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
100	97	1/4	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
101	98	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
102	99	0	V		D	V		V	V						M	0	0	1, 5, 2		1.0	1.0
102	99	1/2	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
103	100	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
104	101	0	ii6(2)		D	V		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
104	101	1/4	ii6		D	V		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
105	102	0	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
106	103	0	I\\		D	V		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
106	103	1/2	V7/IV		D	V		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
107	104	0	.I.I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
108	105	0	V7(6)		D	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
108	105	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
109	106	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
110	107	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
110	107	1/2	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
111	108	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
112	109	0	ii6(2)		D	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
112	109	1/4	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
113	110	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
114	111	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
115	112	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
116	113	0	V7(6)		D	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
116	113	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
117	114	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
118	115	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
118	115	1/2	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
119	116	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
120	117	0	ii6(2)		D	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
120	117	1/4	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
121	118	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
122	119	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
123	120	0	I[V7/IV		D	I	I	V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
123	120	1/2	#viio64/iii		D	I	I	#viio64/iii	#vii	o	64		iii		o	0	0	3, 9, 6		9.0	3.0
124	121	0	ii%2		D	I	I	ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
124	121	1/2	I		D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
125	122	0	V7/IV		D	I	I	V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
125	122	1/2	V2/V		D	I	I	V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2.0	0.0
126	123	0	ii%2		D	I	I	ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
126	123	1/2	I		D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
127	124	1/2	V6/V		D	I	I	V6/V	V		6		V		M	0	0	6, 3, 2		2.0	6.0
128	125	0	V43		D	I	I	V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
128	125	1/2	I		D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
129	126	1/2	V6/V		D	I	I	V6/V	V		6		V		M	0	0	6, 3, 2		2.0	6.0
130	127	0	V43		D	I	I	V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
130	127	1/2	I		D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
131	128	0	V7/IV		D	I	I	V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
131	128	1/2	#viio64/iii		D	I	I	#viio64/iii	#vii	o	64		iii		o	0	0	3, 9, 6		9.0	3.0
132	129	0	ii%2		D	I	I	ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
132	129	1/2	I		D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
133	130	0	V7/IV		D	I	I	V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
133	130	1/2	#viio64/iii		D	I	I	#viio64/iii	#vii	o	64		iii		o	0	0	3, 9, 6		9.0	3.0
134	131	0	ii%2		D	I	I	ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
134	131	1/2	I]\\		D	I	I	I	I					\\	M	0	0	0, 4, 1		0.0	0.0
