mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
56	53	1/4	ii%43/V		Ab	#V		ii%43/V	ii	%	43		V		%7	0	0	9, 1, 3, 2		3	9
56	53	1/2	V7/V		Ab	#V		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
57	54	0	V		Ab	#V		V	V						M	0	0	1, 5, 2		1	1
57	54	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
59	56	0	I\\		Ab	#V		I	I					\\	M	0	0	0, 4, 1		0	0
61	57	0	II[ii2/V		Ab	#V	II	ii2/V	ii		2		V		mm7	0	0	1, 3, 0, 4		3	1
61	57	1/2	V7/V		Ab	#V	II	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
62	58	0	V7(9)/V		Ab	#V	II	V7(9)/V	V		7	9	V		Mm7	0	0	2, 6, 3, 0	4	2	2
62	58	1/4	V7/V		Ab	#V	II	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
62	58	1/2	V64		Ab	#V	II	V64	V		64				M	0	0	2, 1, 5		1	2
63	59	0	ii2/V		Ab	#V	II	ii2/V	ii		2		V		mm7	0	0	1, 3, 0, 4		3	1
63	59	1/2	V7/V		Ab	#V	II	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
64	60	1/4	V64		Ab	#V	II	V64	V		64				M	0	0	2, 1, 5		1	2
65	61	0	ii2/V		Ab	#V	II	ii2/V	ii		2		V		mm7	0	0	1, 3, 0, 4		3	1
65	61	1/2	V7/V		Ab	#V	II	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
66	62	0	V7(9)/V		Ab	#V	II	V7(9)/V	V		7	9	V		Mm7	0	0	2, 6, 3, 0	4	2	2
66	62	1/4	V7/V		Ab	#V	II	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
66	62	1/2	V64		Ab	#V	II	V64	V		64				M	0	0	2, 1, 5		1	2
67	63	0	ii2/V		Ab	#V	II	ii2/V	ii		2		V		mm7	0	0	1, 3, 0, 4		3	1
67	63	1/2	V7/V]		Ab	#V	II	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
68	64	1/4	V\\		Ab	#V		V	V					\\	M	0	0	1, 5, 2		1	1
69	65	0	V(6)		Ab	#V		V(6)	V			6			M	0	0	1, 5, 4		1	1
69	65	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
70	66	0	I		Ab	#V		I	I						M	0	0	0, 4, 1		0	0
71	67	0	V(64)/iii		Ab	#V		V(64)/iii	V			64	iii		M	0	0	5, 4, 1		5	5
71	67	1/4	V/iii		Ab	#V		V/iii	V				iii		M	0	0	5, 9, 6		5	5
71	67	1/2	V7/iii		Ab	#V		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
72	68	0	iii		Ab	#V		iii	iii						m	0	0	4, 1, 5		4	4
73	69	1/4	ii%43/V		Ab	#V		ii%43/V	ii	%	43		V		%7	0	0	9, 1, 3, 2		3	9
73	69	1/2	V7/V		Ab	#V		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
74	70	0	V		Ab	#V		V	V						M	0	0	1, 5, 2		1	1
74	70	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
74	70	1/2	V7(9)		Ab	#V		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
75	71	0	V(6)		Ab	#V		V(6)	V			6			M	0	0	1, 5, 4		1	1
75	71	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
76	72	0	V7(9)		Ab	#V		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
76	72	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
77	73	1/4	V7\\		Ab	#V		V7	V		7			\\	Mm7	0	0	1, 5, 2, -1		1	1
78	74	0	I		Ab	#V		I	I						M	0	0	0, 4, 1		0	0
79	75	0	V(64)/iii		Ab	#V		V(64)/iii	V			64	iii		M	0	0	5, 4, 1		5	5
79	75	1/4	V/iii		Ab	#V		V/iii	V				iii		M	0	0	5, 9, 6		5	5
79	75	1/2	V7/iii		Ab	#V		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
80	76	0	iii		Ab	#V		iii	iii						m	0	0	4, 1, 5		4	4
81	77	1/4	ii%43/iii		Ab	#V		ii%43/iii	ii	%	43		iii		%7	0	0	12, 4, 6, 5		6	12
81	77	1/2	V7/V		Ab	#V		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
82	78	0	V		Ab	#V		V	V						M	0	0	1, 5, 2		1	1
82	78	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
84	80	0	I\\	1	Ab	#V		I	I					\\	M	0	0	0, 4, 1		0	0
85	80	0	I\\	2	Ab	#V		I	I					\\	M	0	0	0, 4, 1		0	0
86	81	0	I.viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
86	81	3/16	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
86	81	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
86	81	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
