mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
9	9	1/2	1/2	3/4	2	1		#viio43/ii	Bb	I		#viio43/ii	#vii	o	43		ii				o7	0	0	1, -2, 7, 4		7	1
10	10	0	0	3/4	2	1		ii6	Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
10	10	1/2	1/2	3/4	2	1		ii%65	Bb	I		ii%65	ii	%	65						%7	0	0	-1, -4, 0, 2		2	-1
11	11	0	0	3/4	2	1		V7	Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	0	3/4	2	1		I\\	Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
12	12	1/2	1/2	3/4	2	1		@none	Bb	I		@none	@none								m	0	0				
13	13	0	0	3/4	2	1		I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
13	13	1/2	1/2	3/4	2	1		#viio43/ii	Bb	I		#viio43/ii	#vii	o	43		ii				o7	0	0	1, -2, 7, 4		7	1
14	14	0	0	3/4	2	1		ii6	Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
14	14	1/2	1/2	3/4	2	1		ii%65	Bb	I		ii%65	ii	%	65						%7	0	0	-1, -4, 0, 2		2	-1
15	15	0	0	3/4	2	1		V7	Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	3/4	2	1	1	I\\	Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
17	16	0	0	3/4	2	1	2	I\\	Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
18	17	0	0	3/4	2	1		vi.i	Bb	vi		i	i								m	0	1	0, -3, 1		0	0
18	17	1/2	1/2	3/4	2	1		i6	Bb	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
19	18	0	0	3/4	2	1		ii%65	Bb	vi		ii%65	ii	%	65						%7	0	1	-1, -4, 0, 2		2	-1
20	19	0	0	3/4	2	1		V7	Bb	vi		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
21	20	0	0	3/4	2	1		i	Bb	vi		i	i								m	0	1	0, -3, 1		0	0
22	21	0	0	3/4	2	1		i6	Bb	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
23	22	0	0	3/4	2	1		ii%65	Bb	vi		ii%65	ii	%	65						%7	0	1	-1, -4, 0, 2		2	-1
24	23	0	0	3/4	2	1		V7	Bb	vi		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
25	24	0	0	3/4	2	1		i\\	Bb	vi		i	i							\\	m	0	1	0, -3, 1		0	0
26	25	0	0	3/4	2	1		I.V65(7)	Bb	I		V65(7)	V		65	7					Mm7	0	0	5, 2, -1, 1		1	5
26	25	3/8	3/8	3/4	2	1		V65	Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
26	25	1/2	1/2	3/4	2	1		V65	Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
27	26	0	0	3/4	2	1		I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
28	27	0	0	3/4	2	1		V43	Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
29	28	0	0	3/4	2	1		I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
30	29	0	0	3/4	2	1		V65(9)	Bb	I		V65(9)	V		65	9					Mm7	0	0	5, 2, -1, 1	3	1	5
30	29	3/8	3/8	3/4	2	1		V65	Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
30	29	1/2	1/2	3/4	2	1		V65	Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
31	30	0	0	3/4	2	1		I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
32	31	0	0	3/4	2	1		V7	Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
33	32	0	0	3/4	2	1		I\\	Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
