mc	mn	onset	label
182	182	1/4	vi
182	182	1/2	V(6)/V
182	182	5/8	V7(6)/V
183	183	0	V
183	183	1/8	V7/V
183	183	1/4	V
183	183	1/2	V7(6)/IV
184	184	0	IV
184	184	1/8	viio
184	184	1/4	ii%7/vi
184	184	1/2	V7/vi
185	185	0	vi
185	185	1/8	vi6
185	185	1/4	vi
185	185	1/2	V7/IV
186	186	0	IV
186	186	1/8	V43/IV
186	186	1/4	IV
186	186	1/2	ii%7(6)/vi
186	186	5/8	ii%7/vi
187	187	0	V/vi
187	187	1/8	.Fr6/vi
187	187	1/4	V/vi
187	187	1/2	V(6)/ii
187	187	5/8	V7(6)/ii
188	188	0	ii
188	188	1/8	ii7
188	188	1/2	V(6)
188	188	5/8	V7
189	189	0	I\\
189	189	1/4	I64
189	189	1/2	V7/vi
190	190	0	vi
190	190	1/8	V7/vi
190	190	1/4	vi
190	190	3/8	vi7
190	190	1/2	V7(6)/V
191	191	0	V
191	191	1/8	V7/V
191	191	1/4	V
191	191	3/8	V7
191	191	1/2	V7(6)/IV
192	192	0	IV
192	192	1/4	ii%7/vi
192	192	1/2	V7/vi
193	193	0	vi
193	193	1/8	vi6
193	193	1/4	ii7
193	193	1/2	viio/IV
194	194	0	IV
194	194	1/8	V7/IV
194	194	1/4	IV
194	194	1/2	ii%7(6)/vi
194	194	5/8	ii%7/vi
195	195	0	V/vi
195	195	1/8	V7/iii
195	195	1/4	V/vi
195	195	1/2	V(6)/ii
195	195	5/8	V7(6)/ii
196	196	0	ii
196	196	1/8	ii7
196	196	1/4	ii
196	196	1/2	V(6)
196	196	5/8	V7
197	197	0	I\\
197	197	1/2	IV
198	198	0	V7
198	198	1/4	V9
198	198	1/2	V(6)
198	198	5/8	V7
199	199	0	I
199	199	1/2	IV
200	200	0	V7
200	200	1/4	V9
200	200	1/2	V(6)
200	200	5/8	V7
201	201	0	I\\
201	201	1/2	I6
202	202	0	I
202	202	1/2	I6
203	203	0	I
