mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
28	27	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	4	0.2	0.0	0.75	0.0
29	28	0	0	3/4	2	1	i]|PAC	1	a	i		i	i					]	PAC		m	1	1	3, 0, 4		3	3	1	5	0.16666666666666666	0.0625	0.75	0.07692307692307693
29	28	1/2	1/2	3/4	2	1	III[I/III	1	a	i	III	I/III	I				III				M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
30	28	0	0	3/4	2	1	i]|PAC	2	a	i		i	i					]	PAC		m	1	1	3, 0, 4		3	3	0	8	0.0	0.0	1.3125	0.0
31	29	0	0	3/4	2	1	I.I[I		a	I	I	I	I								M	1	0	3, 7, 4		3	3	4	33	0.10810810810810811	0.25	8.0	0.030303030303030304
33	31	1/4	1/4	3/4	2	1	IV		a	I		IV	IV								M	1	0	2, 6, 3		2	2	0	4	0.0	0.0	1.5	0.0
33	31	5/8	5/8	3/4	2	1	I		a	I		I	I								M	1	0	3, 7, 4		3	3	7	9	0.4375	0.25	2.0	0.1111111111111111
34	32	1/4	1/4	3/4	2	1	IV		a	I		IV	IV								M	1	0	2, 6, 3		2	2	0	4	0.0	0.0	1.5	0.0
34	32	5/8	5/8	3/4	2	1	I]		a	I		I	I					]			M	1	0	3, 7, 4		3	3	0	32	0.0	0.0	7.0	0.0
37	35	0	0	3/4	2	1	V(64)/iii		a	I		V(64)/iii	V			64	iii				M	1	0	8, 7, 4		8	8	2	5	0.2857142857142857	0.125	0.875	0.125
37	35	1/4	1/4	3/4	2	1	V7/iii		a	I		V7/iii	V		7		iii				Mm7	1	0	8, 12, 9, 6		8	8	2	4	0.3333333333333333	0.0	1.5	0.0
37	35	1/2	1/2	3/4	2	1	i(94)/iii		a	I		i(94)/iii	i			94	iii				m	1	0	7, 6, 8	9	7	7	0	1	0.0	0.0	0.25	0.0
37	35	5/8	5/8	3/4	2	1	i/iii		a	I		i/iii	i				iii				m	1	0	7, 4, 8		7	7	0	2	0.0	0.0	0.25	0.0
38	36	0	0	3/4	2	1	V(64)/iii		a	I		V(64)/iii	V			64	iii				M	1	0	8, 7, 4		8	8	2	5	0.2857142857142857	0.125	0.875	0.125
38	36	1/4	1/4	3/4	2	1	V7/iii		a	I		V7/iii	V		7		iii				Mm7	1	0	8, 12, 9, 6		8	8	0	4	0.0	0.0	1.25	0.0
38	36	1/2	1/2	3/4	2	1	i/iii|PAC}		a	I		i/iii	i				iii		PAC	}	m	1	0	7, 4, 8		7	7	0	3	0.0	0.0	0.75	0.0
39	37	0	0	3/4	2	1	ii{		a	I		ii	ii							{	m	1	0	5, 2, 6		5	5	0	6	0.0	0.0	1.25	0.0
39	37	1/4	1/4	3/4	2	1	V7		a	I		V7	V		7						Mm7	1	0	4, 8, 5, 2		4	4	0	10	0.0	0.0	2.5	0.0
40	38	0	0	3/4	2	1	I[I		a	I	I	I	I								M	1	0	3, 7, 4		3	3	0	15	0.0	0.0	3.5	0.0
41	39	0	0	3/4	2	1	V2/V		a	I		V2/V	V		2		V				Mm7	1	0	3, 5, 9, 6		5	3	0	6	0.0	0.0	1.25	0.0
41	39	1/4	1/4	3/4	2	1	viio7		a	I		viio7	vii	o	7						o7	1	0	8, 5, 2, -1		8	8	1	4	0.2	0.25	1.0	0.2
41	39	1/2	1/2	3/4	2	1	V7		a	I		V7	V		7						Mm7	1	0	4, 8, 5, 2		4	4	1	4	0.2	0.25	1.0	0.2
42	40	0	0	3/4	2	1	I|IAC		a	I		I	I						IAC		M	1	0	3, 7, 4		3	3	0	14	0.0	0.0	3.25	0.0
43	41	0	0	3/4	2	1	IV		a	I		IV	IV								M	1	0	2, 6, 3		2	2	0	6	0.0	0.0	1.25	0.0
43	41	1/4	1/4	3/4	2	1	ii%7		a	I		ii%7	ii	%	7						%7	1	0	5, 2, -1, 3		5	5	0	5	0.0	0.0	1.25	0.0
43	41	1/2	1/2	3/4	2	1	V7		a	I		V7	V		7						Mm7	1	0	4, 8, 5, 2		4	4	1	4	0.2	0.25	1.0	0.2
44	42	0	0	3/4	2	1	I		a	I		I	I								M	1	0	3, 7, 4		3	3	0	15	0.0	0.0	3.5	0.0
45	43	0	0	3/4	2	1	V2/V		a	I		V2/V	V		2		V				Mm7	1	0	3, 5, 9, 6		5	3	0	6	0.0	0.0	1.25	0.0
45	43	1/4	1/4	3/4	2	1	viio7		a	I		viio7	vii	o	7						o7	1	0	8, 5, 2, -1		8	8	1	4	0.2	0.25	1.0	0.2
45	43	1/2	1/2	3/4	2	1	V7		a	I		V7	V		7						Mm7	1	0	4, 8, 5, 2		4	4	1	4	0.2	0.25	1.0	0.2
46	44	0	0	3/4	2	1	I|IAC		a	I		I	I						IAC		M	1	0	3, 7, 4		3	3	0	14	0.0	0.0	3.25	0.0
47	45	0	0	3/4	2	1	i.i[i{		a	i	i	i	i							{	m	1	1	3, 0, 4		3	3	0	7	0.0	0.0	1.25	0.0
47	45	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
48	46	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
49	47	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
49	47	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
49	47	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	4	0.2	0.0	0.75	0.0
50	48	0	0	3/4	2	1	i|PAC}		a	i		i	i						PAC	}	m	1	1	3, 0, 4		3	3	0	17	0.0	0.0	3.0	0.0
51	49	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
52	50	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
53	51	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
53	51	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
53	51	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	4	0.2	0.0	0.75	0.0
54	52	0	0	3/4	2	1	i]|PAC}		a	i		i	i					]	PAC	}	m	1	1	3, 0, 4		3	3	1	4	0.2	0.0625	0.75	0.07692307692307693
54	52	1/2	1/2	3/4	2	1	III[I/III		a	i	III	I/III	I				III				M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.5	0.0
55	53	1/2	1/2	3/4	2	1	VM7(#5)/III		a	i		VM7(#5)/III	V	M	7	#5	III				MM7	1	1	1, 5, 9, 6		1	1	1	4	0.2	0.0	0.75	0.0
56	54	0	0	3/4	2	1	I/III		a	i		I/III	I				III				M	1	1	0, 4, 1		0	0	0	6	0.0	0.0	1.25	0.0
56	54	1/2	1/2	3/4	2	1	VM7(#5)/III		a	i		VM7(#5)/III	V	M	7	#5	III				MM7	1	1	1, 5, 9, 6		1	1	1	4	0.2	0.0	0.75	0.0
57	55	0	0	3/4	2	1	I/III		a	i		I/III	I				III				M	1	1	0, 4, 1		0	0	0	5	0.0	0.0	1.25	0.0
57	55	1/2	1/2	3/4	2	1	V7/III		a	i		V7/III	V		7		III				Mm7	1	1	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.75	0.0
58	56	0	0	3/4	2	1	I/III]|IAC		a	i		I/III	I				III	]	IAC		M	1	1	0, 4, 1		0	0	1	5	0.16666666666666666	0.0	1.5	0.0
58	56	1/2	1/2	3/4	2	1	V7{		a	i		V7	V		7					{	Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
59	57	0	0	3/4	2	1	i[i		a	i	i	i	i								m	1	1	3, 0, 4		3	3	0	7	0.0	0.0	1.25	0.0
59	57	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
60	58	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
61	59	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
61	59	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
61	59	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	4	0.2	0.0	0.75	0.0
62	60	0	0	3/4	2	1	i|PAC}		a	i		i	i						PAC	}	m	1	1	3, 0, 4		3	3	0	17	0.0	0.0	3.0	0.0
63	61	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
64	62	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
65	63	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
65	63	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
65	63	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	4	0.2	0.0	0.75	0.0
66	64	0	0	3/4	2	1	i]|PAC		a	i		i	i					]	PAC		m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.0	0.0
