mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
70	70	1/2	1/2	3/4	2	1	vi(9)]	Ab	IV		vi(9)	vi			9		]			m	0	0	-2, -5, -1	0	-2.0	-2.0	0	4	0.0	0.0	1.0	0.0
71	71	0	0	3/4	2	1	V/vi	Ab	IV		V/vi	V				vi				M	0	0	-1, 3, 0		-1.0	-1.0	4	10	0.2857142857142857	0.125	1.625	0.07142857142857142
71	71	1/2	1/2	3/4	2	1	V7/vi	Ab	IV		V7/vi	V		7		vi				Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	5	0.0	0.0	1.25	0.0
72	72	0	0	3/4	2	1	vi[vi	Ab	IV	vi	vi	vi								m	0	0	-2, -5, -1		-2.0	-2.0	0	16	0.0	0.0	2.3125	0.0
72	72	1/2	1/2	3/4	2	1	vi(11)	Ab	IV		vi(11)	vi			11					m	0	0	-2, -5, -1	-3	-2.0	-2.0	0	5	0.0	0.0	1.25	0.0
73	73	0	0	3/4	2	1	V7/vi	Ab	IV		V7/vi	V		7		vi				Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	6	15	0.2857142857142857	0.75	2.6875	0.21818181818181817
74	74	0	0	3/4	2	1	vi]	Ab	IV		vi	vi					]			m	0	0	-2, -5, -1		-2.0	-2.0	0	5	0.0	0.0	0.625	0.0
74	74	3/16	3/16	3/4	2	1	ii7	Ab	IV		ii7	ii		7						mm7	0	0	-3, -6, -2, -5		-3.0	-3.0	0	8	0.0	0.0	1.25	0.0
74	74	1/2	1/2	3/4	2	1	ii7(6)	Ab	IV		ii7(6)	ii		7	6					mm7	0	0	-3, -6, 0, -5		-3.0	-3.0	0	4	0.0	0.0	1.0	0.0
75	75	0	0	3/4	2	1	V7}	Ab	IV		V7	V		7					}	Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0	2	15	0.11764705882352941	0.0625	2.6875	0.022727272727272728
76	76	0	0	3/4	2	1	I{	Ab	IV		I	I							{	M	0	0	-5, -1, -4		-5.0	-5.0	0	12	0.0	0.0	1.75	0.0
76	76	1/2	1/2	3/4	2	1	IV	Ab	IV		IV	IV								M	0	0	-6, -2, -5		-6.0	-6.0	0	3	0.0	0.0	0.75	0.0
77	77	0	0	3/4	2	1	V7	Ab	IV		V7	V		7						Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0	2	10	0.16666666666666666	0.125	1.625	0.07142857142857142
77	77	1/2	1/2	3/4	2	1	#vii%43/ii	Ab	IV		#vii%43/ii	#vii	%	43		ii				%7	0	0	-4, 0, 2, -1		2.0	-4.0	0	4	0.0	0.0	1.0	0.0
78	78	0	0	3/4	2	1	V[V7	Ab	IV	V	V7	V		7						Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0	2	11	0.15384615384615385	0.125	1.625	0.07142857142857142
78	78	1/2	1/2	3/4	2	1	V+(9#7)	Ab	IV		V+(9#7)	V	+		9#7					+	0	0	-4, 0, 4	-2, 1	-4.0	-4.0	0	4	0.0	0.0	1.0	0.0
79	79	0	0	3/4	2	1	I(13#4#2)	Ab	IV		I(13#4#2)	I			13#4#2					M	0	0	-5, 4, 1	-2	-5.0	-5.0	1	13	0.07142857142857142	0.125	1.875	0.0625
79	79	1/2	1/2	3/4	2	1	I	Ab	IV		I	I								M	0	0	-5, -1, -4		-5.0	-5.0	0	16	0.0	0.0	2.75	0.0
80	80	1/2	1/2	3/4	2	1	IV	Ab	IV		IV	IV								M	0	0	-6, -2, -5		-6.0	-6.0	0	3	0.0	0.0	0.75	0.0
81	81	0	0	3/4	2	1	V7	Ab	IV		V7	V		7						Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0	3	10	0.23076923076923078	0.125	1.625	0.07142857142857142
81	81	1/2	1/2	3/4	2	1	#vii%43/ii	Ab	IV		#vii%43/ii	#vii	%	43		ii				%7	0	0	-4, 0, 2, -1		2.0	-4.0	0	4	0.0	0.0	1.0	0.0
82	82	0	0	3/4	2	1	V7	Ab	IV		V7	V		7						Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0	1	7	0.125	0.0625	0.6875	0.08333333333333333
82	82	1/4	1/4	3/4	2	1	V7(9)	Ab	IV		V7(9)	V		7	9					Mm7	0	0	-4, 0, -3, -6	-2	-4.0	-4.0	0	4	0.0	0.0	1.0	0.0
82	82	1/2	1/2	3/4	2	1	V7	Ab	IV		V7	V		7						Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0	0	5	0.0	0.0	1.25	0.0
83	83	0	0	3/4	2	1	I(974)}	Ab	IV		I(974)	I			974				}	M	0	0	-5, -6, -4	-3, 0	-5.0	-5.0	0	15	0.0	0.0	2.1875	0.0
83	83	1/2	1/2	3/4	2	1	I|PAC	Ab	IV		I	I						PAC		M	0	0	-5, -1, -4		-5.0	-5.0	0	5	0.0	0.0	1.25	0.0
84	84	0	0	3/4	2	1	I.I{	Ab	I		I	I							{	M	0	0	-4, 0, -3		-4.0	-4.0	2	6	0.25	0.25	1.5	0.14285714285714285
85	85	0	0	3/4	2	1	V7	Ab	I		V7	V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	4	15	0.21052631578947367	0.5	3.5	0.125
87	87	0	0	3/4	2	1	I	Ab	I		I	I								M	0	0	-4, 0, -3		-4.0	-4.0	2	6	0.25	0.0625	1.375	0.043478260869565216
88	88	0	0	3/4	2	1	vi	Ab	I		vi	vi								m	0	0	-1, -4, 0		-1.0	-1.0	2	8	0.2	0.25	2.0	0.1111111111111111
89	89	0	0	3/4	2	1	V7/vi	Ab	I		V7/vi	V		7		vi				Mm7	0	0	0, 4, 1, -2		0.0	0.0	4	15	0.21052631578947367	0.5	3.5	0.125
91	91	0	0	3/4	2	1	vi}	Ab	I		vi	vi							}	m	0	0	-1, -4, 0		-1.0	-1.0	0	4	0.0	0.0	0.9375	0.0
91	91	1/4	1/4	3/4	2	1	IV6(9)	Ab	I		IV6(9)	IV		6	9					M	0	0	-1, -4, -5	-3	-5.0	-1.0	0	4	0.0	0.0	1.125	0.0
91	91	1/2	1/2	3/4	2	1	V65	Ab	I		V65	V		65						Mm7	0	0	1, -2, -5, -3		-3.0	1.0	0	4	0.0	0.0	0.875	0.0
92	92	0	0	3/4	2	1	I{	Ab	I		I	I							{	M	0	0	-4, 0, -3		-4.0	-4.0	3	6	0.3333333333333333	0.375	1.375	0.21428571428571427
93	93	0	0	3/4	2	1	V7	Ab	I		V7	V		7						Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	4	12	0.25	0.5	3.25	0.13333333333333333
94	94	1/2	1/2	3/4	2	1	#viio7/vi	Ab	I		#viio7/vi	#vii	o	7		vi				o7	0	0	4, 1, -2, -5		4.0	4.0	0	2	0.0	0.0	0.5	0.0
95	95	0	0	3/4	2	1	vi	Ab	I		vi	vi								m	0	0	-1, -4, 0		-1.0	-1.0	2	5	0.2857142857142857	0.0625	1.625	0.037037037037037035
95	95	1/2	1/2	3/4	2	1	vi(#7)	Ab	I		vi(#7)	vi			#7					m	0	0	-1, -4, 0	4	-1.0	-1.0	0	3	0.0	0.0	0.75	0.0
96	96	0	0	3/4	2	1	ii%43/vi	Ab	I		ii%43/vi	ii	%	43		vi				%7	0	0	-5, -1, 1, -2		1.0	-5.0	1	10	0.09090909090909091	0.25	2.25	0.1
97	97	0	0	3/4	2	1	V7/vi	Ab	I		V7/vi	V		7		vi				Mm7	0	0	0, 4, 1, -2		0.0	0.0	1	8	0.1111111111111111	0.0625	1.9375	0.03125
98	98	0	0	3/4	2	1	ii%43/vi	Ab	I		ii%43/vi	ii	%	43		vi				%7	0	0	-5, -1, 1, -2		1.0	-5.0	2	10	0.16666666666666666	0.25	2.0	0.1111111111111111
99	99	0	0	3/4	2	1	V/vi	Ab	I		V/vi	V				vi				M	0	0	0, 4, 1		0.0	0.0	3	6	0.3333333333333333	0.25	1.5	0.14285714285714285
100	100	0	0	3/4	2	1	V2	Ab	I		V2	V		2						Mm7	0	0	-5, -3, 1, -2		-3.0	-5.0	3	9	0.25	0.3333333333333333	2.1666666666666665	0.13333333333333333
101	101	0	0	3/4	2	1	I6	Ab	I		I6	I		6						M	0	0	0, -3, -4		-4.0	0.0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
101	101	1/2	1/2	3/4	2	1	vi	Ab	I		vi	vi								m	0	0	-1, -4, 0		-1.0	-1.0	0	1	0.0	0.0	0.25	0.0
102	102	0	0	3/4	2	1	V[V	Ab	I	V	V	V								M	0	0	-3, 1, -2		-3.0	-3.0	1	2	0.3333333333333333	0.125	0.375	0.25
