mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
71	71	0	0	3/4	2	1	IV6				B	I	V	IV6		IV		6					M	0	0	8, 5, 4		4	8	5	10	0.3333333333333333	1.0	1.75	0.36363636363636365
72	72	0	0	3/4	2	1	V(9#7#5)				B	I	V	V(9#7#5)		V			9#7#5				M	0	0	6, 10, 14	8, 11	6	6	0	8	0.0	0.0	1.5625	0.0
72	72	1/2	1/2	3/4	2	1	V(64)				B	I	V	V(64)		V			64				M	0	0	6, 5, 9		6	6	0	5	0.0	0.0	1.25	0.0
73	73	0	0	3/4	2	1	V7(9)]				B	I	V	V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	1	9	0.1	0.125	1.875	0.0625
73	73	1/2	1/2	3/4	2	1	#viio7/vi				B	I		#viio7/vi		#vii	o	7		vi			o7	0	0	13, 10, 7, 4		13	13	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
74	74	0	0	3/4	2	1	vi(9#4)				B	I		vi(9#4)		vi			9#4				m	0	0	8, 5, 14	10	8	8	1	7	0.125	0.125	1.5	0.07692307692307693
74	74	1/2	1/2	3/4	2	1	vi7				B	I		vi7		vi		7					mm7	0	0	8, 5, 9, 6		8	8	0	5	0.0	0.0	1.25	0.0
75	75	0	0	3/4	2	1	V7(9)/V				B	I		V7(9)/V		V		7	9	V			Mm7	0	0	7, 11, 8, 5	9	7	7	0	14	0.0	0.0	2.5	0.0
76	76	0	0	3/4	2	1	V7(9)				B	I		V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	1	5	0.16666666666666666	0.125	0.875	0.125
76	76	1/4	1/4	3/4	2	1	V				B	I		V		V							M	0	0	6, 10, 7		6	6	0	3	0.0	0.0	0.75	0.0
