mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0														3	3
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	22										3	3
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	23										3	3
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	24										3	3
5	5	13	13	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	25							1				
5	5	29/2	29/2	0.0	5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	26							1				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	27							1				
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0															
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0														4	4
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	28										4	4
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	29										4	4
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	30										4	4
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	31							1				
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	32							1				
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	33							1				
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	34							1				
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0															
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0														5	5
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	35										5	5
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36										5	5
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	2	1	0															
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37											
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	38							1				
7	7	19	19	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	39							1				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	40							1				
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0														6	6
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	41										6	6
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42										6	6
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43										6	6
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	44							1				
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	45							1				
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	46							1				
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	47							1				
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	1	1	0											1		0		
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	48							1		0		
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0															
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0														7	7
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49										7	7
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50										7	7
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	2	1	0															
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51											
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	52									0		
9	9	49/2	49/2	0.0	1/8	1/8	Spanner	3/4	1	1	0															
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	53							2				
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	54							2				
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0														8	8
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	55										8	8
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56										8	8
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57										8	8
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	58							2				
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	59							2				
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	60							2				
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	61							2				
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0															
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0														9	9
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	62										9	9
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	63										9	9
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	64										9	9
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	65							2				
11	11	31	31	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	66							2				
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	67							2				
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0															
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0														10	10
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	68										10	10
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	69										10	10
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70										10	10
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	71							2				
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	72							2				
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	73							2				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	74											
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0															
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0														11	11
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	75										11	11
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	76										11	11
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	77										11	11
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	78							3				
13	13	38	38	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	79							3				
13	13	38	38	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	80							3				
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	81							3				
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0															
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0														12	12
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	82										12	12
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	83										12	12
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	84										12	12
14	14	39	39	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	85							3				
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	86							3				
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	87							3				
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	88							3				
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0															
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0														13	13
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	89										13	13
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90										13	13
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91										13	13
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	92		articStaccatoBelow									
15	15	43	43	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	93							4				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	94							4				
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0															
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0														14	14
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	95										14	14
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	96										14	14
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	97										14	14
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	98							4				
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	99							4				
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	100											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	101							5				
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0															
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0														15	15
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	102										15	15
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	103										15	15
16	16	47	47	0.0	1/2	1/2	Spanner	3/4	2	1	0															
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	104											
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	105											
17	17	49	49	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	106							6				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	107							6				
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0														16	16
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	108										16	16
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	109										16	16
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	110										16	16
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	111							6				
18	18	103/2	103/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	112							6				
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	113							6				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	114											
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	115							7				
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0															
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0														17	17
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	116										17	17
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117										17	17
18	18	53	53	0.0	1/2	1/2	Spanner	3/4	2	1	0															
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118											
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	119											
19	19	55	55	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	120							8				
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	121							8				
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0														18	18
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	122										18	18
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	123										18	18
19	19	56	56	0.0	1/2	1/2	Spanner	3/4	2	1	0															
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	124											
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	125							8				
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	126							8				
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	127											
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	128							9				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	129							9				
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0														19	19
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	130							10			19	19
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	131										19	19
20	20	59	59	0.0	1/2	1/2	Spanner	3/4	2	1	0															
20	20	57	57	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	132											
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	133							9				
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	134							9				
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	135							9				
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	3/4	1	1	0											9	0			
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	136							9	0			
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	137							9	0			
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	138							9	0			
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	139							9	0			
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	140							9	0			
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	141							9	0			
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	142							9	0			
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	143							9	0			
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	144							9	0			
23	23	66	66	0.0	0	0	Dynamic	3/4	1	1	0					f										
23	23	66	66	0.0	0	0	Spanner	3/4	1	1	0															
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	145											
23	23	67	67	0.0	1/4	1/4	Spanner	3/4	1	1	0													1		
23	23	67	67	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	146							11		1		
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	147							11		1		
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0														20	20
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	148										20	20
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	149										20	20
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	150										20	20
24	24	69	69	0.0	0	0	Spanner	3/4	1	1	0											11				
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	151							11				
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	152							11				
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	153							11				
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	154		articAccentBelow					11				
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0															
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0														21	21
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	155										21	21
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	156										21	21
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	157										21	21
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	158							11				
25	25	73	73	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	159							11				
25	25	149/2	149/2	0.0	5/8	5/8	Spanner	3/4	1	1	0											11	1			
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	160							11	1			
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0															
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0														22	22
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	161										22	22
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	162										22	22
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	163										22	22
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	164							11	1			
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	165							11	1			
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	166							11	1			
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	167								1			
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0														23	23
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0														23	23
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	168										23	23
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	169										23	23
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	170										23	23
27	27	78	78	0.0	0	0	Spanner	3/4	1	1	0															
27	27	79	79	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	171							12				
27	27	161/2	161/2	0.0	5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	172							12				
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	173							12				
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	174											
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	175											
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	176											
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0															
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0														24	24
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	177										24	24
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178										24	24
27	27	80	80	0.0	1/2	1/2	Spanner	3/4	2	1	0															
27	27	80	80	0.0	1/2	1/2	Spanner	3/4	2	1	0														25	25
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179										25	25
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	180							12				
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	181							12				
28	28	82	82	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	182							12				
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	183		articAccentBelow					12				
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	184										25	25
28	28	82	82	0.0	1/4	1/4	Spanner	3/4	2	1	0															
28	28	82	82	0.0	1/4	1/4	Spanner	3/4	2	1	0														26	26
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	185										26	26
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	186										26	26
29	29	84	84	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	187							12				
29	29	85	85	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	188							12				
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	189							12				
29	29	84	84	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	190											
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	191											
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	192		articAccentBelow									
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0															
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0														27	27
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	193										27	27
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	194										27	27
29	29	86	86	0.0	1/2	1/2	Spanner	3/4	2	1	0															
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	195											
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	196							12				
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	197							12				
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	198							12				
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	199							12				
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	200							12				
30	30	87	87	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	201											
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	202											
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	203		articAccentBelow									
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0														28	28
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	204										28	28
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	205										28	28
30	30	89	89	0.0	1/2	1/2	Spanner	3/4	2	1	0															
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	206											
31	31	90	90	0.0	0	0	Dynamic	3/4	1	1	0					ff										
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	207											
31	31	91	91	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	208							13				
31	31	92	92	0.0	1/2	1/2	Spanner	3/4	1	1	0											13		2		
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	209							13		2		
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	210									2		
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	211									2		
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	212									2		
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0														29	29
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	213										29	29
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	214										29	29
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	215										29	29
32	32	93	93	0.0	0	0	Spanner	3/4	1	1	0											13				
32	32	93	93	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	216							13				
32	32	375/4	375/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	217							13				
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	218							13				
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	219							13				
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0															
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0														30	30
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	220										30	30
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	221										30	30
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	222		articAccentAbove								30	30
33	33	96	96	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	223											
33	33	97	97	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	224							14				
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	225							14				
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0															
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0														31	31
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	226										31	31
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	227										31	31
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	228										31	31
34	34	99	99	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	229							14				
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	230							14				
