mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	crescendo_line	HairPin:2_poco cresc.	pedal	Pedal_<sym>keyboardPedalPed</sym>
32	31	91	91	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	264						15							
32	31	367/4	367/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	265						15							
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	266						15							
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	267						15							
33	32	94	94	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	268						13							
33	32	96	96	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	269													
33	32	94	94	0.0	0	0	Spanner	3/4	2	1	0										15						3	3
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	270												3	3
33	32	94	94	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	271												3	3
33	32	95	95	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	272												3	3
34	65	97	97	0.0	0	0	Dynamic	3/4	1	1	0					p					13							
34	65	97	97	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	273						13							
34	65	99	99	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	274						13							
34	65	98	98	0.0	1/4	1/4	Spanner	3/4	1	2	0												2					
34	65	98	98	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	275								2					
34	65	97	97	0.0	0	0	Spanner	3/4	2	1	0																	
34	65	97	97	0.0	0	0	Spanner	3/4	2	1	0																4	4
34	65	97	97	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	276						16						4	4
34	65	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	277						16						4	4
34	65	98	98	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	278												4	4
35	66	100	100	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	279						13		2					
35	66	403/4	403/4	0.0	3/16	3/16	Spanner	3/4	1	1	0										13			3				
35	66	403/4	403/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	280						13			3				
35	66	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	281						13			3				
35	66	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	282									3				
35	66	403/4	403/4	0.0	3/16	3/16	Spanner	3/4	1	2	0													3				
35	66	100	100	0.0	0	0	Spanner	3/4	2	1	0																5	5
35	66	100	100	0.0	0	0	Spanner	3/4	2	1	0																5	5
35	66	100	100	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	283												5	5
35	66	403/4	403/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	284						17						5	5
35	66	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	285						17						5	5
35	66	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	286												5	5
36	67	103	103	0.0	0	0	Spanner	3/4	1	1	0																	
36	67	103	103	0.0	0	0	Spanner	3/4	1	1	0												3					
36	67	103	103	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	287						18		3					
36	67	105	105	0.0	1/2	1/2	Spanner	3/4	1	1	0										18							
36	67	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	288						18							
36	67	104	104	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	289													
36	67	103	103	0.0	0	0	Spanner	3/4	2	1	0																	
36	67	103	103	0.0	0	0	Spanner	3/4	2	1	0																6	6
36	67	103	103	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	290						19						6	6
36	67	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	291						19						6	6
36	67	104	104	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	292												6	6
37	68	106	106	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	293						18							
37	68	427/4	427/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	294						18							
37	68	107	107	0.0	1/4	1/4	Spanner	3/4	1	1	0										18			4				
37	68	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	295						18			4				
37	68	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	296									4				
37	68	106	106	0.0	0	0	Spanner	3/4	2	1	0																	
37	68	106	106	0.0	0	0	Spanner	3/4	2	1	0																7	7
37	68	106	106	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	297												7	7
37	68	427/4	427/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	298						20						7	7
37	68	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	299						20						7	7
37	68	108	108	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
37	68	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	300													
38	69	109	109	0.0	0	0	Spanner	3/4	1	1	0																	
38	69	109	109	0.0	0	0	Spanner	3/4	1	1	0												4					
38	69	109	109	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	301						21		4					
38	69	439/4	439/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	302						21		4					
38	69	110	110	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	303						21		4					
38	69	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	304						21		4					
38	69	109	109	0.0	0	0	Spanner	3/4	2	1	0																8	8
38	69	109	109	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	305												8	8
38	69	439/4	439/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	306						22						8	8
38	69	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	307						22						8	8
38	69	111	111	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
38	69	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	308													
39	70	112	112	0.0	0	0	Spanner	3/4	1	1	0																	
39	70	112	112	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	309													
39	70	112	112	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	310													
39	70	451/4	451/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	311						23							
39	70	113	113	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	312						23							
39	70	114	114	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	313													
39	70	112	112	0.0	0	0	Spanner	3/4	2	1	0																9	9
39	70	112	112	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	314												9	9
39	70	112	112	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	315												9	9
39	70	451/4	451/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	316						24						9	9
39	70	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	317						24						9	9
39	70	114	114	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
39	70	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	318													
40	71	115	115	0.0	0	0	Spanner	3/4	1	1	0													5				
40	71	115	115	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	319						25			5				
40	71	463/4	463/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	320						25			5				
40	71	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	321						25			5				
40	71	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	322						25			5				
40	71	115	115	0.0	0	0	Spanner	3/4	2	1	0																10	10
40	71	115	115	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	323												10	10
40	71	463/4	463/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	324						26						10	10
40	71	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	325						26						10	10
40	71	117	117	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
40	71	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	326													
41	72	118	118	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	327						25			5				
41	72	475/4	475/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	328						25			5				
41	72	119	119	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	329						25			5				
41	72	120	120	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	330									5				
41	72	118	118	0.0	0	0	Spanner	3/4	2	1	0																11	11
41	72	118	118	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	331												11	11
41	72	475/4	475/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	332						27						11	11
41	72	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	333						27						11	11
41	72	120	120	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
41	72	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	334													
42	73	121	121	0.0	0	0	Spanner	3/4	1	1	0																	
42	73	121	121	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	335						28							
42	73	123	123	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	336						28							
42	73	122	122	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	337													
42	73	121	121	0.0	0	0	Spanner	3/4	2	1	0																12	12
42	73	121	121	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	338						29						12	12
42	73	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	339						29						12	12
42	73	122	122	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	340												12	12
43	74	124	124	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	341						28							
43	74	499/4	499/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	342						28							
43	74	125	125	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	343						28							
43	74	126	126	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	344													
43	74	124	124	0.0	0	0	Spanner	3/4	2	1	0																	
43	74	124	124	0.0	0	0	Spanner	3/4	2	1	0																13	13
43	74	124	124	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	345												13	13
43	74	499/4	499/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	346						30						13	13
43	74	125	125	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	347						30						13	13
43	74	126	126	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
43	74	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	348													
44	75	127	127	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	349						31							
44	75	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	350						31							
44	75	128	128	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	351													
44	75	127	127	0.0	0	0	Spanner	3/4	2	1	0																14	14
44	75	127	127	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	352						32						14	14
44	75	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	353						32						14	14
44	75	128	128	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	354												14	14
45	76	130	130	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	355						31							
45	76	523/4	523/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	356						31							
45	76	131	131	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	357						31							
45	76	132	132	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	358													
45	76	130	130	0.0	0	0	Spanner	3/4	2	1	0																	
45	76	130	130	0.0	0	0	Spanner	3/4	2	1	0																15	15
45	76	130	130	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	359												15	15
45	76	523/4	523/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	360						33						15	15
45	76	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	361						33						15	15
45	76	132	132	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
45	76	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	362													
46	77	133	133	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	363						34							
46	77	535/4	535/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	364						34							
46	77	134	134	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	365						34							
46	77	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	366						34							
46	77	133	133	0.0	0	0	Spanner	3/4	2	1	0																16	16
46	77	133	133	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	367												16	16
46	77	535/4	535/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	368						35						16	16
46	77	134	134	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	369						35						16	16
46	77	135	135	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
46	77	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	370													
47	78	136	136	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	371													
47	78	547/4	547/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	372						36							
47	78	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	373						36							
47	78	138	138	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	374													
47	78	136	136	0.0	0	0	Spanner	3/4	2	1	0																17	17
47	78	136	136	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	375												17	17
47	78	136	136	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	376												17	17
47	78	547/4	547/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	377						37						17	17
47	78	137	137	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	378						37						17	17
47	78	138	138	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
47	78	138	138	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	379													
48	79	139	139	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	380						38							
48	79	559/4	559/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	381						38							
48	79	140	140	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	382						38							
48	79	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	383						38							
48	79	139	139	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	384						39							
48	79	559/4	559/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	385						39							
48	79	140	140	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	386						39							
48	79	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	387													
49	80	142	142	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	388						38							
49	80	571/4	571/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	389						38							
49	80	143	143	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	390						38							
49	80	144	144	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	391													
49	80	142	142	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	392						40							
49	80	571/4	571/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	393						40							
49	80	143	143	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	394						40							
49	80	144	144	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	395													
50	81	145	145	0.0	0	0	Dynamic	3/4	1	1	0					p												
50	81	145	145	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	396						41							
50	81	147	147	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	397						41							
50	81	146	146	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	398													
50	81	145	145	0.0	0	0	Spanner	3/4	2	1	0																18	18
50	81	145	145	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	399						42						18	18
50	81	147	147	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	400						42						18	18
50	81	146	146	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	401												18	18
51	82	148	148	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	402						41							
51	82	595/4	595/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	403						41							
51	82	149	149	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	404						41							
51	82	149	149	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	405						41							
51	82	150	150	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	406													
51	82	148	148	0.0	0	0	Spanner	3/4	2	1	0																	
51	82	148	148	0.0	0	0	Spanner	3/4	2	1	0																19	19
51	82	148	148	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	407												19	19
51	82	595/4	595/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	408						43						19	19
51	82	149	149	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	409						43						19	19
51	82	149	149	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	410						43						19	19
51	82	150	150	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
51	82	150	150	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	411													
52	83	151	151	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	412						44							
52	83	153	153	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	413						44							
52	83	152	152	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	414													
52	83	151	151	0.0	0	0	Spanner	3/4	2	1	0																20	20
52	83	151	151	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	415						45						20	20
52	83	153	153	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	416						45						20	20
52	83	152	152	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	417												20	20
53	84	154	154	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	418						44							
53	84	619/4	619/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	419						44							
53	84	155	155	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	420						44							
53	84	155	155	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	421						44							
53	84	156	156	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	422													
53	84	154	154	0.0	0	0	Spanner	3/4	2	1	0										45							
53	84	154	154	0.0	0	0	Spanner	3/4	2	1	0										45						21	21
53	84	154	154	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	423						45						21	21
53	84	619/4	619/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	424						45						21	21
53	84	155	155	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	425						45						21	21
53	84	156	156	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
53	84	156	156	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	426													
54	85	157	157	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	427						46							
54	85	159	159	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	428						46							
54	85	158	158	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	429													
54	85	157	157	0.0	0	0	Spanner	3/4	2	1	0																22	22
54	85	157	157	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	430						47						22	22
54	85	159	159	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	431						47						22	22
54	85	158	158	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	432												22	22
55	86	160	160	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	433						46							
55	86	643/4	643/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	434						46							
55	86	161	161	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	435						46							
55	86	162	162	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	436													
55	86	160	160	0.0	0	0	Spanner	3/4	2	1	0																	
55	86	160	160	0.0	0	0	Spanner	3/4	2	1	0																23	23
55	86	160	160	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	437												23	23
55	86	643/4	643/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	438						48						23	23
55	86	161	161	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	439						48						23	23
55	86	162	162	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
55	86	162	162	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	440													
56	87	163	163	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	441						49							
56	87	655/4	655/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	442						49							
56	87	164	164	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	443						49							
56	87	165	165	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	444						49							
56	87	163	163	0.0	0	0	Spanner	3/4	2	1	0																24	24
56	87	163	163	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	445												24	24
56	87	655/4	655/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	446												24	24
56	87	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	447												24	24
56	87	165	165	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
56	87	165	165	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	448													
57	88	166	166	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	449						49							
57	88	667/4	667/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	450						49							
57	88	167	167	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	451						49							
57	88	168	168	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	452													
57	88	166	166	0.0	0	0	Spanner	3/4	2	1	0																25	25
57	88	166	166	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	453												25	25
57	88	667/4	667/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	454						50						25	25
57	88	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	455						50						25	25
57	88	168	168	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
57	88	168	168	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	456													
58	89	169	169	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	457						51							
58	89	171	171	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	458						51							
58	89	169	169	0.0	0	0	Dynamic	3/4	1	2	0					p												
58	89	169	169	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	459													
58	89	169	169	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	460						52							
58	89	679/4	679/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	461						52							
58	89	170	170	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	462						52							
58	89	171	171	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	463						52							
59	90	172	172	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	464						51							
59	90	172	172	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	465						51							
59	90	691/4	691/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	466						51							
59	90	173	173	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	467						51							
59	90	174	174	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	468													
59	90	172	172	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	469						52							
59	90	172	172	0.75	0	0	Chord	3/4	2	2	3/16		1/8	3/2	470													
59	90	691/4	691/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	471													
59	90	173	173	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	472													
59	90	174	174	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	473													
60	91	175	175	0.0	0	0	Spanner	3/4	1	1	0												5					
60	91	175	175	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	474						53		5					
60	91	177	177	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	475						53		5					
60	91	355/2	355/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	476						53		5					
60	91	175	175	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	477								5					
60	91	175	175	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	478						54							
60	91	351/2	351/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	479						54							
60	91	176	176	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	480						54							
60	91	353/2	353/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	481						54							
60	91	177	177	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	482						54							
60	91	355/2	355/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	483						54							
61	92	178	178	0.0	0	0	Spanner	3/4	1	1	0										53							
61	92	178	178	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	484						53							
61	92	178	178	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	485						53							
61	92	715/4	715/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	486						53							
61	92	179	179	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	487						53							
61	92	180	180	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	488													
61	92	178	178	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	489													
61	92	178	178	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	490						54							
61	92	715/4	715/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	491						54							
61	92	179	179	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	492						54							
61	92	180	180	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	493													
62	93	181	181	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	494						55							
62	93	182	182	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	495						55							
62	93	367/2	367/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	496						55							
62	93	181	181	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	497													
62	93	181	181	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	498						56							
62	93	182	182	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	499						56							
62	93	367/2	367/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	500						56							
63	94	184	184	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	501						55							
63	94	739/4	739/4	0.0	3/16	3/16	Spanner	3/4	1	1	0										55	0						
63	94	739/4	739/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	502						55	0						
63	94	185	185	0.0	1/4	1/4	Spanner	3/4	1	1	0										55							
63	94	185	185	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	503						55							
63	94	186	186	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	504													
