mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line	pedal
5	5	13	13	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	32						2		
5	5	12	12	0.0		0	0	Spanner	3/4	2	1	0												
5	5	12	12	0.0		0	0	Spanner	3/4	2	1	0												4
5	5	12	12	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	33		articStaccatoBelow						4
5	5	13	13	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	34								4
5	5	14	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	35								4
6	6	15	15	0.0		0	0	Spanner	3/4	1	1	0												
6	6	15	15	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	36								
6	6	15	15	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	37		articStaccatissimoAbove						
6	6	63/4	63/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										3		
6	6	63/4	63/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	38				5		3		
6	6	16	16	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	39				6		3		
6	6	15	15	0.0		0	0	Spanner	3/4	2	1	0												
6	6	15	15	0.0		0	0	Spanner	3/4	2	1	0												5
6	6	15	15	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	40		articStaccatoBelow						5
6	6	16	16	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	41								5
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	42								5
7	7	18	18	0.0		0	0	Spanner	3/4	1	1	0												
7	7	18	18	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	43		articStaccatoBelow						
7	7	75/4	75/4	0.0		3/16	3/16	Spanner	3/4	1	1	0									0			
7	7	75/4	75/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	44				7	0			
7	7	19	19	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	45				7	0			
7	7	39/2	39/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	46				7	0			
7	7	20	20	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	47					0			
7	7	83/4	83/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	48					0			
7	7	18	18	0.0		0	0	StaffText	3/4	2	1	0							Ped. simile					
7	7	18	18	0.0		0	0	Spanner	3/4	2	1	0												
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	49		articStaccatoBelow						
7	7	19	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50								
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51								
8	8	21	21	0.0		0	0	Spanner	3/4	1	1	0												
8	8	21	21	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	52								
8	8	21	21	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	53		articStaccatoAbove						
8	8	87/4	87/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										4		
8	8	87/4	87/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	54				8		4		
8	8	22	22	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	55		ornamentShortTrill		8		4		
8	8	45/2	45/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	56				8		4		
8	8	23	23	0.0		1/2	1/2	Spanner	3/4	1	1	0												
8	8	23	23	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	57								
8	8	21	21	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	58		articStaccatoBelow						
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	59								
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	60								
9	9	24	24	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	61								
9	9	24	24	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	62		articStaccatissimoAbove						
9	9	99/4	99/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										5		
9	9	99/4	99/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	63				9		5		
9	9	25	25	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	64						5		
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	65		articStaccatoBelow						
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	66								
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67								
10	10	27	27	0.0		0	0	Spanner	3/4	1	1	0												
10	10	27	27	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	68								
10	10	27	27	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	69								
10	10	27	27	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	70		articStaccatissimoAbove						
10	10	111/4	111/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										6		
10	10	111/4	111/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	71				10		6		
10	10	28	28	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	72				11		6		
10	10	27	27	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	73		articStaccatoBelow						
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74								
10	10	29	29	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75								
11	11	30	30	0.0		0	0	Spanner	3/4	1	1	0												
11	11	30	30	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	76		articStaccatoBelow						
11	11	123/4	123/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	77				12				
11	11	31	31	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	78				12				
11	11	63/2	63/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	79				12				
11	11	32	32	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	80		ornamentShortTrill		12				
11	11	65/2	65/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	81				12				
11	11	30	30	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	82		articStaccatoBelow						
11	11	31	31	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	83								
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	84								
12	12	33	33	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	85		articStaccatoBelow						
12	12	135/4	135/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	86				13				
12	12	34	34	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	87				13				
12	12	35	35	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	88				13				
12	12	71/2	71/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89				13				
12	12	33	33	0.0		0	0	Spanner	3/4	2	1	0												6
12	12	33	33	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	90								6
12	12	34	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91								6
12	12	35	35	0.0		1/2	1/2	Spanner	3/4	2	1	0												
13	13	36	36	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	92								
13	13	147/4	147/4	0.0		3/16	3/16	Spanner	3/4	1	1	0											1	
13	13	147/4	147/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	93				14			1	
13	13	37	37	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	94				14			1	
13	13	38	38	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	95				14			1	
13	13	36	36	0.0		0	0	Spanner	3/4	2	1	0												7
13	13	36	36	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	96								7
13	13	37	37	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	97								7
13	13	38	38	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98								7
14	14	39	39	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	99							1	
14	14	159/4	159/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	100				15			1	
14	14	40	40	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	101				15			1	
14	14	41	41	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	102				15			1	
14	14	83/2	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	103				15			1	
14	14	39	39	0.0		0	0	Spanner	3/4	2	1	0												
14	14	39	39	0.0		0	0	Spanner	3/4	2	1	0												8
14	14	39	39	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	104								8
14	14	40	40	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	105								8
14	14	41	41	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106								8
15	15	42	42	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	107		articStaccatoAbove					1	
15	15	85/2	85/2	0.0		1/8	1/8	Spanner	3/4	1	1	0												
15	15	171/4	171/4	0.0		3/16	3/16	Dynamic	3/4	1	1	0					f							
15	15	171/4	171/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	108				16				
15	15	43	43	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	109		ornamentTrill		16				
15	15	44	44	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	110				16				
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	111				16				
15	15	42	42	0.0		0	0	Spanner	3/4	2	1	0												9
15	15	42	42	0.0		0	0	Spanner	3/4	2	1	0												9
15	15	42	42	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	112								9
15	15	43	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	113								9
16	16	45	45	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	114								
16	16	45	45	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	115		articStaccatissimoAbove						
16	16	183/4	183/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										7		
16	16	183/4	183/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	116				17		7		
16	16	46	46	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	117						7		
16	16	45	45	0.0		0	0	Spanner	3/4	2	1	0												
16	16	45	45	0.0		0	0	Spanner	3/4	2	1	0												10
16	16	45	45	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	118								10
16	16	46	46	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119								10
16	16	47	47	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	120								10
17	17	48	48	0.0		0	0	Spanner	3/4	1	1	0												
17	17	48	48	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	121								
17	17	48	48	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	122		articStaccatissimoAbove						
17	17	195/4	195/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										8		
17	17	195/4	195/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	123				18		8		
17	17	49	49	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	124						8		
17	17	48	48	0.0		0	0	StaffText	3/4	2	1	0							Ped. simile					
17	17	48	48	0.0		0	0	Spanner	3/4	2	1	0												
17	17	48	48	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	125								
17	17	49	49	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126								
17	17	50	50	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127								
18	18	51	51	0.0		0	0	Spanner	3/4	1	1	0												
18	18	51	51	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	128								
18	18	51	51	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	129		articStaccatissimoAbove						
18	18	207/4	207/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										9		
18	18	207/4	207/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	130				19		9		
18	18	52	52	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	131				20		9		
18	18	51	51	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	132								
18	18	52	52	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	133								
18	18	53	53	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134								
19	19	54	54	0.0		0	0	Spanner	3/4	1	1	0												
19	19	54	54	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	135								
19	19	219/4	219/4	0.0		3/16	3/16	Spanner	3/4	1	1	0									1			
19	19	219/4	219/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	136				21	1			
19	19	55	55	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	137				21	1			
19	19	111/2	111/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	138				21	1			
19	19	56	56	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	139					1			
19	19	227/4	227/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	140					1			
19	19	54	54	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	141								
19	19	55	55	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	142								
19	19	56	56	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	143								
20	20	57	57	0.0		0	0	Spanner	3/4	1	1	0												
20	20	57	57	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	144								
20	20	57	57	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	145								
20	20	231/4	231/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	146				22				
20	20	58	58	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	147		articAccentAbove		22				
20	20	117/2	117/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	148				22				
20	20	59	59	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	149								
20	20	57	57	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	150								
20	20	58	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	151								
20	20	59	59	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	152								
21	21	60	60	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	153								
21	21	60	60	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	154		articStaccatissimoAbove						
21	21	243/4	243/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										10		
21	21	243/4	243/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	155				23		10		
21	21	61	61	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	156						10		
21	21	60	60	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	157								
21	21	61	61	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	158								
21	21	62	62	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	159								
22	22	63	63	0.0		0	0	Spanner	3/4	1	1	0												
22	22	63	63	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	160								
22	22	63	63	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	161								
22	22	63	63	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	162		articStaccatissimoAbove						
22	22	255/4	255/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										11		
22	22	255/4	255/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	163				24		11		
22	22	64	64	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	164				25		11		
22	22	63	63	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	165								
22	22	64	64	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	166								
22	22	65	65	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	167								
23	23	66	66	0.0		0	0	Spanner	3/4	1	1	0												
23	23	66	66	0.0		0	0	Spanner	3/4	1	1	0									2			
23	23	66	66	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	168					2			
23	23	267/4	267/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	169				26	2			
23	23	67	67	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	170				26	2			
23	23	135/2	135/2	0.0		3/8	3/8	Spanner	3/4	1	1	0								26				
23	23	135/2	135/2	0.0		3/8	3/8	Spanner	3/4	1	1	0								26		12		
23	23	135/2	135/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	171				26		12		
23	23	68	68	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	172		ornamentShortTrill		26		12		
23	23	137/2	137/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	173				26		12		
23	23	66	66	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	174								
23	23	67	67	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	175								
23	23	68	68	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	176								
24	24	69	69	0.0		0	0	Spanner	3/4	1	1	0												
24	24	69	69	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	177								
24	24	279/4	279/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	178				27				
24	24	70	70	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	179								
24	24	69	69	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	180								
24	24	70	70	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	181								
25	24	71	71	0.5		0	1/2	Chord	3/4	1	1	1/8		1/8	1	182				28				
25	24	143/2	143/2	0.5		1/8	5/8	Chord	3/4	1	1	1/8		1/8	1	183								
26	25	72	72	0.0		0	0	Dynamic	3/4	1	1	0					p							
26	25	72	72	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	184				29				
26	25	291/4	291/4	0.0		3/16	3/16	StaffText	3/4	1	1	0							legato	29				
26	25	291/4	291/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	185				29				
26	25	73	73	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	186								
26	25	74	74	0.0		1/2	1/2	Spanner	3/4	1	1	0									3			
26	25	74	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	187				30	3			
26	25	149/2	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	188				30	3			
26	25	72	72	0.0		0	0	Spanner	3/4	2	1	0												11
26	25	72	72	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	189								11
26	25	73	73	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190								11
26	25	74	74	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191								11
27	26	75	75	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	192				30	3			
27	26	303/4	303/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	193				30	3			
27	26	76	76	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	194					3			
27	26	77	77	0.0		1/2	1/2	Spanner	3/4	1	1	0												
27	26	77	77	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	195				31				
27	26	155/2	155/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	196				31				
27	26	75	75	0.0		0	0	Spanner	3/4	2	1	0												
27	26	75	75	0.0		0	0	Spanner	3/4	2	1	0												12
27	26	75	75	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	197								12
27	26	76	76	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	198								12
27	26	77	77	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	199								12
28	27	78	78	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	200				31				
28	27	157/2	157/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	201				31				
28	27	79	79	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	202				31				
28	27	80	80	0.0		1/2	1/2	Spanner	3/4	1	1	0									4			
28	27	80	80	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	203					4			
28	27	323/4	323/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	204					4			
28	27	78	78	0.0		0	0	Spanner	3/4	2	1	0												
28	27	78	78	0.0		0	0	Spanner	3/4	2	1	0												13
28	27	78	78	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	205								13
28	27	79	79	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	206								13
28	27	80	80	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	207								13
29	28	81	81	0.0		0	0	Spanner	3/4	1	1	0												
29	28	81	81	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	208				32				
29	28	244/3	244/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	209				32				
29	28	245/3	245/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	210				32				
29	28	82	82	0.0		1/4	1/4	Spanner	3/4	1	1	0								32		13		
29	28	82	82	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	211				32		13		
29	28	167/2	167/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	212						13		
29	28	81	81	0.0		0	0	Spanner	3/4	2	1	0												
29	28	81	81	0.0		0	0	Spanner	3/4	2	1	0												14
29	28	81	81	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	213								14
29	28	82	82	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	214								14
29	28	83	83	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	215								14
30	29	84	84	0.0		0	0	StaffText	3/4	1	1	0							"stretto
"					
30	29	84	84	0.0		0	0	Spanner	3/4	1	1	0												
30	29	84	84	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	216				33				
30	29	169/2	169/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	217				33				
30	29	85	85	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	218								
30	29	86	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	219				34				
30	29	173/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	220				34				
30	29	84	84	0.0		0	0	Spanner	3/4	2	1	0												
30	29	84	84	0.0		0	0	Spanner	3/4	2	1	0												15
30	29	84	84	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	221								15
30	29	85	85	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222								15
30	29	86	86	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	223		articStaccatoAbove						15
