mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_line	HairPin:2_poco a poco cresc.	HairPin:2_poco cresc.	pedal	Pedal_<sym>keyboardPedalPed</sym>
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	243											
30	29	85	85	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	244						15	1	1			
30	29	171/2	171/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	245						15	1	1			
30	29	86	86	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	246						15	1	1			
30	29	87	87	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	247						15	1	1			
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	248						15	1	1			
30	29	85	85	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	249							1	1			
30	29	86	86	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	250							1	1			
30	29	87	87	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	251							1	1			
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	252											
30	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	253											
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	254											
31	30	88	88	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	255						15	1	1			
31	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	256						15	1	1			
31	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	257						15	1	1			
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	258						15	1	1			
31	30	88	88	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	259							1	1			
31	30	89	89	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	260							1	1			
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	261							1	1			
31	30	88	88	0.0	0	0	Spanner	3/4	2	1	0														21	21
31	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	262										21	21
31	30	89	89	0.0	1/4	1/4	Spanner	3/4	2	1	0															
31	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	263											
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	264											
32	31	91	91	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	265						15	1	1			
32	31	367/4	367/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	266						15	1	1			
32	31	92	92	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	267						15	1	1			
32	31	93	93	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	268						15	1	1			
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	269						15	1	1			
32	31	93	93	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	270							1	1			
32	31	91	91	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	271											
32	31	367/4	367/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	272											
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	273											
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	274											
33	32	94	94	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	275							1	1			
33	32	96	96	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	276							1	1			
33	32	95	95	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	277							1	1			
33	32	94	94	0.0	0	0	Spanner	3/4	2	1	0														22	22
33	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	278										22	22
33	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	279										22	22
33	32	96	96	0.0	1/2	1/2	Spanner	3/4	2	1	0															
34	33	97	97	0.0	0	0	Dynamic	3/4	1	1	0					p										
34	33	97	97	0.0	0	0	Spanner	3/4	1	1	0															
34	33	97	97	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	280											
34	33	97	97	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	281											
34	33	97	97	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	282											
34	33	195/2	195/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	283											
34	33	98	98	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	284											
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	285											
34	33	97	97	0.0	0	0	Spanner	3/4	2	1	0														23	23
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	286										23	23
34	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	287										23	23
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	288										23	23
35	34	100	100	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	289											
35	34	101	101	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	290											
35	34	100	100	0.0	0	0	Spanner	3/4	2	1	0															
35	34	100	100	0.0	0	0	Spanner	3/4	2	1	0														24	24
35	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	291										24	24
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	292										24	24
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	293										24	24
36	35	103	103	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	294						16					
36	35	103	103	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	295						16					
36	35	103	103	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	296						16					
36	35	207/2	207/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	297						16					
36	35	104	104	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	298						16					
36	35	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	299						16					
36	35	103	103	0.0	0	0	Spanner	3/4	2	1	0															
36	35	103	103	0.0	0	0	Spanner	3/4	2	1	0														25	25
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	300										25	25
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	301										25	25
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	302										25	25
37	36	106	106	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	303						16					
37	36	107	107	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	304											
37	36	106	106	0.0	0	0	Spanner	3/4	2	1	0															
37	36	106	106	0.0	0	0	Spanner	3/4	2	1	0														26	26
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	305										26	26
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	306										26	26
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	307										26	26
38	37	109	109	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	308						17					
38	37	109	109	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	309						17					
38	37	109	109	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	310						17					
38	37	219/2	219/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	311						17					
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	312						17					
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	313						17					
38	37	109	109	0.0	0	0	Spanner	3/4	2	1	0															
38	37	109	109	0.0	0	0	Spanner	3/4	2	1	0														27	27
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	314										27	27
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	315										27	27
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	316										27	27
39	38	112	112	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	317						17					
39	38	113	113	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	318											
39	38	112	112	0.0	0	0	Spanner	3/4	2	1	0															
39	38	112	112	0.0	0	0	Spanner	3/4	2	1	0														28	28
39	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	319										28	28
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	320										28	28
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	321										28	28
40	39	115	115	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	322											
40	39	115	115	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	323						18					
40	39	115	115	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	324						18					
40	39	115	115	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	325						18					
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	326						18					
40	39	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	327						18					
40	39	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	328						18					
40	39	115	115	0.0	0	0	Spanner	3/4	2	1	0															
40	39	115	115	0.0	0	0	Spanner	3/4	2	1	0														29	29
40	39	115	115	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	329										29	29
40	39	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	330										29	29
40	39	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	331										29	29
41	40	118	118	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	332						18					
41	40	119	119	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	333											
41	40	118	118	0.0	0	0	Spanner	3/4	2	1	0															
41	40	118	118	0.0	0	0	Spanner	3/4	2	1	0														30	30
41	40	118	118	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	334										30	30
41	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	335										30	30
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	336										30	30
42	41	121	121	0.0	0	0	Dynamic	3/4	1	1	0					p										
42	41	121	121	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	337						19					
42	41	121	121	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	338						19					
42	41	121	121	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	339						19					
42	41	243/2	243/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	340						19					
42	41	122	122	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	341						19					
42	41	123	123	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	342						19					
42	41	121	121	0.0	0	0	Spanner	3/4	2	1	0															
42	41	121	121	0.0	0	0	Spanner	3/4	2	1	0														31	31
42	41	121	121	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	343										31	31
42	41	122	122	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	344										31	31
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	345										31	31
43	42	124	124	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	346						19					
43	42	125	125	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	347											
43	42	124	124	0.0	0	0	Spanner	3/4	2	1	0															
43	42	124	124	0.0	0	0	Spanner	3/4	2	1	0														32	32
43	42	124	124	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	348										32	32
43	42	125	125	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	349										32	32
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	350										32	32
44	43	127	127	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	351						20					
44	43	127	127	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	352						20					
44	43	127	127	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	353						20					
44	43	255/2	255/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	354						20					
44	43	128	128	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	355						20					
44	43	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	356						20					
44	43	127	127	0.0	0	0	Spanner	3/4	2	1	0															
44	43	127	127	0.0	0	0	Spanner	3/4	2	1	0														33	33
44	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	357										33	33
44	43	128	128	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	358										33	33
44	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	359										33	33
45	44	130	130	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	360						20					
45	44	131	131	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	361											
45	44	130	130	0.0	0	0	Spanner	3/4	2	1	0															
45	44	130	130	0.0	0	0	Spanner	3/4	2	1	0														34	34
45	44	130	130	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	362										34	34
45	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	363										34	34
45	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	364										34	34
46	45	133	133	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	365						21					
46	45	133	133	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	366						21					
46	45	133	133	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	367						21					
46	45	267/2	267/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	368						21					
46	45	134	134	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	369						21					
46	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	370						21					
46	45	133	133	0.0	0	0	Spanner	3/4	2	1	0															
46	45	133	133	0.0	0	0	Spanner	3/4	2	1	0														35	35
46	45	133	133	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	371										35	35
46	45	134	134	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	372										35	35
46	45	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	373										35	35
47	46	136	136	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	374						21					
47	46	137	137	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	375											
47	46	136	136	0.0	0	0	Spanner	3/4	2	1	0															
47	46	136	136	0.0	0	0	Spanner	3/4	2	1	0														36	36
47	46	136	136	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	376										36	36
47	46	137	137	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	377										36	36
47	46	138	138	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	378										36	36
48	47	139	139	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	379											
48	47	139	139	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	380						22					
48	47	139	139	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	381						22					
48	47	139	139	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	382						22					
48	47	279/2	279/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	383						22					
48	47	140	140	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	384						22					
48	47	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	385						22					
48	47	139	139	0.0	0	0	Spanner	3/4	2	1	0															
48	47	139	139	0.0	0	0	Spanner	3/4	2	1	0														37	37
48	47	139	139	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	386										37	37
48	47	140	140	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	387										37	37
48	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	388										37	37
49	48	142	142	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	389						22					
49	48	143	143	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	390											
49	48	144	144	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	391		articAccentBelow									
49	48	142	142	0.0	0	0	Spanner	3/4	2	1	0															
49	48	142	142	0.0	0	0	Spanner	3/4	2	1	0														38	38
49	48	142	142	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	392										38	38
49	48	143	143	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	393										38	38
49	48	144	144	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	394										38	38
50	49	145	145	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	395						23					
50	49	291/2	291/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	396						23					
50	49	146	146	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	397						23					
50	49	147	147	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	398						23					
50	49	295/2	295/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	399						23					
50	49	145	145	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	400											
50	49	146	146	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	401											
50	49	147	147	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	402											
50	49	145	145	0.0	0	0	Spanner	3/4	2	1	0															
50	49	145	145	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	403											
50	49	146	146	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	404											
50	49	147	147	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	405											
51	50	148	148	0.0	0	0	Spanner	3/4	1	1	0										23	2		2		
51	50	148	148	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	406						23	2		2		
51	50	297/2	297/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	407						23	2		2		
51	50	149	149	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	408						23	2		2		
51	50	150	150	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	409						23	2		2		
51	50	301/2	301/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	410						23	2		2		
51	50	148	148	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	411							2		2		
51	50	149	149	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	412							2		2		
51	50	150	150	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	413							2		2		
51	50	148	148	0.0	0	0	Spanner	3/4	2	1	0														39	39
51	50	148	148	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	414										39	39
51	50	149	149	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	415										39	39
51	50	150	150	0.0	1/2	1/2	Spanner	3/4	2	1	0															
51	50	150	150	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	416											
52	51	151	151	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	417						23	2		2		
52	51	303/2	303/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	418						23	2		2		
52	51	152	152	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	419						23	2		2		
52	51	153	153	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	420						23	2		2		
52	51	307/2	307/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	421						23	2		2		
52	51	151	151	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	422							2		2		
52	51	152	152	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	423							2		2		
52	51	153	153	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	424							2		2		
52	51	151	151	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	425											
52	51	152	152	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	426											
52	51	153	153	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	427											
53	52	154	154	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	428						23	2		2		
53	52	309/2	309/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	429						23	2		2		
53	52	155	155	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	430						23	2		2		
53	52	156	156	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	431						23	2		2		
53	52	313/2	313/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	432						23	2		2		
53	52	154	154	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	433							2		2		
53	52	155	155	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	434							2		2		
53	52	156	156	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	435							2		2		
53	52	154	154	0.0	0	0	Spanner	3/4	2	1	0														40	40
53	52	154	154	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	436										40	40
53	52	155	155	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	437										40	40
53	52	156	156	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	438										40	40
54	53	157	157	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	439						23	2		2		
54	53	315/2	315/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	440						23	2		2		
54	53	158	158	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	441						23	2		2		
54	53	159	159	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	442						23	2		2		
54	53	319/2	319/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	443						23	2		2		
54	53	157	157	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	444							2		2		
54	53	158	158	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	445							2		2		
54	53	159	159	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	446							2		2		
54	53	157	157	0.0	0	0	Spanner	3/4	2	1	0															
54	53	157	157	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	447											
54	53	158	158	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	448											
54	53	159	159	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	449											
55	54	160	160	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	450						23	2		2		
55	54	321/2	321/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	451						23	2		2		
55	54	161	161	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	452						23	2		2		
55	54	162	162	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	453						23	2		2		
55	54	160	160	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	454							2		2		
55	54	161	161	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	455							2		2		
55	54	162	162	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	456							2		2		
55	54	160	160	0.0	0	0	Spanner	3/4	2	1	0														41	41
55	54	160	160	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	457										41	41
55	54	161	161	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	458										41	41
55	54	162	162	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	459										41	41
56	55	163	163	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	460						23	2		2		
56	55	327/2	327/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	461						23	2		2		
56	55	164	164	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	462						23	2		2		
56	55	165	165	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	463						23	2		2		
56	55	163	163	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	464							2		2		
56	55	164	164	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	465							2		2		
56	55	165	165	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	466							2		2		
56	55	163	163	0.0	0	0	Spanner	3/4	2	1	0															
56	55	163	163	0.0	0	0	Spanner	3/4	2	1	0														42	42
56	55	163	163	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	467										42	42
56	55	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	468										42	42
56	55	165	165	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	469										42	42
56	55	163	163	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	470										42	42
56	55	327/2	327/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	471										42	42
57	56	166	166	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	472						23	2		2		
57	56	168	168	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	473		articAccentAbove				24	2		2		
57	56	167	167	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	474							2		2		
57	56	166	166	0.0	0	0	Spanner	3/4	2	1	0															
57	56	166	166	0.0	0	0	Spanner	3/4	2	1	0														43	43
57	56	166	166	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	475										43	43
57	56	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	476										43	43
57	56	168	168	0.0	1/2	1/2	Spanner	3/4	2	1	0															
57	56	168	168	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	477											
58	57	169	169	0.0	0	0	Spanner	3/4	1	1	0										24					
58	57	169	169	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	478						24					
58	57	339/2	339/2	0.0	1/8	1/8	Spanner	3/4	1	1	0										24	3	3			
58	57	339/2	339/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	479						24	3	3			
58	57	170	170	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	480						24	3	3			
58	57	171	171	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	481						24	3	3			
58	57	343/2	343/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	482						24	3	3			
58	57	169	169	0.0	0	0	Dynamic	3/4	1	2	0					p						3	3			
58	57	169	169	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	483							3	3			
58	57	170	170	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	484							3	3			
58	57	171	171	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	485							3	3			
58	57	169	169	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	486											
58	57	170	170	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	487											
58	57	171	171	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	488											
59	58	172	172	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	489						24	3	3			
59	58	345/2	345/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	490						24	3	3			
59	58	173	173	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	491						24	3	3			
59	58	174	174	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	492						24	3	3			
59	58	349/2	349/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	493						24	3	3			
59	58	172	172	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	494							3	3			
59	58	173	173	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	495							3	3			
