mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
34	34	99	99	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	241							16				
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	242							16				
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	243							16				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	244											
34	34	99	99	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	245											
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	246											
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	247											
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	248											
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	249		articAccentBelow									
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0															
34	34	100	100	0.0	1/4	1/4	Spanner	3/4	2	1	0														21	21
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	250										21	21
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	251										21	21
35	35	102	102	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	252							17				
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	253											
35	35	102	102	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	254											
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	255											
35	35	103	103	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	256											
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	257											
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	258											
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0															
35	35	103	103	0.0	1/4	1/4	Spanner	3/4	2	1	0														22	22
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	259										22	22
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	260										22	22
36	36	105	105	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	261							18				
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	262							18				
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	263							18				
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	264											
36	36	105	105	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	265											
36	36	211/2	211/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	266											
36	36	106	106	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	267											
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	268											
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	269		articAccentBelow									
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0															
36	36	106	106	0.0	1/4	1/4	Spanner	3/4	2	1	0														23	23
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	270										23	23
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	271										23	23
37	37	108	108	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	272							19				
37	37	217/2	217/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	273							19				
37	37	109	109	0.0	1/4	1/4	Spanner	3/4	1	1	0											19	4			
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	274							19	4			
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	275							19	4			
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	276							19	4			
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0															
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	277											
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	278											
38	38	111	111	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	279								4			
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	280							20	4			
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	281											
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	282											
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	283											
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	284											
39	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	285							20	4			
39	39	229/2	229/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	286							20	4			
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	287							20	4			
39	39	116	116	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	288							20	4			
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	289							20	4			
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	290											
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	291											
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	292											
40	40	117	117	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	293							20	4			
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	294							20	4			
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	295											
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	296											
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	297											
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	298											
41	41	120	120	0.0	0	0	Dynamic	3/4	1	1	0					f										
41	41	120	120	0.0	0	0	Spanner	3/4	1	1	0															
41	41	120	120	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	299											
41	41	120	120	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	300											
41	41	121	121	0.0	1/4	1/4	Spanner	3/4	1	1	0													5		
41	41	121	121	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	301									5		
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0														24	24
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	302										24	24
41	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	303										24	24
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	304										24	24
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	305									5		
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	306							21		5		
42	42	124	124	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	307							21		5		
42	42	249/2	249/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	308							21		5		
42	42	125	125	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	309							21		5		
42	42	251/2	251/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	310							21		5		
42	42	123	123	0.0	0	0	Spanner	3/4	2	1	0															
42	42	123	123	0.0	0	0	Spanner	3/4	2	1	0														25	25
42	42	123	123	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	311										25	25
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	312										25	25
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	313										25	25
43	43	126	126	0.0	0	0	Spanner	3/4	1	1	0											21				
43	43	126	126	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	314							21				
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	315							21				
43	43	127	127	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	316							21				
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	317							21				
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0															
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0														26	26
43	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	318										26	26
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	319										26	26
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	320										26	26
44	44	129	129	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	321							21				
44	44	519/4	519/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	322							21				
44	44	130	130	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	323											
44	44	129	129	0.0	0	0	Spanner	3/4	2	1	0															
44	44	129	129	0.0	0	0	Spanner	3/4	2	1	0														27	27
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	324										27	27
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	325										27	27
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	326										27	27
45	45	132	132	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	327											
45	45	133	133	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	328											
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	329							22				
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0															
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0														28	28
45	45	132	132	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	330										28	28
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	331										28	28
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	332										28	28
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	333							22				
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	334							22				
46	46	136	136	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	335							22				
46	46	273/2	273/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	336							22				
46	46	137	137	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	337							22				
46	46	275/2	275/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	338							22				
46	46	135	135	0.0	0	0	Spanner	3/4	2	1	0															
46	46	135	135	0.0	0	0	Spanner	3/4	2	1	0														29	29
46	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	339										29	29
46	46	136	136	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	340										29	29
47	47	138	138	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	341							22				
47	47	277/2	277/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	342							22				
47	47	139	139	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	343							22				
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	344							22				
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	345							22				
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	346							22				
47	47	138	138	0.0	0	0	Spanner	3/4	2	1	0															
47	47	138	138	0.0	0	0	Spanner	3/4	2	1	0														30	30
47	47	138	138	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	347										30	30
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	348										30	30
47	47	140	140	0.0	1/2	1/2	Spanner	3/4	2	1	0															
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	349											
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	350							22				
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	351							22				
48	48	142	142	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	352											
48	48	141	141	0.0	0	0	Spanner	3/4	2	1	0														31	31
48	48	141	141	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	353										31	31
48	48	142	142	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	354										31	31
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	355										31	31
49	49	144	144	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	356											
49	49	144	144	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	357											
49	49	145	145	0.0	1/4	1/4	Spanner	3/4	1	1	0													6		
49	49	145	145	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	358									6		
49	49	144	144	0.0	0	0	Spanner	3/4	2	1	0															
49	49	144	144	0.0	0	0	Spanner	3/4	2	1	0														32	32
49	49	144	144	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	359										32	32
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	360										32	32
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	361										32	32
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	362							23		6		
50	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	363							23		6		
50	50	148	148	0.0	1/4	1/4	Spanner	3/4	1	1	0											23				
50	50	148	148	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	364		ornamentShortTrill					23				
50	50	297/2	297/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	365							23				
50	50	149	149	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	366							23				
50	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	367							23				
50	50	147	147	0.0	0	0	Spanner	3/4	2	1	0															
50	50	147	147	0.0	0	0	Spanner	3/4	2	1	0														33	33
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	368										33	33
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	369										33	33
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	370										33	33
51	51	150	150	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	371							23				
51	51	301/2	301/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	372							23				
51	51	151	151	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	373							23				
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	374							23				
51	51	150	150	0.0	0	0	Spanner	3/4	2	1	0															
51	51	150	150	0.0	0	0	Spanner	3/4	2	1	0														34	34
51	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	375										34	34
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	376										34	34
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	377										34	34
52	52	153	153	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	378							23				
52	52	307/2	307/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	379							23				
52	52	154	154	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	380							23				
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	381							23				
52	52	153	153	0.0	0	0	Spanner	3/4	2	1	0															
52	52	153	153	0.0	0	0	Spanner	3/4	2	1	0														35	35
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	382										35	35
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	383										35	35
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	384										35	35
53	53	156	156	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	385							23				
53	53	313/2	313/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	386							23				
53	53	157	157	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	387							23				
53	53	315/2	315/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	388							23				
53	53	158	158	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	389							23				
53	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	390							23				
53	53	156	156	0.0	0	0	Spanner	3/4	2	1	0															
53	53	156	156	0.0	0	0	Spanner	3/4	2	1	0														36	36
53	53	156	156	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	391										36	36
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	392										36	36
53	53	158	158	0.0	1/2	1/2	Spanner	3/4	2	1	0															
54	54	159	159	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	393							23				
54	54	319/2	319/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	394							23				
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	395							23				
54	54	160	160	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	396							23				
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	397							23				
54	54	161	161	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	398							23				
54	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	399							23				
54	54	159	159	0.0	0	0	Spanner	3/4	2	1	0														37	37
54	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	400										37	37
54	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	401										37	37
54	54	161	161	0.0	1/2	1/2	Spanner	3/4	2	1	0															
55	55	162	162	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	402							23				
55	55	325/2	325/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	403							23				
55	55	163	163	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	404							23				
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	405							23				
55	55	164	164	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	406							23				
55	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	407							23				
55	55	162	162	0.0	0	0	Spanner	3/4	2	1	0														38	38
55	55	162	162	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	408										38	38
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	409										38	38
55	55	164	164	0.0	1/2	1/2	Spanner	3/4	2	1	0															
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	410											
56	56	165	165	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	411							23				
56	56	331/2	331/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	412							23				
56	56	166	166	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	413											
56	56	166	166	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	414											
56	56	165	165	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	415							24				
