mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
9	9	25	25	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	62									4				
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	63		ornamentTrill							4				
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	64									4				
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	65									4				
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	66													
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	67													
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	68													
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	69		articStaccatoAbove											
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	70		articStaccatoAbove											
10	10	28	28	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	71													
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	72													
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	73		articAccentAbove											
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	74													
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	75													
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	76													
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	77									5				
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	78									5				
11	11	31	31	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	79									5				
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	80		ornamentTrill							5				
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	81									5				
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	82									5				
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	83													
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84													
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	85													
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	86		articStaccatoAbove											
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	87		articStaccatoAbove											
12	12	34	34	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	88													
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	89													
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	90		articAccentBelow							6				
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	91													
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	92													
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	93													
13	13	36	36	0.0	0	0	StaffText	3/4	1	1	0							più										
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	94													
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	95									7				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	96									7				
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	97									7				
13	13	36	36	0.0	0	0	Dynamic	3/4	1	2	0					f												
13	13	36	36	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	98													
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	99													
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	100													
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	101													
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	102													
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	103													
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	104													
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	105									8				
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	106									8				
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	107													
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	108													
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	109													
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	110		articAccentBelow											
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	111													
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	112													
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	113													
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	114									9				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	115									9				
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	116													
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	117									10				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	118									10				
15	15	42	42	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	119													
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	120													
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	121		articAccentBelow											
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	122													
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	123													
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	124									11				
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	125													
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	126		articStaccatoBelow											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	127		articAccentBelow							12				
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	128													
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	129		articStaccatoAbove											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	130													
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	131													
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	132									13				
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	133									13				
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	134													
17	17	48	48	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	135													
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	136													
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	137		articAccentBelow											
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	138													
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	139													
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	140													
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	141									14				
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	142									14				
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	143									14				
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	144									14				
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	145													
18	18	51	51	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	146													
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	147													
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	148		articAccentBelow											
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149													
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150													
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151													
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	152									15				
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	153									15				
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	154													
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	155									16				
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	156									16				
19	19	54	54	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	157													
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	158													
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	159		articAccentBelow											
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	160													
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161													
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162													
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	163													
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	164		articStaccatoBelow											
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	165		articAccentBelow											
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	166													
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	167		articStaccatoAbove											
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	168		articAccentAbove											
21	21	60	60	0.0	0	0	StaffText	3/4	1	1	0							dolce										
21	21	60	60	0.0	0	0	Spanner	3/4	1	1	0														0			
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	169									17	0			
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	170									17	0			
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	171										0			
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	172										0			
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																0	0
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	173		articStaccatoBelow										0	0
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	174												0	0
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	175												0	0
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	176									18	0			
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	177									18	0			
22	22	64	64	0.0	1/4	1/4	Spanner	3/4	1	1	0													18				
22	22	64	64	0.0	1/4	1/4	Spanner	3/4	1	1	0													18		0		
22	22	64	64	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	178									18		0		
22	22	193/3	193/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	179									18		0		
22	22	194/3	194/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	180									18		0		
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	181									18		0		
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	182											0		
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																	
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																1	1
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	183												1	1
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	184												1	1
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	185												1	1
23	23	66	66	0.0	0	0	Spanner	3/4	1	1	0																	
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	186									19				
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	187									19				
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	188													
23	23	68	68	0.0	1/2	1/2	Spanner	3/4	1	1	0														1			
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	189									20	1			
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	190									20	1			
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																	
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																2	2
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	191												2	2
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	192												2	2
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	193												2	2
24	24	69	69	0.0	0	0	Spanner	3/4	1	1	0													20				
24	24	69	69	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	194		articAccentAbove							20				
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	195													
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0																	
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0																3	3
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	196												3	3
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	197												3	3
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	198												3	3
25	25	72	72	0.0	0	0	Spanner	3/4	1	1	0														2			
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	199									21	2			
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	200									21	2			
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	201										2			
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	202									22	2			
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	203									22	2			
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																	
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																4	4
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	204												4	4
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	205												4	4
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	206												4	4
26	26	75	75	0.0	0	0	Spanner	3/4	1	1	0													22				
26	26	75	75	0.0	0	0	Spanner	3/4	1	1	0													22		1		
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	207									22		1		
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	208		articStaccatoAbove							22		1		
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	209		articStaccatoAbove							22		1		
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	210		articStaccatoAbove							22		1		
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	211		articStaccatoAbove									1		
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																	
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																5	5
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	212		articStaccatoBelow										5	5
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	213												5	5
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	214												5	5
27	27	78	78	0.0	0	0	Spanner	3/4	1	1	0																	
27	27	78	78	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	215									23				
27	27	235/3	235/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	216									23				
27	27	236/3	236/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	217													
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	218													
27	27	80	80	0.0	1/2	1/2	StaffText	3/4	1	1	0							riten.										
27	27	80	80	0.0	1/2	1/2	Spanner	3/4	1	1	0															2		
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	219									24		2		
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	220									24		2		
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																	
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																6	6
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	221		articStaccatoBelow										6	6
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222												6	6
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	223												6	6
28	28	81	81	0.0	0	0	Spanner	3/4	1	1	0													24				
28	28	81	81	0.0	0	0	Spanner	3/4	1	1	0													24		3		
28	28	81	81	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	224									24		3		
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	225											3		
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																	
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																7	7
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	226		articStaccatoAbove										7	7
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	227												7	7
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	228												7	7
29	29	84	84	0.0	0	0	StaffText	3/4	1	1	0							rubato										
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0														3			
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0														3			
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	229									25	3			
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	230									25	3			
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	231										3			
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	232		articAccentAbove								3			
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																8	8
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																8	8
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	233		articStaccatoBelow										8	8
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	234												8	8
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	235												8	8
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	236									26	3			
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	237									26	3			
30	30	88	88	0.0	1/4	1/4	Spanner	3/4	1	1	0													26				
30	30	88	88	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	238									26				
30	30	265/3	265/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	239									26				
30	30	266/3	266/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	240									26				
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	241									26				
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	242									26				
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																	
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																9	9
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	243		articStaccatoBelow										9	9
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	244												9	9
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	245												9	9
31	31	90	90	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	246									26				
31	31	271/3	271/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	247									26				
31	31	272/3	272/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	248									26				
31	31	91	91	0.0	1/4	1/4	Spanner	3/4	1	1	0														4			
