mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	crescendo_line	diminuendo_line	HairPin:3_decresc.
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	17		articAccentAbove												
3	3	6	6	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	18														
3	3	19/3	19/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	19														
3	3	20/3	20/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	20														
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	21														
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	22														
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	23														
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	24														
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	25		articAccentBelow												
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	26														
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	27		articAccentAbove												
4	4	9	9	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	28														
4	4	28/3	28/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	29														
4	4	29/3	29/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	30														
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	31														
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	32														
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	33		articAccentBelow												
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	34		articAccentAbove												
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	35		articAccentAbove												
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	36		articAccentAbove												
5	5	12	12	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	37														
5	5	37/3	37/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	38														
5	5	38/3	38/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	39														
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	40														
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	41								0						
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	42								0						
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	43														
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	44														
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	45														
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	46		articAccentAbove												
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	47		articAccentAbove												
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	48		articAccentAbove												
6	6	15	15	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	49								0						
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	50								0						
6	6	16	16	0.0	1/4	1/4	Chord	3/4	1	2	0	acciaccatura	1/8	1	51								0						
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	52								0						
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	53								0						
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	54								0						
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	55														
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	56														
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58														
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	59														
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	60														
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	61														
7	7	18	18	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	62														
7	7	55/3	55/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	63														
7	7	56/3	56/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	64														
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	65														
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	66								1						
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	67														
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	68														
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	69														
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70														
8	8	21	21	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	71		articStaccatoBelow						2						
8	8	64/3	64/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	72		articStaccatoBelow						2						
8	8	65/3	65/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	73		articStaccatoBelow												
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	74														
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	75														
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	76														
9	8	23	23	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	77		articAccentBelow						3						
10	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	78														
10	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	79								4						
10	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	80								4						
10	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	81								4						
10	9	24	24	0.0	0	0	Spanner	3/4	2	1	0													0	0				
10	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	82									0	0				
10	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	83									0	0				
10	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	84									0	0				
11	10	27	27	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	85								4						
11	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	86								4						
11	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	87								4						
11	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	88								4						
11	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																		
11	10	27	27	0.0	0	0	Spanner	3/4	2	1	0													1	1				
11	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	89									1	1				
11	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90									1	1				
11	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91									1	1				
12	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	92														
12	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	93								5						
12	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	94														
12	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	95		articAccentAbove												
12	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																		
12	11	30	30	0.0	0	0	Spanner	3/4	2	1	0													2	2				
12	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	96									2	2				
12	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	97									2	2				
12	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98									2	2				
13	12	33	33	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	99								6						
13	12	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	100								6						
13	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	101														
13	12	34	34	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	102														
13	12	34	34	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	103														
13	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	104								7						
13	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																		
13	12	33	33	0.0	0	0	Spanner	3/4	2	1	0													3	3				
13	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105									3	3				
13	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106		articAccentAbove							3	3				
14	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	107		articStaccatoAbove												
14	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	108								8						
14	13	37	37	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	109								8						
14	13	77/2	77/2	0.0	5/8	5/8	Spanner	3/4	1	1	0												8				0		
14	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	110								8				0		
14	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																		
14	13	36	36	0.0	0	0	Spanner	3/4	2	1	0													4	4				
14	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	111									4	4				
14	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	112									4	4				
14	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	113									4	4				
15	14	39	39	0.0	0	0	Spanner	3/4	1	1	0												8						
15	14	39	39	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	114								8						
15	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	115								8						
15	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	116														
15	14	41	41	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f													
15	14	41	41	0.0	1/2	1/2	StaffText	3/4	1	1	0							" <font face=""ScoreText""/>"											
15	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	117		articAccentBelow						9						
15	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																		
15	14	39	39	0.0	0	0	Spanner	3/4	2	1	0													5	5				
15	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	118									5	5				
15	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119									5	5				
15	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	120									5	5				
16	15	42	42	0.0	0	0	StaffText	3/4	1	1	0							con forza											
16	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	121		articStaccatoBelow												
16	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	122								10						
16	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	123														
16	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	124														
16	15	42	42	0.0	0	0	Spanner	3/4	2	1	0																		
16	15	42	42	0.0	0	0	Spanner	3/4	2	1	0													6	6				
16	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	125									6	6				
16	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126									6	6				
16	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127									6	6				
17	16	45	45	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	128														
17	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	129		articAccentBelow												
17	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																		
17	16	45	45	0.0	0	0	Spanner	3/4	2	1	0													7	7				
17	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	130									7	7				
17	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	131									7	7				
18	16	47	47	0.0	0	1/2	StaffText	3/4	1	1	0							"leggiero
"											
18	16	47	47	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	132								11						
18	16	47	47	0.0	0	1/2	Spanner	3/4	2	1	0																		
19	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	133														
19	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	134								12						
19	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	135								12						
19	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	136								12						
19	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	137														
19	17	48	48	0.0	0	0	Spanner	3/4	2	1	0													8	8				
19	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	138									8	8				
19	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	139									8	8				
19	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	140									8	8				
20	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	141		articStaccatoBelow												
20	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	142								13						
20	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	143								13						
20	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	144								13						
20	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	145		articAccentAbove												
20	18	51	51	0.0	0	0	Spanner	3/4	2	1	0																		
20	18	51	51	0.0	0	0	Spanner	3/4	2	1	0													9	9				
20	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	146									9	9				
20	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	147									9	9				
20	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	148									9	9				
21	19	54	54	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	149		articAccentAbove												
21	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	150								14						
21	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	151		articStaccatoAbove												
21	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	152								15						
21	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	153														
21	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																		
21	19	54	54	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	154								16						
21	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155		articStaccatissimoBelow												
21	19	54	54	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	156														
21	19	55	55	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	157														
22	20	57	57	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	158		articAccentAbove						17						
22	20	172/3	172/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	159								17						
22	20	173/3	173/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	160														
22	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	161														
22	20	59	59	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	162								18						
22	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	163														
22	20	57	57	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	164								19						
22	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	165		articStaccatissimoBelow												
22	20	57	57	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	166														
22	20	58	58	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	167														
23	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	168														
23	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	169														
23	21	61	61	0.0	1/4	1/4	Spanner	3/4	1	1	0															0			
23	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	170								20			0			
23	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	171								20			0			
23	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	172											0			
23	21	60	60	0.0	0	0	Spanner	3/4	2	1	0													10	10				
23	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	173									10	10				
23	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	174									10	10				
23	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	175									10	10				
24	22	63	63	0.0	0	0	Spanner	3/4	1	1	0																		
24	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	176														
24	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	177								21						
24	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	178								21						
24	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	179								21						
24	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	180		articAccentAbove												
24	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																		
24	22	63	63	0.0	0	0	Spanner	3/4	2	1	0													11	11				
24	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	181		articStaccatoBelow							11	11				
24	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	182									11	11				
24	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	183									11	11				
25	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	184								22						
25	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	185								22						
25	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	186								22						
25	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	187														
25	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	188								23						
25	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																		
25	23	66	66	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	189		articAccentAbove						24						
25	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190		articStaccatissimoBelow												
25	23	66	66	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	191														
25	23	67	67	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	192														
26	24	69	69	0.0	0	0	StaffText	3/4	1	1	0							calando											
26	24	69	69	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	193														
26	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	194								25						
26	24	70	70	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	195														
26	24	283/4	283/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	196								26						
26	24	71	71	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	197														
26	24	287/4	287/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	198								27						
27	25	72	72	0.0	0	0	Tempo	3/4	1	1	0									atempo	35.0	1.0							
27	25	72	72	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	199														
27	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	200								28						
27	25	73	73	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	201								28						
27	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	202								28						
27	25	72	72	0.0	0	0	Spanner	3/4	2	1	0													12	12				
27	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	203									12	12				
27	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	204									12	12				
27	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	205									12	12				
28	26	75	75	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	206								28						
28	26	303/4	303/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	207								28						
28	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	208								28						
28	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	209								28						
28	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																		
28	26	75	75	0.0	0	0	Spanner	3/4	2	1	0													13	13				
28	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	210									13	13				
28	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	211									13	13				
28	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	212									13	13				
29	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	213		articStaccatissimoAbove												
29	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	214								29						
29	27	79	79	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	215														
29	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	216		articAccentAbove												
29	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																		
29	27	78	78	0.0	0	0	Spanner	3/4	2	1	0													14	14				
29	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	217									14	14				
29	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	218									14	14				
29	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	219									14	14				
30	28	81	81	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	220								30						
30	28	244/3	244/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	221								30						
30	28	245/3	245/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	222														
30	28	82	82	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	223														
30	28	82	82	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	224		articAccentAbove												
30	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	225														
30	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																		
30	28	81	81	0.0	0	0	Spanner	3/4	2	1	0													15	15				
30	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	226									15	15				
30	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	227		articAccentAbove							15	15				
31	29	84	84	0.0	0	0	Dynamic	3/4	1	1	0					f													
31	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	228		articAccentAbove												
31	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	229		articAccentAbove												
31	29	85	85	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	230		articAccentAbove												
31	29	86	86	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	231		articAccentAbove												
31	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																		
31	29	84	84	0.0	0	0	Spanner	3/4	2	1	0													16	16				
31	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	232									16	16				
31	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	233									16	16				
31	29	84	84	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	234									16	16				
32	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	235		articAccentAbove												
32	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	236		articAccentAbove												
32	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	237		articAccentBelow												
32	30	89	89	0.0	1/2	1/2	StaffText	3/4	1	1	0							" <font face=""ScoreText""/>"											
32	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	238		ornamentTrill						31						
32	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																		
32	30	87	87	0.0	0	0	Spanner	3/4	2	1	0													17	17				
32	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	239									17	17				
32	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	240									17	17				
