mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
19	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	108		articStaccatoAbove										
19	18	53	53	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	109							8					
19	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	110							8					
19	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	111							8					
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	112							8					
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0															
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0														17	17
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	113											17	17
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	114											17	17
20	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	115		articStaccatoBelow										
20	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	116												
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	117		articStaccatoBelow										
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	118		articAccentBelow										
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0															
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0														18	18
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	119											18	18
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	120											18	18
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	121											18	18
21	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	122							9					
21	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	123							9					
21	20	59	59	0.0	1/4	1/4	Spanner	3/4	1	1	0										9			0		
21	20	59	59	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	124							9			0		
21	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	125							9			0		
21	20	60	60	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	126							9			0		
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	127										0		
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0															
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0														19	19
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	128											19	19
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	129											19	19
22	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	130										0		
22	21	62	62	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	131							10			0		
22	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	132							10			0		
22	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	133							10			0		
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	134							10			0		
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0															
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0														20	20
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	135											20	20
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	136											20	20
23	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	137		articStaccatoAbove					11			0		
23	22	65	65	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	138							11			0		
23	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	139							11			0		
23	22	66	66	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	140							11			0		
23	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	141										0		
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0															
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0														21	21
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	142											21	21
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	143											21	21
23	22	66	66	0.0	1/2	1/2	Spanner	3/4	2	1	0															
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	144												
24	23	67	67	0.0	0	0	Dynamic	3/4	1	1	0				f											
24	23	67	67	0.0	0	0	Spanner	3/4	1	1	0															
24	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	145							12					
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	146							12					
24	23	68	68	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	147		ornamentShortTrill					12					
24	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	148							12					
24	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	149							12					
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	150							12					
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0														22	22
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	151											22	22
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	152											22	22
24	23	69	69	0.0	1/2	1/2	Spanner	3/4	2	1	0															
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	153												
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	154							12					
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	155							12					
25	24	71	71	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	156		articAccentAbove										
25	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	157												
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	158												
25	24	71	71	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	159							13					
25	24	143/2	143/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	160							13					
25	24	72	72	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	161							13					
25	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	162							13					
26	25	73	73	0.0	0	0	Spanner	3/4	1	1	0												2			
26	25	73	73	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	163									2			
26	25	74	74	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	164							14		2			
26	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	165							14		2			
26	25	75	75	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	166							14		2			
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	167							14		2			
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0														23	23
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	168		articStaccatoBelow									23	23
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	169											23	23
27	26	76	76	0.0	0	0	Spanner	3/4	1	1	0															
27	26	76	76	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	170												
27	26	77	77	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	171							15					
27	26	155/2	155/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	172							15					
27	26	78	78	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	173							15					
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	174							15					
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0															
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0														24	24
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	175											24	24
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	176											24	24
28	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	177												
28	27	319/4	319/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	178		articStaccatoBelow										
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	179		articStaccatoBelow										
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	180		articAccentBelow										
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0															
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0														25	25
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	181											25	25
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	182											25	25
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	183											25	25
29	28	82	82	0.0	0	0	Spanner	3/4	1	1	0													1		
29	28	82	82	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	184							16			1		
29	28	165/2	165/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	185							16			1		
29	28	83	83	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	186							16			1		
29	28	167/2	167/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	187							16			1		
29	28	84	84	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	188							16			1		
29	28	169/2	169/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	189										1		
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0															
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0														26	26
29	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	190											26	26
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	191											26	26
29	28	84	84	0.0	1/2	1/2	Spanner	3/4	2	1	0															
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	192												
30	29	85	85	0.0	0	0	Spanner	3/4	1	1	0															
30	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	193												
30	29	86	86	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	194							17					
30	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	195							17					
30	29	87	87	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	196							17					
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	197							17					
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0														27	27
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	198											27	27
30	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	199											27	27
30	29	87	87	0.0	1/2	1/2	Spanner	3/4	2	1	0															
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	200												
31	30	88	88	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	201							17					
31	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	202							17					
31	30	89	89	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	203							17					
31	30	179/2	179/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	204							17					
31	30	90	90	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	205							17					
31	30	181/2	181/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	206							17					
31	30	88	88	0.0	0	0	Spanner	3/4	2	1	0														28	28
31	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	207											28	28
31	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	208											28	28
31	30	90	90	0.0	1/2	1/2	Spanner	3/4	2	1	0															
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	209												
32	31	91	91	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	210							17					
32	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	211							17					
32	31	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	212							17					
32	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	213							17					
32	31	93	93	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	214							17					
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	215							17					
32	31	91	91	0.0	0	0	Spanner	3/4	2	1	0														29	29
32	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	216											29	29
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	217											29	29
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	218											29	29
33	32	94	94	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	219							17					
33	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	220							17					
33	32	95	95	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	221												
33	32	189/2	189/2	2.0	1/8	1/8	Chord	3/4	1	2	1/2	1/2	1	222							18					
33	32	94	94	0.0	0	0	Spanner	3/4	2	1	0															
33	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	223												
33	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	224							19					
33	32	96	96	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	225							19					
33	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	226							19					
34	33	97	97	0.0	0	0	StaffText	3/4	1	1	0						sotto voce									
34	33	97	97	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	227							20					
34	33	391/4	391/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	228							20					
34	33	98	98	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	229							20					
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	230							20					
34	33	97	97	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	231												
