mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	crescendo_hairpin
8	8	21	21	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	57							5		
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	58							5		
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	59									
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0												11	
8	8	21	21	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	60								11	
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	61								11	
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	2	1	0													
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	2	1	0												12	
8	8	22	22	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	62								12	
8	8	21	21	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	63								12	
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					p								
9	9	24	24	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	64									
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	65									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	66									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	67									
9	9	24	24	0.0	0	0	StaffText	3/4	2	1	0							Ped. simile						
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0													
9	9	24	24	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	68									
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	69									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	70									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	71									
10	10	27	27	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	72							6		
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	73							6		
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	74									
10	10	27	27	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	75									
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	76									
10	10	28	28	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	77									
10	10	27	27	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	78									
11	11	30	30	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	79									
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	80									
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	81									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	82									
11	11	30	30	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	83									
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	84									
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	85									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	86									
12	12	33	33	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	87							7		
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	88							7		
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	89									
12	12	33	33	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	90									
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	91									
12	12	34	34	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	92									
12	12	33	33	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	93									
13	13	36	36	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	94									
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	95									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	96									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	97									
13	13	36	36	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	98									
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	99									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	100									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	101									
14	14	39	39	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	102							8		
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	103							8		
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	104							8		
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	105									
14	14	39	39	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	106									
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	107									
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	108									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	109									
15	15	42	42	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	110							9		
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	111							9		
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	112							9		
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	113		articAccentBelow					9		
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0												13	
15	15	42	42	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	114								13	
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	115								13	
15	15	43	43	0.0	1/4	1/4	Spanner	3/4	2	1	0													
15	15	43	43	0.0	1/4	1/4	Spanner	3/4	2	1	0												14	
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116								14	
15	15	44	44	0.0	1/2	1/2	Spanner	3/4	2	1	0													
15	15	44	44	0.0	1/2	1/2	Spanner	3/4	2	1	0												15	
15	15	42	42	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	117								15	
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	118								15	
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	119							9		
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	120							9		
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	121									
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0													
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	122									
16	16	46	46	0.0	1/4	1/4	Spanner	3/4	2	1	0												16	
16	16	46	46	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	123								16	
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0					ff								
17	17	48	48	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	124							10		
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	125							10		
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	126							10		
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	127									
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0													
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0												17	
17	17	48	48	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	128								17	
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	129								17	
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	130							11	17	
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	131								17	
17	17	48	48	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	132								17	
17	17	49	49	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	133								17	
18	18	51	51	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	134							12		
18	18	51	51	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	135							12		
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	136							12		
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	137							12		
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	138									
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0													
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0												18	
18	18	51	51	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	139							13	18	
18	18	51	51	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	140							13	18	
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	141							13	18	
18	18	52	52	0.0	1/4	1/4	Spanner	3/4	2	1	0											13		
18	18	52	52	0.0	1/4	1/4	Spanner	3/4	2	1	0											13	19	
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	142							13	19	
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	143								19	
19	19	54	54	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	144							14		
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	145							14		
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	146							14		
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	147									
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0													
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0												20	
19	19	54	54	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	148								20	
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	149								20	
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150							15	20	
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151								20	
19	19	54	54	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	152								20	
19	19	55	55	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	153								20	
20	20	57	57	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	154							16		
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	155							16		
20	20	58	58	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf								
20	20	58	58	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	156									
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0													
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0												21	
20	20	57	57	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	157							17	21	
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	158							17	21	
20	20	58	58	0.0	1/4	1/4	Spanner	3/4	2	1	0													
20	20	58	58	0.0	1/4	1/4	Spanner	3/4	2	1	0												22	
20	20	58	58	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	159								22	
21	21	60	60	0.0	0	0	Dynamic	3/4	1	1	0					p								
21	21	60	60	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	160							18		
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	161							18		
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	162							18		
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	163									
21	21	60	60	0.0	0	0	StaffText	3/4	2	1	0							Ped. simile						
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0													
21	21	60	60	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	164									
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	165									
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	166							19		
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	167									
21	21	60	60	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	168									
21	21	61	61	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	169									
22	22	63	63	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	170							20		
22	22	63	63	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	171							20		
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	172							20		
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	173							20		
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	174									
22	22	63	63	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	175							21		
22	22	63	63	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	176							21		
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	177							21		
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178							21		
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179									
23	23	66	66	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	180							22		
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	181							22		
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	182							22		
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	183									
23	23	66	66	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	184									
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	185									
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	186									
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	187									
23	23	66	66	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	188									
23	23	67	67	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	189									
24	24	69	69	0.0	0	0	Spanner	3/4	1	1	0													0
24	24	69	69	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	190							23		0
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	191							23		0
24	24	70	70	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf								
24	24	70	70	0.0	1/4	1/4	Spanner	3/4	1	1	0													
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	192									
24	24	69	69	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	193									
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	194									
24	24	70	70	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	195									
25	25	72	72	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	196							24		
25	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	197									
25	25	72	72	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	198									
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	199									
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	200									
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0												23	
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	201								23	
25	25	73	73	0.0	1/4	1/4	Spanner	3/4	2	1	0													
25	25	73	73	0.0	1/4	1/4	Spanner	3/4	2	1	0												24	
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	202								24	
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	203								24	
26	26	75	75	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	204							25		
26	26	303/4	303/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	205							25		
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	206									
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0													
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0												25	
26	26	75	75	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	207								25	
26	26	303/4	303/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	208								25	
26	26	76	76	0.0	1/4	1/4	Spanner	3/4	2	1	0													
26	26	76	76	0.0	1/4	1/4	Spanner	3/4	2	1	0												26	
26	26	76	76	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	209								26	
26	26	75	75	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	210								26	
27	27	78	78	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	211							26		
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	212							26		
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	213							26		
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	214									
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0													
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0												27	
27	27	78	78	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	215								27	
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	216								27	
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	217								27	
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	218								27	
28	28	81	81	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	219							27		
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	220							27		
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	221									
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0													
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0												28	
28	28	81	81	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	222								28	
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	223								28	
28	28	82	82	0.0	1/4	1/4	Spanner	3/4	2	1	0													
28	28	82	82	0.0	1/4	1/4	Spanner	3/4	2	1	0												29	
28	28	82	82	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	224								29	
28	28	81	81	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	225								29	
29	29	84	84	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	226									
29	29	339/4	339/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	227									
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	228									
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	229									
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0													
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0												30	
29	29	84	84	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	230								30	
29	29	339/4	339/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	231								30	
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	232								30	
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	233								30	
30	30	87	87	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	234							28		
30	30	351/4	351/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	235							28		
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	236							28		
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	237									
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0													
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0												31	
30	30	87	87	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	238								31	
30	30	351/4	351/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	239								31	
