mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
3	2	7/2	7/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	13								1	1
3	2	9/2	9/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	14		articAccentAbove						1	1
3	2	11/2	11/2	0.0	1/2	1/2	Spanner	3/4	2	1	0													
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	15									
4	3	13/2	13/2	0.0	0	0	Dynamic	3/4	1	1	0					f								
4	3	13/2	13/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	16					1				
4	3	29/4	29/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	17					1				
4	3	15/2	15/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	18									
4	3	17/2	17/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	19					2				
4	3	9	9	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	20					2				
4	3	13/2	13/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	21									
4	3	15/2	15/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	22									
4	3	17/2	17/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	23									
4	3	13/2	13/2	0.0	0	0	Spanner	3/4	2	1	0												2	2
4	3	13/2	13/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	24								2	2
4	3	15/2	15/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	25		articAccentAbove						2	2
4	3	17/2	17/2	0.0	1/2	1/2	Spanner	3/4	2	1	0													
4	3	17/2	17/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	26									
5	4	19/2	19/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	27		articStaccatoAbove							
5	4	21/2	21/2	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	28									
5	4	21/2	21/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	29									
5	4	19/2	19/2	0.0	0	0	Spanner	3/4	2	1	0												3	3
5	4	19/2	19/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	30								3	3
5	4	21/2	21/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	31		articAccentAbove						3	3
5	4	23/2	23/2	0.0	1/2	1/2	Spanner	3/4	2	1	0													
6	5	25/2	25/2	0.0	0	0	Dynamic	3/4	1	1	0					ff								
6	5	25/2	25/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	32									
6	5	27/2	27/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	33		articAccentAbove			3				
6	5	29/2	29/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	34					3				
6	5	15	15	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	35					3				
6	5	25/2	25/2	0.0	0	0	Spanner	3/4	2	1	0												4	4
6	5	25/2	25/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	36								4	4
6	5	27/2	27/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37								4	4
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38								4	4
7	6	31/2	31/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	39									
7	6	65/4	65/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	40					4				
7	6	33/2	33/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	41					4				
7	6	35/2	35/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	42					4				
7	6	31/2	31/2	0.0	0	0	Spanner	3/4	2	1	0													
7	6	31/2	31/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	43									
7	6	33/2	33/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	44									
7	6	35/2	35/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	45		articAccentAbove							
8	7	37/2	37/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	46									
8	7	77/4	77/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	47					5				
8	7	39/2	39/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	48		ornamentTrill			5				
8	7	41/2	41/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	49					5				
8	7	21	21	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	50					5				
8	7	37/2	37/2	0.0	0	0	Spanner	3/4	2	1	0												5	5
8	7	37/2	37/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	51								5	5
8	7	39/2	39/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	52		articAccentAbove						5	5
8	7	41/2	41/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	53								5	5
9	8	43/2	43/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	54									
9	8	89/4	89/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	55					6				
9	8	45/2	45/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	56					6				
9	8	47/2	47/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	57					6				
9	8	43/2	43/2	0.0	0	0	Spanner	3/4	2	1	0													
9	8	43/2	43/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	58									
9	8	45/2	45/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	59									
9	8	47/2	47/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	60		articAccentAbove							
10	9	49/2	49/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	61									
10	9	101/4	101/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	62					7				
10	9	51/2	51/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	63		ornamentShortTrill			7				
10	9	53/2	53/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	64					7				
10	9	27	27	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	65					7				
10	9	49/2	49/2	0.0	0	0	Spanner	3/4	2	1	0												6	6
10	9	49/2	49/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	66								6	6
10	9	51/2	51/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	67								6	6
10	9	53/2	53/2	0.0	1/2	1/2	Spanner	3/4	2	1	0													
10	9	53/2	53/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	68									
11	10	55/2	55/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	69									
11	10	113/4	113/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	70					8				
11	10	57/2	57/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	71									
11	10	59/2	59/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	72					9				
11	10	30	30	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	73					9				
11	10	55/2	55/2	0.0	0	0	Spanner	3/4	2	1	0												7	7
11	10	55/2	55/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	74								7	7
11	10	57/2	57/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	75								7	7
11	10	59/2	59/2	0.0	1/2	1/2	Spanner	3/4	2	1	0													
11	10	59/2	59/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	76									
12	11	61/2	61/2	0.0	0	0	Spanner	3/4	1	1	0									9		0		
12	11	61/2	61/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	77		ornamentShortTrill			9		0		
12	11	31	31	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	78					9		0		
12	11	63/2	63/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	79					9		0		
12	11	32	32	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	80					9		0		
12	11	65/2	65/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	81					9		0		
12	11	33	33	0.0	5/8	5/8	Spanner	3/4	1	1	0									9				
12	11	33	33	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	82					9				
12	11	61/2	61/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	83									
12	11	63/2	63/2	0.0	1/4	1/4	Spanner	3/4	2	1	0												8	8
12	11	63/2	63/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84								8	8
12	11	65/2	65/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	85								8	8
13	12	67/2	67/2	0.0	0	0	Spanner	3/4	1	1	0									9	0			
13	12	67/2	67/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	86					9	0			
13	12	137/4	137/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	87					9	0			
13	12	69/2	69/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	88						0			
13	12	71/2	71/2	0.0	1/2	1/2	Spanner	3/4	1	1	0													
13	12	71/2	71/2	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	89					10				
13	12	145/4	145/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	90					10				
13	12	67/2	67/2	0.0	0	0	Spanner	3/4	2	1	0													
13	12	67/2	67/2	0.0	0	0	Spanner	3/4	2	1	0												9	9
13	12	67/2	67/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	91					11			9	9
13	12	69/2	69/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	92								9	9
13	12	71/2	71/2	0.0	1/2	1/2	Spanner	3/4	2	1	0													
14	13	73/2	73/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	93									
14	13	75/2	75/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	94					12				
14	13	77/2	77/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	95					12				
14	13	39	39	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	96					12				
14	13	73/2	73/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	97									
14	13	75/2	75/2	0.0	1/4	1/4	StaffText	3/4	2	1	0							come sopra						
14	13	75/2	75/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	98		articAccentAbove							
14	13	77/2	77/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	99									
15	14	79/2	79/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	100									
15	14	161/4	161/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	101					13				
15	14	81/2	81/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	102					13				
15	14	83/2	83/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	103					13				
15	14	79/2	79/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	104									
15	14	81/2	81/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	105									
15	14	83/2	83/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106		articAccentAbove							
16	15	85/2	85/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	107									
16	15	173/4	173/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	108					14				
16	15	87/2	87/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	109		ornamentTrill			14				
16	15	89/2	89/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	110					14				
16	15	45	45	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	111					14				
16	15	85/2	85/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	112									
16	15	87/2	87/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	113		articAccentAbove							
16	15	89/2	89/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	114									
17	16	91/2	91/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	115									
17	16	185/4	185/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	116					15				
17	16	93/2	93/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	117					15				
17	16	95/2	95/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	118					15				
17	16	91/2	91/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	119									
17	16	93/2	93/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	120									
17	16	95/2	95/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	121		articAccentAbove							
18	17	97/2	97/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	122									
18	17	197/4	197/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	123					16				
18	17	99/2	99/2	0.0	1/4	1/4	StaffText	3/4	1	1	0							♮		16				
18	17	99/2	99/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	124		ornamentShortTrill			16				
18	17	101/2	101/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	125					16				
18	17	51	51	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	126					16				
18	17	97/2	97/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	127									
18	17	99/2	99/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	128									
18	17	101/2	101/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	129									
19	18	103/2	103/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	130									
19	18	209/4	209/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	131					17				
19	18	105/2	105/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	132									
19	18	107/2	107/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	133					18				
19	18	54	54	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	134					18				
19	18	103/2	103/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	135									
19	18	105/2	105/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	136									
19	18	107/2	107/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	137									
20	19	109/2	109/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	138		ornamentShortTrill			18				
20	19	55	55	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	139					18				
20	19	111/2	111/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	140					18				
20	19	56	56	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	141					18				
20	19	113/2	113/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	142					18				
20	19	57	57	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	143					18				
20	19	109/2	109/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	144									
20	19	111/2	111/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	145									
20	19	113/2	113/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	146									
21	20	115/2	115/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	147					18				
21	20	233/4	233/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	148					18				
21	20	117/2	117/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	149									
21	20	119/2	119/2	0.0	1/2	1/2	Spanner	3/4	1	1	0										1			
21	20	119/2	119/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	150						1			
21	20	115/2	115/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	151					19				
21	20	117/2	117/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	152									
21	20	119/2	119/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	153									
22	21	121/2	121/2	0.0	0	0	Dynamic	3/4	1	1	0					ff								
22	21	121/2	121/2	0.0	0	0	Spanner	3/4	1	1	0													
22	21	121/2	121/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	154					20				
22	21	245/4	245/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	155					20				
22	21	123/2	123/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	156									
22	21	63	63	0.0	5/8	5/8	Dynamic	3/4	1	1	0					p								
22	21	63	63	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	157					21				
22	21	121/2	121/2	0.0	0	0	Spanner	3/4	2	1	0												10	10
22	21	121/2	121/2	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	158								10	10
22	21	245/4	245/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	159								10	10
22	21	123/2	123/2	0.0	1/4	1/4	Spanner	3/4	2	1	0													
22	21	123/2	123/2	0.0	1/4	1/4	Spanner	3/4	2	1	0												11	11
22	21	123/2	123/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	160								11	11
23	22	127/2	127/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	161					21				
23	22	257/4	257/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	162					21				
23	22	129/2	129/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	163					21				
23	22	131/2	131/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	164					21				
23	22	127/2	127/2	0.0	0	0	Spanner	3/4	2	1	0													
23	22	127/2	127/2	0.0	0	0	Spanner	3/4	2	1	0												12	12
23	22	127/2	127/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	165								12	12
23	22	129/2	129/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	166								12	12
23	22	131/2	131/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	167								12	12
24	23	133/2	133/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	168									
24	23	269/4	269/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	169					22				
24	23	135/2	135/2	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	170					22				
24	23	135/2	135/2	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	171					22				
24	23	135/2	135/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	172					22				
24	23	137/2	137/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	173					22				
24	23	69	69	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	174					22				
24	23	133/2	133/2	0.0	0	0	Spanner	3/4	2	1	0													
24	23	133/2	133/2	0.0	0	0	Spanner	3/4	2	1	0												13	13
24	23	133/2	133/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	175								13	13
24	23	135/2	135/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	176								13	13
24	23	137/2	137/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	177								13	13
25	24	139/2	139/2	0.0	0	0	Spanner	3/4	1	1	0											1		
25	24	139/2	139/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	178							1		
25	24	281/4	281/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	179					23		1		
25	24	141/2	141/2	0.0	1/4	1/4	Spanner	3/4	1	1	0									23				
25	24	141/2	141/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	180					23				
25	24	143/2	143/2	0.0	1/2	1/2	Spanner	3/4	1	1	0										2			
25	24	143/2	143/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	181						2			
25	24	139/2	139/2	0.0	0	0	Spanner	3/4	2	1	0													
25	24	139/2	139/2	0.0	0	0	Spanner	3/4	2	1	0												14	14
25	24	139/2	139/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	182								14	14
25	24	141/2	141/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	183								14	14
25	24	143/2	143/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	184								14	14
26	25	145/2	145/2	0.0	0	0	Dynamic	3/4	1	1	0					ff								
26	25	145/2	145/2	0.0	0	0	Spanner	3/4	1	1	0													
26	25	145/2	145/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	185					24				
26	25	293/4	293/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	186					24				
26	25	147/2	147/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	187									
26	25	75	75	0.0	5/8	5/8	Dynamic	3/4	1	1	0					p								
26	25	75	75	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	188					25				
26	25	145/2	145/2	0.0	0	0	Spanner	3/4	2	1	0													
26	25	145/2	145/2	0.0	0	0	Spanner	3/4	2	1	0												15	15
26	25	145/2	145/2	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	189								15	15
26	25	293/4	293/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	190								15	15
26	25	147/2	147/2	0.0	1/4	1/4	Spanner	3/4	2	1	0													
26	25	147/2	147/2	0.0	1/4	1/4	Spanner	3/4	2	1	0												16	16
26	25	147/2	147/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	191								16	16
27	26	151/2	151/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	192					25				
27	26	305/4	305/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	193					25				
27	26	153/2	153/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	194					25				
27	26	155/2	155/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	195					25				
27	26	151/2	151/2	0.0	0	0	Spanner	3/4	2	1	0													
27	26	151/2	151/2	0.0	0	0	Spanner	3/4	2	1	0												17	17
27	26	151/2	151/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	196								17	17
27	26	153/2	153/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	197								17	17
27	26	155/2	155/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	198								17	17
28	27	157/2	157/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	199									
28	27	317/4	317/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	200					26				
28	27	159/2	159/2	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	201					26				
28	27	479/6	479/6	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	202					26				
28	27	481/6	481/6	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	203					26				
28	27	161/2	161/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	204					26				
28	27	81	81	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	205					26				
28	27	157/2	157/2	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	206									
28	27	161/2	161/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	207									
28	27	157/2	157/2	0.0	0	0	Spanner	3/4	2	1	0													
28	27	157/2	157/2	0.0	0	0	Spanner	3/4	2	1	0												18	18
28	27	157/2	157/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	208								18	18
28	27	159/2	159/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	209								18	18
28	27	161/2	161/2	0.0	1/2	1/2	Spanner	3/4	2	1	0													
28	27	161/2	161/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	210									
29	28	163/2	163/2	0.0	0	0	Spanner	3/4	1	1	0											2		
29	28	163/2	163/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	211							2		
29	28	329/4	329/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	212					27		2		
29	28	165/2	165/2	0.0	1/4	1/4	Spanner	3/4	1	1	0									27				
29	28	165/2	165/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	213					27				
29	28	167/2	167/2	0.0	1/2	1/2	Spanner	3/4	1	1	0										3			
29	28	167/2	167/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	214						3			
29	28	163/2	163/2	0.0	0	0	Spanner	3/4	2	1	0												19	19
29	28	163/2	163/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	215								19	19
29	28	165/2	165/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	216								19	19
29	28	167/2	167/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	217								19	19
30	29	169/2	169/2	0.0	0	0	Dynamic	3/4	1	1	0					ff								
30	29	169/2	169/2	0.0	0	0	Spanner	3/4	1	1	0													
30	29	169/2	169/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	218					28				
30	29	341/4	341/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	219					28				
30	29	171/2	171/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	220									
