mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	HairPin:3_decresc.	crescendo_line	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	91										1					
11	10	57/2	57/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	92							10								
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	93															
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	94		articAccentAbove					11								
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	95															
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0																			
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0																	5	5	
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	96													5	5	
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	97													5	5	
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98													5	5	
12	11	31	31	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	99							11								
12	11	94/3	94/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	100							11								
12	11	95/3	95/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	101							11								
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	102							11								
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	103							11								
12	11	33	33	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	104							11								
12	11	135/4	135/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	105							11								
12	11	31	31	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	106															
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	107															
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	108		articAccentBelow													
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0																			
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0																	6	6	
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	109													6	6	
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	110													6	6	
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111		articAccentAbove											6	6	
13	12	34	34	0.0	0	0	Spanner	3/4	1	1	0															4				
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	112											4				
13	12	139/4	139/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	113							12				4				
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	114											4				
13	12	36	36	0.0	1/2	1/2	Spanner	3/4	1	1	0																			
13	12	36	36	0.0	1/2	1/2	Spanner	3/4	1	1	0																0			
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	115												0			
13	12	34	34	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	116							13					0			
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	117												0			
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	118												0			
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0																			
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0																	7	7	
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	119													7	7	
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	120													7	7	
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	121													7	7	
14	13	37	37	0.0	0	0	Spanner	3/4	1	1	0																			
14	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	122							14								
14	13	75/2	75/2	0.0	1/8	1/8	StaffText	3/4	1	1	0							riten.				14								
14	13	75/2	75/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	123							14								
14	13	151/4	151/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	124							14								
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	125							14								
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	126															
14	13	37	37	0.0	0	0	Dynamic	3/4	1	2	0					p														
14	13	37	37	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	127															
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	128															
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	129		articAccentBelow													
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0																			
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	130															
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	131															
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	132															
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	133							15								
15	14	81/2	81/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	134							15								
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	135							15								
15	14	41	41	0.0	1/4	1/4	Spanner	3/4	1	1	0											15				5				
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	136							15				5				
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	137											5				
15	14	40	40	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	138											5				
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	139											5				
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	140											5				
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	141															
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	142															
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	143															
16	15	43	43	0.0	0	0	Spanner	3/4	1	1	0																			
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	144							16								
16	15	87/2	87/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	145							16								
16	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	146							16								
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	147							16								
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	148															
16	15	43	43	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	149															
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	150		articAccentBelow													
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	151															
16	15	44	44	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	152															
16	15	43	43	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	153															
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	154															
17	16	46	46	0.0	0	0	Dynamic	3/4	1	1	0					pp														
17	16	46	46	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	155							17								
17	16	139/3	139/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	156							17								
17	16	140/3	140/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	157															
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	158															
17	16	46	46	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	159															
17	16	46	46	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	160							18								
17	16	139/3	139/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	161							18								
17	16	140/3	140/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	162															
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	163															
17	16	46	46	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	164															
18	16	48	48	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	165															
19	17	49	49	0.0	0	0	Dynamic	3/4	1	1	0					ff														
19	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	166		articStaccatissimoAbove													
19	17	50	50	0.0	1/4	1/4	Spanner	3/4	1	1	0															6				
19	17	50	50	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	167							19				6				
19	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	168							19				6				
19	17	51	51	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	169							19				6				
19	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	170							19				6				
19	17	49	49	0.0	0	0	Spanner	3/4	2	1	0																	8	8	
19	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	171		articStaccatissimoBelow											8	8	
19	17	50	50	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	172													8	8	
19	17	101/2	101/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																			
19	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	173															
19	17	51	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	174															
19	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	175															
19	17	50	50	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	176															
20	18	52	52	0.0	0	0	Spanner	3/4	1	1	0											19								
20	18	52	52	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	177		articStaccatoAbove					19								
20	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	178		articStaccatoAbove					19								
20	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	179		articStaccatoAbove					19								
20	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	180		articStaccatoAbove													
20	18	52	52	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	181															
20	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	182															
20	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	183															
20	18	52	52	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	184															
20	18	54	54	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	185		articStaccatoBelow													
21	19	55	55	0.0	0	0	Dynamic	3/4	1	1	0					ff														
21	19	55	55	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	186		articStaccatissimoAbove													
21	19	56	56	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	187							20								
21	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	188							20								
21	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	189							20								
21	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	190							20								
21	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																	9	9	
21	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	191		articStaccatissimoBelow											9	9	
21	19	56	56	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	192													9	9	
21	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	193													9	9	
21	19	57	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	194													9	9	
21	19	115/2	115/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																			
21	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	195															
21	19	56	56	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	196															
22	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	197							20								
22	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	198							20								
22	20	59	59	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	199		articAccentAbove					20								
22	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	200							20								
22	20	59	59	0.0	1/4	1/4	Dynamic	3/4	1	2	0					fz														
22	20	59	59	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	201															
22	20	58	58	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	202															
22	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	203															
22	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	204															
22	20	58	58	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	205															
22	20	60	60	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	206															
23	21	61	61	0.0	0	0	Dynamic	3/4	1	1	0					other-dynamics														
23	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	207															
23	21	62	62	0.0	1/4	1/4	Spanner	3/4	1	1	0															7				
23	21	62	62	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	208							21				7				
23	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	209							21				7				
23	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	210							21				7				
23	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	211							21				7				
23	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	212															
23	21	62	62	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	213															
23	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	214															
23	21	63	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	215															
23	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	216															
23	21	62	62	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	217															
24	22	64	64	0.0	0	0	Spanner	3/4	1	1	0											21								
24	22	64	64	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	218		articStaccatoAbove					21								
24	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	219		articStaccatoAbove					21								
24	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	220		articStaccatoAbove					21								
24	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	221		articStaccatoAbove													
24	22	64	64	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	222															
24	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	223															
24	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	224															
24	22	64	64	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	225															
24	22	66	66	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	226		articStaccatoBelow													
25	23	67	67	0.0	0	0	Dynamic	3/4	1	1	0					other-dynamics														
25	23	67	67	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	227		articStaccatissimoAbove													
25	23	68	68	0.0	1/4	1/4	Spanner	3/4	1	1	0															8				
25	23	68	68	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	228							22				8				
25	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	229							22				8				
25	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	230							22				8				
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	231							22				8				
25	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	232		articStaccatissimoBelow													
25	23	68	68	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	233															
