mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	19					0				0	
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	20					0				0	
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	21					0				0	
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0					mf									
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0														
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	22					1					
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	23					1					
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	24					1					
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	25					1					
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	26					1					
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	27										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	28										
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0										0	0			
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	29						0	0			
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30						0	0			
5	5	14	14	0.0	1/2	1/2	Spanner	3/4	2	1	0														
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31										
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	32					1					
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	33					1					
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	34					1					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	35										
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	36										
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	37										
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	38										
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0										1	1			
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	39						1	1			
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	40						1	1			
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	2	1	0														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	41										
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	42					2					
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	43					2					
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	44					2					
7	7	20	20	0.0	1/2	1/2	StaffText	3/4	1	1	0							cresc.		2					
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	45					2					
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	46					2					
7	7	18	18	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	47										
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	48										
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	49										
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0										2	2			
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	50						2	2			
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	51						2	2			
7	7	20	20	0.0	1/2	1/2	Spanner	3/4	2	1	0														
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	52										
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	53					2					
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	54					2					
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	55					2					
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	56										
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	57										
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	58										
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	59										
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0										3	3			
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	60						3	3			
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	61						3	3			
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	2	1	0														
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	62										
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	63					3					
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	64					3					
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	65					3					
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	66					3					
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	67					3					
9	9	24	24	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	68										
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	69										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	70										
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0										4	4			
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	71						4	4			
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	72						4	4			
9	9	26	26	0.0	1/2	1/2	Spanner	3/4	2	1	0														
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	73										
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	74					3					
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	75					3					
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	76		articAccentAbove								
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	77					4					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	78					4					
10	10	27	27	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	79										
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	80										
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0										5	5			
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	81						5	5			
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	82						5	5			
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	2	1	0														
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0									4				1	
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	83					4				1	
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	84					4				1	
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	85		ornamentTrill			4				1	
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	86					4				1	
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	87					4				1	
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0										6	6			
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	88						6	6			
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	89						6	6			
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	90						6	6			
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	91		articStaccatoBelow							1	
12	12	34	34	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	92		articAccentAbove			5				1	
12	12	71/2	71/2	0.0	5/8	5/8	Spanner	3/4	1	1	0									5					
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	93					5					
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0														
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0										7	7			
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	94						7	7			
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	95						7	7			
12	12	35	35	0.0	1/2	1/2	Spanner	3/4	2	1	0														
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96										
13	13	36	36	0.0	0	0	Dynamic	3/4	1	1	0					p									
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	97					6					
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	98					6					
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	99					6					
13	13	38	38	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	100					6					
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	101					6					
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	102										
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	103										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	104										
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0										8	8			
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105						8	8			
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106						8	8			
13	13	38	38	0.0	1/2	1/2	Spanner	3/4	2	1	0														
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	107										
14	14	39	39	0.0	0	0	StaffText	3/4	1	1	0							leggiero							
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	108		articStaccatoAbove								
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	109		articStaccatoAbove								
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	110		articStaccatoAbove								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	111		articStaccatoAbove								
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	112		articStaccatoAbove								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	113		articStaccatoAbove								
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	114										
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	115										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	116										
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0										9	9			
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	117						9	9			
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	118						9	9			
14	14	41	41	0.0	1/2	1/2	Spanner	3/4	2	1	0														
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	119										
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	120		articStaccatoAbove								
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	121		articStaccatoAbove								
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	122		articStaccatoAbove								
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	123		articStaccatoAbove								
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	124		articStaccatoAbove								
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	125		articStaccatoAbove								
15	15	42	42	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	126										
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	127										
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	128										
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0										10	10			
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	129						10	10			
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	130						10	10			
15	15	44	44	0.0	1/2	1/2	Spanner	3/4	2	1	0														
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	131										
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	132		articStaccatoAbove								
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	133		articStaccatoAbove								
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	134		articStaccatoAbove								
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	135		articStaccatoAbove								
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	136		articStaccatoAbove								
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	137		articStaccatoAbove								
16	16	45	45	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	138										
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	139										
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	140										
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0										11	11			
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	141						11	11			
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	142						11	11			
16	16	47	47	0.0	1/2	1/2	Spanner	3/4	2	1	0														
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	143										
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	144		articStaccatoAbove								
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	145		articStaccatoAbove								
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	146		articStaccatoAbove								
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	147		articStaccatoAbove								
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	148		articStaccatoAbove								
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	149		articStaccatoAbove								
17	17	48	48	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	150										
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	151										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	152										
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0										12	12			
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	153						12	12			
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	154						12	12			
17	17	50	50	0.0	1/2	1/2	Spanner	3/4	2	1	0														
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155										
18	18	51	51	0.0	0	0	Spanner	3/4	1	1	0													2	
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	156					7				2	
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	157					7				2	
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	158		articAccentAbove							2	
18	18	53	53	0.0	1/2	1/2	Spanner	3/4	1	1	0														
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	159					8					
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	160					8					
18	18	51	51	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	161										
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	162										
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0										13	13			
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	163						13	13			
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	164						13	13			
18	18	53	53	0.0	1/2	1/2	Spanner	3/4	2	1	0														
19	19	54	54	0.0	0	0	Spanner	3/4	1	1	0									8					1
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	165					8					1
19	19	55	55	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	166					8					1
19	19	55	55	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	167					8					1
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	168					8					1
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	169					8					1
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	170					8					1
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	171					8					1
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0										14	14			
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	172						14	14			
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	173						14	14			
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	174						14	14			
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0									8					
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0									8				3	
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	175					8				3	
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	176					8				3	
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	177									3	
20	20	59	59	0.0	1/2	1/2	Spanner	3/4	1	1	0														
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	178		articAccentAbove								
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0														
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0										15	15			
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	179						15	15			
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180						15	15			
20	20	59	59	0.0	1/2	1/2	Spanner	3/4	2	1	0														
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181										
21	21	60	60	0.0	0	0	StaffText	3/4	1	1	0							dolce							
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	182					9					
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	183					9					
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	184										
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	185					10					
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	186					10					
21	21	60	60	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	187										
21	21	61	61	0.0	1/4	1/4	Spanner	3/4	2	1	0										16	16			
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	188						16	16			
21	21	60	60	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	189					11	16	16			
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	190					11	16	16			
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	191						16	16			
21	21	60	60	2.0	0	0	Chord	3/4	2	3	1/2		1/2	1	192						16	16			
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	193					10					
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	194					10					
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	195										
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	196					12					
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	197					12					
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0														
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0										17	17			
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	198						17	17			
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	199						17	17			
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	200						17	17			
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	201					12					
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	202					12					
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	203										
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	204					13					
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	205					13					
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0														
23	23	66	66	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	206										
23	23	67	67	0.0	1/4	1/4	Spanner	3/4	2	1	0										18	18			
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	207						18	18			
23	23	66	66	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	208					14	18	18			
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	209					14	18	18			
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	210						18	18			
23	23	66	66	2.0	0	0	Chord	3/4	2	3	1/2		1/2	1	211						18	18			
24	24	69	69	0.0	0	0	StaffText	3/4	1	1	0							cresc.		13					
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	212					13					
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	213					13					
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	214										
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	215					15					
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	216					15					
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0														
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0										19	19			
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	217						19	19			
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	218						19	19			
24	24	71	71	0.0	1/2	1/2	Spanner	3/4	2	1	0														
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	219										
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	220					15					
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	221					15					
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	222										
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	223					16					
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	224					16					
25	25	72	72	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	225										
25	25	73	73	0.0	1/4	1/4	Spanner	3/4	2	1	0										20	20			
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	226						20	20			
25	25	72	72	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	227					17	20	20			
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	228					17	20	20			
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	229						20	20			
25	25	72	72	2.0	0	0	Chord	3/4	2	3	1/2		1/2	1	230						20	20			
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	231					16					
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	232					16					
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	233										
26	26	77	77	0.0	1/2	1/2	Dynamic	3/4	1	1	0					mf									
26	26	77	77	0.0	1/2	1/2	Spanner	3/4	1	1	0													4	
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	234					18				4	
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	235					18				4	
