mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	36							2					
5	5	14	14	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	37							2					
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	38							2					
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	39												
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	40												
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	41												
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	42												
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	43												
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	44												
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	45							2					
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	46							2					
6	6	16	16	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	47							2					
6	6	16	16	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	48							2					
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	49							2					
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	50							2					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	51							2					
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	52												
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	53												
6	6	15	15	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	54												
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	55							2					
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	56							2					
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	57							2					
7	7	20	20	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	58							2					
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	59							2					
7	7	18	18	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	60												
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	61												
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	62												
7	7	20	20	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	63												
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	64												
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	65												
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	66							3					
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	67												
8	8	21	21	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	68												
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	69												
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	70							3					
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	71							3					
9	9	26	26	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	72							3					
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	73							3					
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	74												
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	75												
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	76												
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	77												
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	78							3					
10	10	28	28	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	79							3					
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	80							3					
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	81												
10	10	27	27	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	82												
10	10	27	27	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	83												
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	84							4					
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	85							4					
11	11	32	32	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	86							4					
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	87							4					
11	11	30	30	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	88												
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	89												
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	90												
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	91												
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	92												
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	93												
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	94							4					
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	95							4					
12	12	34	34	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	96							4					
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	97							4					
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	98							4					
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	99							4					
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	100							4					
12	12	33	33	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	101												
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	102												
12	12	33	33	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	103												
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	104												
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	105							5					
13	13	38	38	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	106							5					
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	107							5					
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	108												
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	109												
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	110												
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111												
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	112							5					
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	113							5					
14	14	40	40	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	114							5					
14	14	40	40	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	115							5					
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	116							5					
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	117							5					
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	118							5					
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	119												
14	14	40	40	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	120												
14	14	39	39	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	121												
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	122							5					
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	123							5					
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	124							5					
15	15	44	44	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	125							5					
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	126							5					
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	127												
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	128												
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	129												
15	15	44	44	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	130												
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	131												
16	16	45	45	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	132												
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	133												
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	134												
16	16	45	45	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	135												
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	3	1/4		1/4	1	136												
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	137												
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0					f											
17	17	48	48	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	138							6					
17	17	49	49	0.0	1/4	1/4	Spanner	3/4	1	1	0											6	0				
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	139							6	0				
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	140								0				
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0															0	0
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	141											0	0
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	142											0	0
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	143											0	0
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	144							6	0				
18	18	52	52	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	145							6	0				
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	146							6	0				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	147								0				
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	148								0				
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0																
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149												
18	18	52	52	0.0	1/4	1/4	Spanner	3/4	2	1	0															1	1
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150											1	1
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151											1	1
19	19	54	54	0.0	0	0	Spanner	3/4	1	1	0											6					
19	19	54	54	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	152							6					
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	153		articAccentAbove					6					
19	19	54	54	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	154												
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	155												
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	156												
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	157											1	1
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	158											1	1
19	19	56	56	0.0	1/2	1/2	Spanner	3/4	2	1	0																
19	19	56	56	0.0	1/2	1/2	Spanner	3/4	2	1	0															2	2
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	159											2	2
20	20	57	57	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	160							6					
20	20	58	58	0.0	1/4	1/4	Spanner	3/4	1	1	0											6			0		
20	20	59	59	0.0	1/2	1/2	Spanner	3/4	1	1	0											6					
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	161		articAccentAbove					6					
20	20	57	57	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	162												
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	163												
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	164												
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	165											2	2
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	166											2	2
20	20	59	59	0.0	1/2	1/2	Spanner	3/4	2	1	0																
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	167												
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	168												
21	21	61	61	0.0	1/4	1/4	Spanner	3/4	1	1	0												1				
21	21	61	61	0.0	1/4	1/4	Spanner	3/4	1	1	0												1, 2				
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	169							7	1, 2				
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	170							7	1, 2				
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	171							7	1, 2				
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	172							7	1, 2				
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0															3	3
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	173											3	3
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	174											3	3
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	175											3	3
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	176							7	1, 2				
22	22	64	64	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	177							7	1, 2				
22	22	65	65	0.0	1/2	1/2	Spanner	3/4	1	1	0											7					
22	22	65	65	0.0	1/2	1/2	Spanner	3/4	1	1	0											7					
22	22	263/4	263/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	178							7					
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	179												
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	180												
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	181												
22	22	64	64	0.0	1/4	1/4	Spanner	3/4	2	1	0															4	4
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	182											4	4
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	183											4	4
23	23	66	66	0.0	0	0	Dynamic	3/4	1	1	0					p						7					
23	23	66	66	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	184							7					
23	23	68	68	0.0	1/2	1/2	Spanner	3/4	1	1	0											7			1		
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	185		articAccentAbove					7			1		
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	186										1		
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	187										1		
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	188												
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	189												
24	24	69	69	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	190							7			1		
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	191		articAccentAbove					7			1		
24	24	69	69	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	192										1		
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	193										1		
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	194										1		
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	195												
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	196												
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	197												
25	25	72	72	0.0	0	0	Spanner	3/4	1	1	0																
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	198												
25	25	73	73	0.0	1/4	1/4	Spanner	3/4	1	1	0												3				
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	199		articAccentAbove					8	3				
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	200							8	3				
25	25	72	72	0.0	0	0	Dynamic	3/4	1	2	0					f							3				
25	25	72	72	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	201								3				
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	202							9	3				
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	203							9	3				
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0															5	5
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	204											5	5
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	205											5	5
25	25	74	74	0.0	1/2	1/2	Spanner	3/4	2	1	0																
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	206												
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	207							8	3				
26	26	76	76	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	208							8	3				
26	26	77	77	0.0	1/2	1/2	Spanner	3/4	1	1	0											8					
26	26	311/4	311/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	209							8					
26	26	75	75	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	210												
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	211												
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	212												
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	213												
26	26	76	76	0.0	1/4	1/4	Spanner	3/4	2	1	0															6	6
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	214											6	6
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	215											6	6
27	27	78	78	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	216							8					
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	217		articAccentAbove					8					
27	27	78	78	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	218												
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	219												
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	220												
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	221											6	6
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222											6	6
27	27	80	80	0.0	1/2	1/2	Spanner	3/4	2	1	0																
27	27	80	80	0.0	1/2	1/2	Spanner	3/4	2	1	0															7	7
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	223											7	7
28	28	81	81	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	224							8					
28	28	82	82	0.0	1/4	1/4	Spanner	3/4	1	1	0											8			2		
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	225		articAccentAbove					8			2		
28	28	81	81	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	226										2		
28	28	82	82	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	227										2		
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	228										2		
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	229											7	7
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	230											7	7
28	28	83	83	0.0	1/2	1/2	Spanner	3/4	2	1	0																
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231												
29	29	84	84	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	232										2		
29	29	85	85	0.0	1/4	1/4	Spanner	3/4	1	1	0																
29	29	85	85	0.0	1/4	1/4	Spanner	3/4	1	1	0												4				
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	233							10	4				
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	234							10	4				
29	29	86	86	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	235							10	4				
29	29	259/3	259/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	236							10	4				
29	29	260/3	260/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	237							10	4				
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0															8	8
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	238											8	8
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	239											8	8
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	240											8	8
30	30	87	87	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	241							10	4				
30	30	88	88	0.0	1/4	1/4	Spanner	3/4	1	1	0											10					
30	30	88	88	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	242							10					
30	30	359/4	359/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	243							10					
30	30	87	87	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	244												
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	245												
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	246												
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	247												
30	30	88	88	0.0	1/4	1/4	Spanner	3/4	2	1	0															9	9
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	248											9	9
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	249											9	9
31	31	90	90	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	250							10					
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	251		articAccentAbove					10					
31	31	90	90	0.0	0	0	Dynamic	3/4	1	2	0					f											
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	252												
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	253												
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	254												
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	255												
32	32	93	93	0.0	0	0	Spanner	3/4	1	1	0											10			3		
32	32	93	93	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	256							10			3		
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	257		articAccentAbove								3		
32	32	93	93	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	258										3		
