mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	40									7						
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	41															
6	6	17	17	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	42		articAccentAbove							8						
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0																			
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0																		4	4
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	43														4	4
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	44														4	4
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	2	1	0																		5	5
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	45														5	5
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	46															
7	7	19	19	0.0	1/4	1/4	Spanner	3/4	1	1	0															1				
7	7	19	19	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	47											1				
7	7	19	19	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	48											1				
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	49									9		1				
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	50									9		1				
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	51									9		1				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	52											1				
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																			
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																		6	6
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	53														6	6
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	54														6	6
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0																			
8	8	21	21	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	55															
8	8	64/3	64/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	56															
8	8	65/3	65/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	57															
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	1	1	0																0			
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	58												0			
8	8	22	22	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	59												0			
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	60									10			0			
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																			
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																		7	7
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	61														7	7
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	62														7	7
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	63															
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					sf														
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0																			
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	64															
9	9	25	25	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p														
9	9	25	25	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	65															
9	9	25	25	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	66															
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	67									11						
9	9	51/2	51/2	0.0	3/8	3/8	Spanner	3/4	1	1	0													11		2				
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	68									11		2				
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	69									11		2				
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	70											2				
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																		8	8
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	71														8	8
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	72														8	8
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	73														8	8
10	10	27	27	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	74											2				
10	10	27	27	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	75											2				
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	76									12		2				
10	10	55/2	55/2	0.0	1/8	1/8	Spanner	3/4	1	1	0													12						
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	77									12						
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	78															
10	10	29	29	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz														
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	79									13						
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																			
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																		9	9
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	80														9	9
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81														9	9
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	2	1	0																		10	10
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	82														10	10
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	83															
11	11	31	31	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	84															
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	85									14						
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	86									14						
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	87									14						
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	88															
11	11	30	30	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	89															
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	90															
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	91															
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	92														10	10
11	11	31	31	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	93															
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	94															
12	12	33	33	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	95									15						
12	12	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	96									15						
12	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	97															
12	12	34	34	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	98															
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	99									16						
12	12	33	33	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	100															
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	101															
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	102									17						
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	103															
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	104															
12	12	33	33	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	105															
13	13	36	36	0.0	0	0	Dynamic	3/4	1	1	0					f								16						
13	13	36	36	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	106		articAccentAbove							16						
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	107									16						
13	13	38	38	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	108									16						
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	109									16						
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	110									16						
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	111															
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	112															
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																		11	11
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	113		articAccentBelow												11	11
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	114														11	11
13	13	38	38	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	115															
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	116															
13	13	37	37	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	117															
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	118									16						
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	119									16						
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	120															
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	121									18						
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	122															
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	123															
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	124															
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	125															
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	126															
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	127															
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	128									19						
15	15	43	43	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	129									19						
15	15	130/3	130/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	130									19						
15	15	131/3	131/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	131									19						
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	132									19						
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	133									19						
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0																		12	12
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	134														12	12
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135														12	12
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136														12	12
16	16	45	45	0.0	0	0	StaffText	3/4	1	1	0							leggiero												
16	16	45	45	0.0	0	0	Spanner	3/4	1	1	0																1			
16	16	45	45	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	137												1			
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	138												1			
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	139									20			1			
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	140												1			
16	16	187/4	187/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	141									21			1			
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	142												1			
16	16	191/4	191/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	143									22			1			
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																			
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																		13	13
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	144														13	13
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	145														13	13
17	17	48	48	0.0	0	0	Spanner	3/4	1	1	0																			
17	17	48	48	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	146									23						
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	147									23						
17	17	50	50	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	148									23						
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	149									23						
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	150									23						
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	151															
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	152															
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																			
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																		14	14
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	153														14	14
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	154									24					14	14
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	155									24					14	14
17	17	50	50	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	156									24					14	14
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	157														14	14
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	158									23						
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	159									23						
18	18	52	52	0.0	1/4	1/4	Spanner	3/4	1	1	0															3				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	160											3				
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	161									25		3				
18	18	51	51	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	162											3				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	163											3				
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0																			
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	164															
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165															
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166															
19	19	54	54	0.0	0	0	Spanner	3/4	1	1	0																			
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	167															
19	19	219/4	219/4	0.0	3/16	3/16	Spanner	3/4	1	1	0																	1		
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	168									26				1		
19	19	55	55	0.0	1/4	1/4	Spanner	3/4	1	1	0													26						
19	19	55	55	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	169									26						
19	19	166/3	166/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	170									26						
19	19	167/3	167/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	171									26						
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	172									26						
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	173									26						
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																		15	15
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	174														15	15
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	175														15	15
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	176														15	15
20	20	57	57	0.0	0	0	StaffText	3/4	1	1	0							leggiero												
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0														0					
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	177										0					
20	20	115/2	115/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	178									27						
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	179															
20	20	235/4	235/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	180									28						
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	181															
20	20	239/4	239/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	182									29						
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																			
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																		16	16
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	183														16	16
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	184														16	16
20	20	59	59	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
21	21	60	60	0.0	0	0	Dynamic	3/4	1	1	0					f														
21	21	60	60	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	185									30						
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	186									30						
21	21	62	62	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	187									30						
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	188									30						
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	189									30						
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	190															
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	191															
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																		17	17
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	192		articAccentBelow												17	17
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	193														17	17
21	21	62	62	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	194														17	17
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	195														17	17
21	21	61	61	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	196														17	17
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	197									30						
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	198									30						
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	199															
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	200									31						
22	22	63	63	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	201															
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	202															
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																			
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	203															
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	204															
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	205															
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	206															
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	207									32						
23	23	67	67	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	208									32						
23	23	202/3	202/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	209									32						
23	23	203/3	203/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	210									32						
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	211									32						
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	212									32						
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																		18	18
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	213														18	18
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	214														18	18
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	215														18	18
24	24	69	69	0.0	0	0	StaffText	3/4	1	1	0							leggiero												
24	24	69	69	0.0	0	0	Spanner	3/4	1	1	0																2			
24	24	69	69	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	216												2			
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	217												2			
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	218									33			2			
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	219												2			
24	24	283/4	283/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	220									34			2			
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	221												2			
24	24	287/4	287/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	222									35			2			
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0																			
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0																		19	19
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	223														19	19
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	224														19	19
25	25	72	72	0.0	0	0	Spanner	3/4	1	1	0													35						
25	25	72	72	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	225									35						
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	226									35						
25	25	74	74	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	227									35						
