mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation
37	37	109	109	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	300			
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	301			
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	302			
38	38	111	111	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	303			
38	38	112	112	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	304			
38	38	111	111	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	305			
38	38	112	112	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	306	>		
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	307	]		
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	308			
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	309			
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	310			
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	311			
38	38	111	111	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	312			
38	38	112	112	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	313			
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	314			
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	315			
39	39	114	114	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	316			
39	39	115	115	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	317			
39	39	114	114	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	318			
39	39	115	115	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	319	>		
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	320	]		
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	321			
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	322			
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	323			
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	324			
39	39	114	114	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	325			
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	326			
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	327			
40	40	117	117	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	328			
40	40	118	118	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	329			
40	40	237/2	237/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	330			
40	40	119	119	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	331			
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	332			
40	40	117	117	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	333			
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	334			
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	335			
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	336			
