mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill	Ottava:8va
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	129													
18	17	49	49	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	130													
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	131							13						
18	17	50	50	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	132							13						
18	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	133							13						
18	17	51	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	134							13						
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	135							13						
18	17	49	49	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	136													
19	18	52	52	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	137							14						
19	18	52	52	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	138							13						
19	18	157/3	157/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	139							13						
19	18	158/3	158/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	140							13						
19	18	53	53	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	141							13						
19	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	142							13						
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	143							13						
20	19	55	55	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	144													
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	145													
20	19	56	56	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	146							15						
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	147							15						
20	19	57	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	148							15						
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	149							15						
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	150		articStaccatoAbove					16						
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	151		articStaccatoAbove											
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	152							15						
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	153							15						
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	154							15						
22	21	61	61	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	155							17						
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	156													
22	21	62	62	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	157							18						
22	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	158							18						
22	21	63	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	159							18						
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	160							18						
23	22	64	64	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	161							17						
23	22	64	64	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	162							18						
23	22	193/3	193/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	163							18						
23	22	194/3	194/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	164							18						
23	22	65	65	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	165							18						
23	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	166							18						
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	167													
24	23	67	67	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	168													
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169							19						
24	23	68	68	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	170							19						
24	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	171							19						
24	23	69	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	172							19						
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	173							19						
25	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	174		articStaccatoAbove					20						
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	175		articStaccatoAbove											
25	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	176							19						
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	177							19						
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	178													
26	25	73	73	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	179							21						
26	25	75	75	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	180							21						
26	25	226/3	226/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	181							21						
26	25	227/3	227/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	182							21						
26	25	73	73	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	183													
26	25	74	74	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	184													
26	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	185													
26	25	74	74	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	186													
26	25	149/2	149/2	1.5	3/8	3/8	Chord	3/4	1	4	3/8		1/4	3/2	187													
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0														2	2		
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	188										2	2		
26	25	75	75	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	189													
27	26	76	76	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	190							21						
27	26	155/2	155/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	191							21						
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	192							21						
27	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	193													
27	26	77	77	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	194													
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	195													
27	26	153/2	153/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	196													
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	197													
27	26	76	76	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	198													
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	199													
28	27	79	79	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	200													
28	27	80	80	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	201							22						
28	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	202							22						
28	27	81	81	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	203							22						
28	27	244/3	244/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	204							22						
28	27	245/3	245/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	205							22						
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	206													
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	207													
28	27	161/2	161/2	1.5	3/8	3/8	Chord	3/4	1	3	3/8		1/4	3/2	208													
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	209													
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	210													
29	28	82	82	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	211							22						
29	28	167/2	167/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	212							22						
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	213							22						
29	28	82	82	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	214													
29	28	165/2	165/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	215													
29	28	83	83	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	216													
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	217													
29	28	165/2	165/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	218													
29	28	83	83	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	219													
29	28	82	82	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	220													
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	221													
30	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	222													
30	29	86	86	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	223							23						
30	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	224							23						
30	29	87	87	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	225							23						
30	29	262/3	262/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	226							23						
30	29	263/3	263/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	227							23						
30	29	86	86	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	228													
30	29	173/2	173/2	1.5	3/8	3/8	Chord	3/4	1	3	3/8		1/4	3/2	229													
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0														3	3		
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	230										3	3		
30	29	87	87	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231													
31	30	88	88	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	232							23						
31	30	179/2	179/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	233							23						
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	234							23						
31	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	235													
31	30	89	89	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	236													
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	237													
31	30	177/2	177/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	238													
31	30	89	89	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	239													
31	30	88	88	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	240													
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	241													
32	31	91	91	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	242													
32	31	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	243							24						
32	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	244							24						
32	31	93	93	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	245							24						
32	31	280/3	280/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	246							24						
32	31	281/3	281/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	247							24						
32	31	92	92	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	248													
32	31	185/2	185/2	1.5	3/8	3/8	Chord	3/4	1	3	3/8		1/4	3/2	249													
32	31	91	91	0.0	0	0	Spanner	3/4	2	1	0														4	4		
32	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	250										4	4		
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	251							25			4	4		
33	32	94	94	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	252							24						
33	32	191/2	191/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	253							24						
33	32	96	96	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	254							24						
33	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	255													
33	32	95	95	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	256													
33	32	189/2	189/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	257													
33	32	95	95	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	258													
33	32	94	94	0.0	0	0	Spanner	3/4	2	1	0											25						
33	32	94	94	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	259							25						
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	260							25						
34	33	97	97	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	261							24						
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	262							25						
34	33	98	98	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	263							25						
34	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	264							25						
34	33	99	99	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	265							25						
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	266							25						
35	34	100	100	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	267							24						
35	34	100	100	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	268							25						
35	34	301/3	301/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	269							25						
35	34	302/3	302/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	270							25						
35	34	101	101	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	271							25						
35	34	203/2	203/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	272							25						
