mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	HairPin:2_poco riten.	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
6	5	13	13	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	37							2							
6	5	27/2	27/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	38							2							
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	39							2							
6	5	14	14	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	40							2							
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	41							2							
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42							2							
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43							2							
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	44														
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	45														
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46														
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47														
7	6	16	16	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	48							2							
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	49							2							
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	50							2							
7	6	17	17	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	51														
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	52														
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	53														
7	6	17	17	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	54														
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	55							3							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	56							3							
8	7	19	19	0.0	0	0	Spanner	3/4	1	1	0															0			
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	57							4				0			
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	58							4				0			
8	7	20	20	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	59							4				0			
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	60							4				0			
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	61							4				0			
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	62							4				0			
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	63											0			
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	64											0			
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	65											0			
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	66														
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	67														
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	68														
9	8	22	22	0.0	0	0	Spanner	3/4	1	1	0																		
9	8	22	22	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	69		articAccentAbove												
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	70							5							
9	8	24	24	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	71							5							
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	72														
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	73														
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	74														
10	9	25	25	0.0	0	0	Dynamic	3/4	1	1	0					p													
10	9	25	25	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	75							6							
10	9	51/2	51/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	76		ornamentShortTrill					6							
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	77							6							
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	78							6							
10	9	27	27	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	79							6							
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	80							6							
10	9	25	25	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	81														
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	82														
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	83														
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84														
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	85														
11	10	28	28	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	86							6							
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	87							6							
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	88							6							
11	10	29	29	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	89														
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	90		articStaccatoBelow												
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	91		articStaccatoBelow												
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	92		articStaccatoAbove												
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	93		articStaccatoAbove												
12	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	94							7							
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	95							7							
12	11	32	32	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	96							7							
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	97							7							
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	98							7							
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	99							7							
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	100		articStaccatoBelow												
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	101		articStaccatoBelow												
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	102		articStaccatoAbove												
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	103		articStaccatoAbove												
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	104							7							
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	105							7							
13	12	35	35	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	106														
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	107		articStaccatoBelow												
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	108		articStaccatoBelow												
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	109		articStaccatoAbove												
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	110		articStaccatoAbove												
14	13	37	37	0.0	0	0	Dynamic	3/4	1	1	0					f													
14	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	111							8							
14	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	112		ornamentTremblement					8							
14	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	113							8							
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	114							8							
14	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	115							8							
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	116							8							
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	117														
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	118														
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119														
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	120														
15	14	40	40	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	121							8							
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	122							8							
15	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	123							8							
15	14	41	41	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	124														
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	125														
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	126														
15	14	41	41	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	127														
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	128							9							
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	129							9							
16	15	43	43	0.0	0	0	Spanner	3/4	1	1	0															1			
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	130							10				1			
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	131							10				1			
16	15	44	44	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	132							10				1			
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	133							10				1			
16	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	134							10				1			
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	135											1			
16	15	43	43	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	136											1			
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	137											1			
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	138											1			
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	139														
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	140														
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	141														
17	16	46	46	0.0	0	0	Spanner	3/4	1	1	0																		
17	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	142		articAccentAbove												
17	16	48	48	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	143														
17	16	195/4	195/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	144														
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	145														
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	146		articAccentBelow												
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	147														
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	148														
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	149														
18	17	49	49	0.0	0	0	StaffText	3/4	1	1	0							con anima											
18	17	49	49	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	150							11							
18	17	99/2	99/2	2.0	1/8	1/8	Chord	3/4	1	1	1/2		1/2	1	151		articAccentAbove					11							
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	152							11							
18	17	49	49	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	153														
18	17	50	50	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	154														
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	155														
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	156														
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	157														
18	17	49	49	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	158														
19	18	52	52	0.0	0	0	Spanner	3/4	1	1	0											11					0		
19	18	52	52	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	159							11					0		
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	160							11					0		
19	18	53	53	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	161							11					0		
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	162												0		
19	18	52	52	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	163												0		
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0																	0	0
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	164													0	0
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165													0	0
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166													0	0
20	19	55	55	0.0	0	0	Spanner	3/4	1	1	0																		
20	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	167														
20	19	111/2	111/2	2.0	1/8	1/8	Chord	3/4	1	1	1/2		1/2	1	168		articAccentAbove												
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	169														
20	19	55	55	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	170														
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	171														
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	172														
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																		
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																	1	1
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	173													1	1
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	174													1	1
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	175													1	1
21	20	58	58	0.0	0	0	Spanner	3/4	1	1	0																1		
21	20	58	58	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	176												1		
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	177												1		
21	20	59	59	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	178												1		
21	20	59	59	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	179												1		
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	180												1		
21	20	58	58	0.75	0	0	Chord	3/4	1	2	3/16		1/8	3/2	181												1		
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																		
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																	2	2
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	182													2	2
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	183													2	2
21	20	60	60	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	184														
22	21	61	61	0.0	0	0	Spanner	3/4	1	1	0																		
22	21	61	61	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	185							12							
22	21	247/4	247/4	0.0	3/16	3/16	Spanner	3/4	1	1	0											12				2			
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	186							12				2			
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	187							12				2			
22	21	63	63	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	188							12				2			
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	189							12				2			
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	190														
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	191														
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	192														
22	21	61	61	0.75	0	0	Chord	3/4	2	2	3/16		1/8	3/2	193														
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	194														
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	195														
23	22	64	64	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	196							12				2			
23	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	197							12				2			
23	22	65	65	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	198											2			
23	22	64	64	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	199											2			
23	22	65	65	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	200											2			
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	201														
23	22	65	65	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	202														
24	23	67	67	0.0	0	0	Dynamic	3/4	1	1	0					p													
24	23	67	67	0.0	0	0	Spanner	3/4	1	1	0																		
24	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	203							13							
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	204							13							
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	205							13							
24	23	69	69	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	206							13							
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	207							13							
24	23	67	67	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	208														
24	23	68	68	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	209														
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	210														
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	211														
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	212														
24	23	67	67	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	213														
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	214							13							
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	215							13							
25	24	72	72	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	216		articAccentAbove					14							
25	24	291/4	291/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	217							14							
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	218														
25	24	70	70	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	219														
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	220							15							
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	221														
26	25	73	73	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	222							14							
26	25	147/2	147/2	2.0	1/8	1/8	Chord	3/4	1	1	1/2		1/2	1	223							14							
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	224							14							
26	25	73	73	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	225														
26	25	74	74	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	226														
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0																	3	3
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	227		articStaccatoBelow											3	3
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	228													3	3
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	229													3	3
27	26	76	76	0.0	0	0	Spanner	3/4	1	1	0											14					2		
27	26	76	76	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	230							14					2		
27	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	231							14					2		
27	26	77	77	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	232							14					2		
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	233							14					2		
27	26	76	76	0.0	0	0	Spanner	3/4	1	2	0																2, 3		
27	26	76	76	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	234												2, 3		
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0																		
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0																	4	4
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	235													4	4
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	236													4	4
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	237													4	4
28	27	79	79	0.0	0	0	Spanner	3/4	1	1	0											14							
28	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	238							14							
28	27	159/2	159/2	2.0	1/8	1/8	Chord	3/4	1	1	1/2		1/2	1	239		articMarcatoAbove					14							
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	240														
28	27	79	79	0.0	0	0	Spanner	3/4	1	2	0																		
28	27	79	79	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	241														
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	242														
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	243														
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0																		
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0																	5	5
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	244													5	5
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	245													5	5
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	246													5	5
29	28	82	82	0.0	0	0	Spanner	3/4	1	1	0																4		
29	28	82	82	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	247							16					4		
29	28	331/4	331/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	248							16					4		
29	28	83	83	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	249												4		
29	28	82	82	0.75	0	0	Chord	3/4	1	2	3/16		1/8	3/2	250												4		
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0																		
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0																	6	6
29	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	251													6	6
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	252							17						6	6
29	28	84	84	0.0	1/2	1/2	Spanner	3/4	2	1	0											17							
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	253							17							
30	29	85	85	0.0	0	0	Spanner	3/4	1	1	0																		
30	29	85	85	0.0	0	0	Spanner	3/4	1	1	0															3			
30	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	254							18				3			
