mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>
28	27	159/2	159/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	241													
28	27	161/2	161/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	242		articAccentBelow											
28	27	157/2	157/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	243													
28	27	159/2	159/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	244													
28	27	161/2	161/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	245													
29	28	163/2	163/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	246									39				
29	28	82	82	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	247									39				
29	28	165/2	165/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	248									39				
29	28	83	83	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	249									39				
29	28	167/2	167/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	250									40				
29	28	163/2	163/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	251													
29	28	165/2	165/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	252													
29	28	167/2	167/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	253		articAccentBelow											
29	28	163/2	163/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	254													
29	28	165/2	165/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	255													
29	28	167/2	167/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	256													
30	29	169/2	169/2	0.0	0	0	StaffText	3/4	1	1	0							staccato						40				
30	29	169/2	169/2	0.0	0	0	StaffText	3/4	1	1	0							riten.						40				
30	29	169/2	169/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	257		articStaccatoAbove							40				
30	29	85	85	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	258		articStaccatoAbove							40				
30	29	171/2	171/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	259		articStaccatoAbove							40				
30	29	86	86	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	260		articStaccatoAbove							40				
30	29	173/2	173/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	261		articStaccatoAbove							40				
30	29	87	87	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	262		articStaccatoAbove							40				
30	29	169/2	169/2	0.0	0	0	Dynamic	3/4	1	2	0					p												
30	29	169/2	169/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	263													
30	29	171/2	171/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	264													
30	29	173/2	173/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	265													
30	29	169/2	169/2	0.0	0	0	StaffText	3/4	2	1	0							sempre legato										
30	29	169/2	169/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	266													
30	29	171/2	171/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	267													
30	29	173/2	173/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	268													
31	30	175/2	175/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	269		articStaccatoAbove							40				
31	30	88	88	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	270		articStaccatoAbove							40				
31	30	177/2	177/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	271		articStaccatoAbove							40				
31	30	89	89	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	272		articStaccatoAbove							40				
31	30	179/2	179/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	273		articStaccatoAbove							40				
31	30	90	90	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	274		articStaccatoAbove							40				
31	30	175/2	175/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	275													
31	30	177/2	177/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	276													
31	30	179/2	179/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	277													
31	30	175/2	175/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	278													
31	30	177/2	177/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	279													
31	30	179/2	179/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	280													
32	31	181/2	181/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	281		articStaccatoAbove							40				
32	31	91	91	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	282		articStaccatoAbove							40				
32	31	183/2	183/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	283		articStaccatoAbove							40				
32	31	92	92	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	284		articStaccatoAbove							40				
32	31	185/2	185/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	285		articStaccatoAbove							40				
32	31	93	93	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	286		articStaccatoAbove							40				
32	31	181/2	181/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	287													
32	31	183/2	183/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	288													
32	31	185/2	185/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	289													
32	31	181/2	181/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	290													
32	31	183/2	183/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	291													
32	31	185/2	185/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	292													
33	32	187/2	187/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	293									40				
33	32	94	94	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	294									40				
33	32	189/2	189/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	295									40				
33	32	95	95	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	296									40				
33	32	191/2	191/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	297													
33	32	187/2	187/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	298													
33	32	189/2	189/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	299													
33	32	191/2	191/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	300													
33	32	187/2	187/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	301													
33	32	189/2	189/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	302													
33	32	191/2	191/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	303													
34	33	193/2	193/2	0.0	0	0	StaffText	3/4	1	1	0							sotto voce										
34	33	193/2	193/2	0.0	0	0	StaffText	3/4	1	1	0							molto rallent.										
34	33	193/2	193/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	304									41				
34	33	97	97	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	305									41				
34	33	195/2	195/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	306													
34	33	197/2	197/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	307									42				
34	33	193/2	193/2	0.0	0	0	Dynamic	3/4	1	2	0					pp												
34	33	193/2	193/2	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	308													
34	33	197/2	197/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	309		articAccentBelow											
34	33	193/2	193/2	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	310													
34	33	197/2	197/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	311													
35	34	199/2	199/2	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	312									42				
35	34	203/2	203/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	313													
35	34	199/2	199/2	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	314													
35	34	199/2	199/2	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	315													
36	35	205/2	205/2	0.0	0	0	StaffText	3/4	1	1	0							smorz.										
36	35	205/2	205/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	316									43				
36	35	103	103	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	317									43				
36	35	207/2	207/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	318													
36	35	209/2	209/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	319									44				
36	35	205/2	205/2	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	320													
36	35	209/2	209/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	321													
36	35	205/2	205/2	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	322													
36	35	209/2	209/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	323													
37	36	211/2	211/2	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	324													
37	36	211/2	211/2	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	325													
37	36	215/2	215/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	326		articAccentAbove											
37	36	211/2	211/2	3.0	0	0	Chord	3/4	1	3	3/4		1/2	3/2	327													
37	36	211/2	211/2	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	328													
37	36	215/2	215/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	329		articAccentAbove											
38	37	217/2	217/2	0.0	0	0	Dynamic	3/4	1	1	0					f												
38	37	217/2	217/2	0.0	0	0	StaffText	3/4	1	1	0							a tempo										
38	37	217/2	217/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	330													
38	37	653/6	653/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	331													
38	37	655/6	655/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	332													
38	37	219/2	219/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	333									45				
38	37	110	110	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	334									45				
38	37	221/2	221/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	335									45				
38	37	111	111	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	336													
38	37	217/2	217/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	337									46				
38	37	219/2	219/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	338		articAccentAbove							46				
38	37	221/2	221/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	339									46				
39	38	223/2	223/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	340													
39	38	671/6	671/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	341													
39	38	673/6	673/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	342													
39	38	225/2	225/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	343									47				
39	38	113	113	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	344													
39	38	227/2	227/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	345		articAccentAbove							48				
39	38	223/2	223/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	346									46				
39	38	225/2	225/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	347									46				
39	38	227/2	227/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	348									46				
40	39	229/2	229/2	0.0	0	0	Dynamic	3/4	1	1	0					fz												
40	39	229/2	229/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	349													
40	39	461/4	461/4	0.0	3/16	3/16	Dynamic	3/4	1	1	0					p												
40	39	461/4	461/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	350									49				
40	39	231/2	231/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	351									49				
40	39	116	116	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	352									49				
40	39	233/2	233/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	353									49				
40	39	117	117	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	354									49				
40	39	229/2	229/2	0.0	0	0	Spanner	3/4	2	1	0																4	4
40	39	229/2	229/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	355												4	4
40	39	231/2	231/2	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
40	39	231/2	231/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	356													
40	39	233/2	233/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	357													
41	40	235/2	235/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	358									49				
41	40	118	118	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	359									49				
41	40	237/2	237/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	360									49				
41	40	119	119	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	361									49				
41	40	239/2	239/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	362		articAccentBelow											
41	40	235/2	235/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	363													
41	40	237/2	237/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	364													
41	40	239/2	239/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	365													
42	41	241/2	241/2	0.0	0	0	Dynamic	3/4	1	1	0					f												
42	41	241/2	241/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	366													
42	41	725/6	725/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	367													
42	41	727/6	727/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	368													
42	41	243/2	243/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	369									50				
42	41	122	122	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	370									50				
42	41	245/2	245/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	371									50				
42	41	123	123	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	372													
42	41	241/2	241/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	373									51				
42	41	243/2	243/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	374		articAccentAbove							51				
42	41	245/2	245/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	375									51				
43	42	247/2	247/2	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	376									52				
43	42	743/6	743/6	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	377									52				
43	42	745/6	745/6	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	378													
43	42	249/2	249/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	379									53				
43	42	501/4	501/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	380									53				
43	42	251/2	251/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	381									53				
43	42	126	126	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	382													
43	42	247/2	247/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	383		articAccentAbove							51				
43	42	249/2	249/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	384									51				
43	42	251/2	251/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	385									51				
44	43	253/2	253/2	0.0	0	0	Dynamic	3/4	1	1	0					sfz												
44	43	253/2	253/2	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	386													
44	43	253/2	253/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	387													
44	43	509/4	509/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	388									54				
44	43	255/2	255/2	0.0	1/4	1/4	Dynamic	3/4	1	1	0					f								54				
44	43	255/2	255/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	389									54				
44	43	128	128	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	390									54				
44	43	257/2	257/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	391									54				
44	43	129	129	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	392									54				
44	43	253/2	253/2	0.0	0	0	Spanner	3/4	2	1	0																5	5
44	43	253/2	253/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	393												5	5
44	43	509/4	509/4	0.0	3/16	3/16	Spanner	3/4	2	1	0																	
44	43	255/2	255/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	394									55				
44	43	257/2	257/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	395									55				
45	44	259/2	259/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	396									54				
45	44	130	130	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	397									54				
45	44	261/2	261/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	398									54				
45	44	131	131	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	399									54				
45	44	263/2	263/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	400													
45	44	259/2	259/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	401									55				
45	44	261/2	261/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	402									55				
45	44	263/2	263/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	403													
