mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	TextLine	TextLine_poco stretto	TextLine_slentando	Trill:trill
3	3	8	8	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	17							1										
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	18							1										
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	19							0										
4	4	9	9	0.75	0	0	Chord	3/4	1	2	3/16		1/8	3/2	20							2										
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	21							2										
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	22							2										
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	23							2										
4	4	9	9	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	24							1										
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	25							1										
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	26							1										
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	27																	
5	5	12	12	0.0	0	0	StaffText	3/4	1	1	0							sotto voce														
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	28		articStaccatoBelow															
5	5	25/2	25/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24		1/16	2/3	29							3										
5	5	38/3	38/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24		1/16	2/3	30							3										
5	5	77/6	77/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24		1/16	2/3	31							3										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	32		articAccentAbove					4										
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	33																	
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	34		articStaccatoAbove															
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																0	0				
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	35												0	0				
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36												0	0				
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37												0	0				
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	38		ornamentShortTrill															
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	39							5										
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	40							5										
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	41							5										
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0																					
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0																1	1				
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	42												1	1				
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	43												1	1				
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	2	1	0																					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	44																	
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	45		articStaccatoBelow															
7	7	37/2	37/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24		1/16	2/3	46							6										
7	7	56/3	56/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24		1/16	2/3	47							6										
7	7	113/6	113/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24		1/16	2/3	48							6										
7	7	20	20	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	49																	
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	50		articAccentAbove					7										
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	51																	
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	52																	
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																2	2				
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	53												2	2				
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	54												2	2				
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	55												2	2				
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	56		ornamentShortTrill															
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	57							8										
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	58							8										
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	59							8										
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																					
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																3	3				
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	60												3	3				
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	61												3	3				
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	2	1	0																					
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	62																	
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	63		articStaccatoAbove															
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	64							9										
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	65							9										
9	9	26	26	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	66							9										
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	67							9										
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	68							9										
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																4	4				
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	69		articStaccatoBelow										4	4				
9	9	25	25	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	70												4	4				
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	71												4	4				
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	72												4	4				
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	73		ornamentShortTrill															
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	74							10										
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	75							10										
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	76							10										
10	10	27	27	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	77												4	4				
10	10	27	27	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	78												4	4				
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	79												4	4				
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	80												4	4				
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0															0						
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	81											0						
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	82							11				0						
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	83							11				0						
11	11	32	32	0.0	1/2	1/2	Spanner	3/4	1	1	0											11										
11	11	32	32	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	84							11										
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	85							11										
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	86							11										
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																					
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																5	5				
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	87		articStaccatoBelow										5	5				
11	11	31	31	0.0	1/4	1/4	Spanner	3/4	2	1	0																					
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	88																	
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	89							11										
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	90							11										
12	12	34	34	0.0	1/4	1/4	Spanner	3/4	1	1	0											11			0							
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	91							11			0							
12	12	69/2	69/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	92							11			0							
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	93							11			0							
13	13	36	36	0.0	0	0	Spanner	3/4	1	1	0																					
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	94		articStaccatoBelow															
13	13	73/2	73/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24		1/16	2/3	95							12										
13	13	110/3	110/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24		1/16	2/3	96							12										
13	13	221/6	221/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24		1/16	2/3	97							12										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	98		articAccentAbove					13										
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	99																	
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	100																	
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																6	6				
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	101												6	6				
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	102												6	6				
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	103												6	6				
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	104		ornamentShortTrill															
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	105							14										
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	106							14										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	107							14										
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																					
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																7	7				
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	108												7	7				
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	109												7	7				
14	14	41	41	0.0	1/2	1/2	Spanner	3/4	2	1	0																					
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	110																	
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	111		articStaccatoBelow															
15	15	85/2	85/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24		1/16	2/3	112							15										
15	15	128/3	128/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24		1/16	2/3	113							15										
15	15	257/6	257/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24		1/16	2/3	114							15										
15	15	44	44	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	115																	
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	116		articAccentAbove					16										
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	117																	
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	118																	
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0																8	8				
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	119												8	8				
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	120												8	8				
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	121												8	8				
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	122		ornamentShortTrill															
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	123							17										
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	124							17										
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	125							17										
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																					
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																9	9				
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	126												9	9				
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	127												9	9				
16	16	47	47	0.0	1/2	1/2	Spanner	3/4	2	1	0																					
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	128																	
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	129																	
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	130							18										
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	131							18										
17	17	50	50	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	132							18										
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	133							18										
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	134							18										
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																10	10				
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	135												10	10				
17	17	49	49	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	136												10	10				
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	137												10	10				
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	138												10	10				
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	139		ornamentShortTrill															
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	140							19										
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	141							19										
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	142							19										
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	143												10	10				
18	18	51	51	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	144												10	10				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	145												10	10				
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	146												10	10				
19	19	54	54	0.0	0	0	Spanner	3/4	1	1	0														1							
19	19	54	54	0.4	0	0	Chord	3/4	1	1	1/10		1/8	4/5	147										1							
19	19	272/5	272/5	0.4	1/10	1/10	Chord	3/4	1	1	1/10		1/8	4/5	148							20			1							
19	19	274/5	274/5	0.4	1/5	1/5	Chord	3/4	1	1	1/10		1/8	4/5	149							20			1							
19	19	276/5	276/5	0.4	3/10	3/10	Chord	3/4	1	1	1/10		1/8	4/5	150							20			1							
19	19	278/5	278/5	0.4	2/5	2/5	Chord	3/4	1	1	1/10		1/8	4/5	151		articAccentBelow					20			1							
19	19	56	56	0.0	1/2	1/2	Spanner	3/4	1	1	0											20										
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	152							20										
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	153							20										
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																					
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																11	11				
19	19	54	54	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	154												11	11				
19	19	54	54	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	155												11	11				
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	156												11	11				
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	157		ornamentShortTrill															
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	158							21										
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	159							21										
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	160							21										
20	20	57	57	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	161												11	11				
20	20	57	57	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	162												11	11				
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	163												11	11				
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	164												11	11				
21	21	60	60	0.0	0	0	Dynamic	3/4	1	1	0					p																
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	165																	
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	166																	
21	21	61	61	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	167		articAccentAbove					22										
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	168							22										
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																					
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																12	12				
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169		articStaccatoBelow										12	12				
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	170												12	12				
21	21	62	62	0.0	1/2	1/2	Spanner	3/4	2	1	0																					
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	171																	
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	172																	
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	173																	
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	174																	
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	175																	
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	176																	
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	177																	
23	23	66	66	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	178																	
23	23	66	66	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	179																	
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	180		articAccentBelow															
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	181		articStaccatoAbove															
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	182							23										
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																13	13				
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	183		articStaccatoBelow										13	13				
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	184		articStaccatoAbove										13	13				
23	23	135/2	135/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																					
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	185		ornamentShortTrill															
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	186							24										
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	187							24										
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	188																	
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	189																	
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190							25										
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191																	
25	25	72	72	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	192																	
25	25	72	72	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	193																	
25	25	72	72	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	194																	
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	195		articAccentBelow															
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	196		articStaccatoAbove															
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	197							26										
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																14	14				
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	198		articStaccatoBelow										14	14				
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	199		articStaccatoAbove										14	14				
25	25	147/2	147/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																					
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	200		ornamentShortTrill															
26	26	303/4	303/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	201							27										
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	202							27										
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	203																	
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	204																	
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	205							28										
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	206																	
27	27	78	78	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	207																	
27	27	78	78	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	208																	
27	27	78	78	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	209																	
27	27	78	78	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	210																	
27	27	78	78	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	211																	
27	27	78	78	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	212																	
27	27	78	78	0.0	0	0	Chord	3/4	1	1	0	grace8after	1/8	1	213																	
27	27	78	78	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	214		articAccentBelow															
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	215		articStaccatoAbove															
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	216							29										
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																15	15				
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	217		articStaccatoBelow										15	15				
27	27	79	79	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	218		articStaccatoAbove										15	15				
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																					
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	219		ornamentShortTrill															
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	220							30										
28	28	82	82	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	221							30										
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	222							30										
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	223																	
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	224																	
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	225																	
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	226		ornamentShortTrill					30										
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	227							30										
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	228							30										
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	229							30										
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	230																	
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	231																	
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	232																	
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	233		ornamentShortTrill					30										
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	234							30										
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	235							30										
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	236							30										
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	237																	
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	238																	
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	239																	
31	31	91	91	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	240							30										
31	31	90	90	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	241																	
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																16	16				
31	31	91	91	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	242												16	16				
31	31	90	90	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	243												16	16				
