mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	235							9						
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	236							9						
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	237							9						
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	238							9						
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																25	25
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	239												25	25
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	240												25	25
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	241												25	25
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	242													
32	32	375/4	375/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	243							10						
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	244													
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	245							11						
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																	
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																26	26
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	246												26	26
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	247												26	26
32	32	95	95	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
33	33	96	96	0.0	0	0	Dynamic	3/4	1	1	0					p						11						
33	33	96	96	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	248							11						
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	249							11						
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	250							11						
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	251													
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	252													
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	253													
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	254													
34	34	99	99	0.0	0	0	Spanner	3/4	1	1	0											11		2				
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	255							11		2				
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	256							11		2				
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	257							11		2				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	258							11		2				
34	34	99	99	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	259									2				
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	260									2				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	261									2				
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	262													
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	263													
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	264													
35	35	102	102	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	265							11		2				
35	35	411/4	411/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	266							11		2				
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	267							11		2				
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	268							11		2				
35	35	102	102	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	269									2				
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	270									2				
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	271									2				
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0																27	27
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	272												27	27
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	273												27	27
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	274												27	27
36	36	105	105	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	275							11		2				
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	276							11		2				
36	36	106	106	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	277									2				
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	278									2				
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	279									2				
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0																	
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	280													
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	281													
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	282													
37	37	108	108	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	283							12		2				
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	284							12		2				
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	285							12		2				
37	37	108	108	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	286									2				
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	287									2				
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	288									2				
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																28	28
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	289												28	28
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	290												28	28
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	291												28	28
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	292							12		2				
38	38	223/2	223/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	293							12		2				
38	38	112	112	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	294							12		2				
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	295									2				
38	38	111	111	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	296									2				
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	297									2				
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	298									2				
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																	
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																29	29
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	299												29	29
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	300												29	29
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	301												29	29
39	39	459/4	459/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	302							13		2				
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	303							13		2				
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	304							13		2				
39	39	114	114	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	305									2				
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	306									2				
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	307									2				
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0																	
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0																30	30
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	308												30	30
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	309												30	30
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	310												30	30
40	40	117	117	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	311							13		2				
40	40	471/4	471/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	312							13		2				
40	40	118	118	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	313							13		2				
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	314									2				
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	315									2				
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0																	
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	316													
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	317													
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	318													
41	41	120	120	0.0	0	0	Spanner	3/4	1	1	0											13						
41	41	120	120	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	319							13						
41	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	320							13						
41	41	121	121	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	321							13						
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	322							13						
41	41	120	120	0.0	0	0	Dynamic	3/4	1	2	0					fz												
41	41	120	120	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	323													
41	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	324													
41	41	121	121	0.0	1/4	1/4	Dynamic	3/4	1	2	0					p												
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0																31	31
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	325		articStaccatoBelow										31	31
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	326							14					31	31
41	41	121	121	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	327												31	31
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	328							13						
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	329							13						
42	42	124	124	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	330							13						
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	331							13						
42	42	123	123	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	332							14					31	31
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	333							14					31	31
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	334							14					31	31
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	335												31	31
42	42	123	123	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	336												31	31
43	43	126	126	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	337							13						
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	338							13						
43	43	127	127	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	339							13						
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	340							13						
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0																	
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0																32	32
43	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	341		articStaccatoBelow										32	32
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	342							15					32	32
43	43	127	127	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	343												32	32
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	344							13						
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	345							13						
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	346							13						
44	44	131	131	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	347							13						
44	44	527/4	527/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	348							13						
44	44	129	129	0.0	0	0	Spanner	3/4	2	1	0											15						
44	44	129	129	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	349							15						
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	350							15						
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	351							15						
44	44	131	131	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	352		articStaccatoAbove											
44	44	129	129	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	353													
45	45	132	132	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	354							13						
45	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	355							13						
45	45	133	133	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	356							13						
45	45	134	134	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	357							13						
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0																33	33
45	45	132	132	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	358												33	33
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	359							16					33	33
45	45	133	133	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	360												33	33
46	46	135	135	0.0	0	0	Spanner	3/4	1	1	0											13	0					
46	46	135	135	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	361							13	0					
46	46	543/4	543/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	362							13	0					
46	46	136	136	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	363							13	0					
46	46	137	137	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	364							13	0					
46	46	551/4	551/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	365							13	0					
46	46	135	135	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	366							16					33	33
46	46	543/4	543/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	367							16					33	33
46	46	136	136	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	368							16					33	33
46	46	137	137	0.0	1/2	1/2	Spanner	3/4	2	1	0											16						
46	46	137	137	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	369							16						
46	46	551/4	551/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	370							16						
47	47	138	138	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	371							13	0					
47	47	139	139	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	372							13	0					
47	47	559/4	559/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	373							13	0					
47	47	140	140	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	374							13	0					
47	47	138	138	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	375							16						
47	47	139	139	0.75	1/4	1/4	Chord	3/4	2	1	3/16		1/8	3/2	376							16						
47	47	559/4	559/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	377							16						
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	378							16						
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	379							13	0					
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	380							13	0					
48	48	142	142	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	381							13	0					
48	48	143	143	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	382							13	0					
48	48	141	141	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	383							16						
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	384							16						
48	48	142	142	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	385							16						
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	386							16						
49	49	144	144	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	387								0					
49	49	579/4	579/4	0.0	3/16	3/16	Spanner	3/4	1	1	0																	
49	49	579/4	579/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	388							17						
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	389							17						
49	49	146	146	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	390							17						
49	49	144	144	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	391													
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	392													
49	49	145	145	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	393													
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	394							17						
50	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	395							17						
50	50	148	148	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	396							17						
50	50	148	148	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	397							17						
50	50	297/2	297/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	398							17						
50	50	149	149	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	399		articAccentAbove					17						
50	50	147	147	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	400													
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	401													
50	50	148	148	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	402													
50	50	147	147	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	403													
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	404													
51	51	150	150	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	405													
51	51	603/4	603/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	406							18						
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	407							18						
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	408							18						
51	51	151	151	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	409													
51	51	151	151	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	410													
51	51	150	150	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	411													
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	412													
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	413													
52	52	153	153	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	414							18						
52	52	307/2	307/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	415							18						
52	52	154	154	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	416							18						
52	52	154	154	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	417							18						
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	418							18						
52	52	155	155	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	419		articAccentAbove											
52	52	153	153	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	420													
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	421													
52	52	154	154	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	422													
52	52	153	153	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	423													
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	424													
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	425													
53	53	156	156	0.0	0	0	Spanner	3/4	1	1	0														2			
53	53	156	156	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	426							19			2			
53	53	627/4	627/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	427							19			2			
53	53	157	157	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	428							19			2			
53	53	631/4	631/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	429							19			2			
53	53	158	158	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	430							19			2			
53	53	635/4	635/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	431							19			2			
53	53	156	156	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	432										2			
53	53	157	157	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	433										2			
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	434										2			
53	53	156	156	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	435													
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	436													
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	437													
53	53	157	157	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	438													
53	53	156	156	2.0	0	0	Chord	3/4	2	3	1/2		1/2	1	439													
54	54	159	159	0.0	0	0	Spanner	3/4	1	1	0											19						
54	54	159	159	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	440							19						
54	54	639/4	639/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	441							19						
54	54	160	160	0.0	1/4	1/4	Spanner	3/4	1	1	0											19			3			
54	54	160	160	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	442							19			3			
54	54	643/4	643/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	443							19			3			
54	54	161	161	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	444							19			3			
54	54	647/4	647/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	445							19			3			
54	54	159	159	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	446										3			
54	54	160	160	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	447										3			
54	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	448													
54	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	449													
54	54	159	159	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	450													
55	55	162	162	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	451							19			3			
55	55	651/4	651/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	452							19			3			
55	55	163	163	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	453							19			3			
55	55	653/4	653/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	454							19			3			
55	55	327/2	327/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	455							19			3			
55	55	655/4	655/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	456							19			3			
55	55	164	164	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	457							19			3			
55	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	458							19			3			
55	55	162	162	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	459										3			
55	55	163	163	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	460										3			
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	461										3			
55	55	162	162	0.0	0	0	Spanner	3/4	2	1	0																34	34
55	55	162	162	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	462												34	34
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	463												34	34
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	464												34	34
56	56	165	165	0.0	0	0	Spanner	3/4	1	1	0																	
56	56	165	165	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	465													
56	56	663/4	663/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	466							20						
56	56	166	166	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	467							20						
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	468							20						
56	56	166	166	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	469													
56	56	165	165	0.0	0	0	Spanner	3/4	2	1	0																	
56	56	165	165	0.0	0	0	Spanner	3/4	2	1	0																35	35
56	56	165	165	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	470												35	35
56	56	166	166	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	471												35	35
56	56	167	167	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
56	56	167	167	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	472													
57	57	168	168	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	473													
57	57	675/4	675/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	474							21						
57	57	169	169	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	475							21						
57	57	170	170	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	476							21						
57	57	169	169	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	477													
57	57	168	168	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	478													
57	57	169	169	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	479													
57	57	170	170	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	480													
58	58	171	171	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	481							21						
58	58	343/2	343/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	482							21						
58	58	172	172	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	483							21						
58	58	172	172	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	484							21						
58	58	345/2	345/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	485							21						
58	58	173	173	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	486		articAccentAbove					21						
58	58	171	171	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	487													
58	58	171	171	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	488													
58	58	172	172	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	489													
58	58	171	171	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	490													
58	58	173	173	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	491													
59	59	174	174	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	492													
59	59	699/4	699/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	493							22						
59	59	175	175	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	494							22						
59	59	176	176	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	495							22						
59	59	175	175	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	496													
59	59	175	175	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	497													
59	59	174	174	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	498													
59	59	176	176	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	499													
60	60	177	177	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	500							22						
60	60	711/4	711/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	501							22						
60	60	178	178	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	502							22						
