mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	slur	crescendo_hairpin	decrescendo_hairpin
14	14	40	40	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	103				
14	14	41	41	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	104				
15	15	42	42	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	105				
15	15	171/4	171/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	106				
15	15	43	43	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	107				
15	15	87/2	87/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	108				
15	15	44	44	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	109				
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	110				
15	15	42	42	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	111				
15	15	43	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	112				
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	113				
16	16		45	0.3333333333333333	1	0	0	Chord	3/4	1	1	1/12		1/8	2/3	114				
16	16		136/3	0.3333333333333333	1	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	115				
16	16		137/3	0.3333333333333333	1	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	116				
16	16		46	0.5	1	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	117				
16	16		47	1.0	1	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	118				
16	16		45	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	119				
16	16		46	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	120				
17	16	45	48	0.3333333333333333	2	0	0	Chord	3/4	1	1	1/12		1/8	2/3	121				
17	16	136/3	145/3	0.3333333333333333	2	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	122				
17	16	137/3	146/3	0.3333333333333333	2	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	123				
17	16	46	49	0.5	2	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	124				
17	16	47	50	1.0	2	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	125				
17	16	45	48	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	126				
17	16	46	49	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	127				
18	17	48	51	0.0		0	0	Spanner	3/4	1	1	0								4
18	17	48	51	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	128				4
18	17	97/2	103/2	0.0		1/8	1/8	Spanner	3/4	1	1	0								
18	17	195/4	207/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	129				
18	17	49	52	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	130				
18	17	101/2	107/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	131				
18	17	48	51	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	132				
18	17	49	52	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	133				
18	17	50	53	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134				
19	18	51	54	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	135				
19	18	207/4	219/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	136				
19	18	52	55	0.75		1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	137				
19	18	211/4	223/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	138				
19	18	53	56	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	139				
19	18	51	54	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	140				
19	18	52	55	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	141				
19	18	53	56	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	142				
20	19	54	57	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	143				
20	19	219/4	231/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	144				
20	19	55	58	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	145				
20	19	113/2	119/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	146				
20	19	54	57	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	147				
20	19	55	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	148				
20	19	56	59	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	149				
21	20	57	60	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	150				
21	20	57	60	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	151				
21	20	231/4	243/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	152				
21	20	58	61	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	153				
21	20	117/2	123/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	154				
21	20	59	62	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	155				
21	20	119/2	125/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	156				
21	20	57	60	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	157				
21	20	58	61	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	158				
21	20	59	62	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	159				
22	21	60	63	0.0		0	0	Spanner	3/4	1	1	0								5
22	21	60	63	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	160				5
22	21	121/2	127/2	0.0		1/8	1/8	Spanner	3/4	1	1	0								
22	21	243/4	255/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	161				
22	21	61	64	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	162				
22	21	125/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	163				
22	21	60	63	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	164				
22	21	61	64	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165				
22	21	62	65	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166				
23	22	63	66	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	167				
23	22	255/4	267/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	168				
23	22	64	67	0.75		1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	169				
23	22	259/4	271/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	170				
23	22	65	68	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	171				
23	22	63	66	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	172				
23	22	64	67	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	173				
23	22	65	68	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	174				
24	23	66	69	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	175				
24	23	267/4	279/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	176				
24	23	67	70	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	177				
24	23	68	71	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	178				
24	23	66	69	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	179				
24	23	67	70	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180				
24	23	68	71	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181				
25	24	69	72	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	182				
25	24	141/2	147/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	183				
25	24	71	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	184				
25	24	143/2	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	185				
25	24	69	72	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	186				
25	24	70	73	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187				
26	25	72	75	0.0		0	0	Spanner	3/4	1	1	0								6
26	25	72	75	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	188				6
26	25	147/2	153/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	189				6
26	25	74	77	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	190				6
26	25	149/2	155/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	191				6
26	25	72	75	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	192				
26	25	73	76	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	193				
26	25	74	77	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	194				
27	26	75	78	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	195	ornamentShortTrill			6
27	26	76	79	0.0		1/4	1/4	Spanner	3/4	1	1	0								
27	26	76	79	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	196				
27	26	153/2	159/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	197				
27	26	77	80	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	198				
27	26	155/2	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	199				
27	26	75	78	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	200				
27	26	76	79	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	201				
27	26	77	80	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	202				
28	27	78	81	0.0		0	0	Spanner	3/4	1	1	0							0	
28	27	78	81	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	203			0	
28	27	315/4	327/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	204			0	
28	27	79	82	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	205			0	
28	27	159/2	165/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	206			0	
28	27	80	83	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	207			0	
28	27	161/2	167/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	208			0	
28	27	78	81	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	209				
28	27	79	82	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	210				
28	27	80	83	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	211				
29	28	81	84	0.0		0	0	Spanner	3/4	1	1	0								
29	28	81	84	0.0		0	0	Spanner	3/4	1	1	0								7
29	28	81	84	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	212	ornamentShortTrill			7
29	28	82	85	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	213				7
29	28	165/2	171/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	214				7
29	28	83	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	215				7
29	28	167/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	216				7
29	28	81	84	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	217				
29	28	82	85	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	218				
29	28	83	86	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	219				
30	29	84	87	0.0		0	0	Spanner	3/4	1	1	0								
30	29	84	87	0.0		0	0	Spanner	3/4	1	1	0								8
30	29	84	87	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	220				8
30	29	84	87	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	221				8
30	29	171/2	177/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	222				8
30	29	86	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	223				8
30	29	173/2	179/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	224				8
30	29	84	87	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	225				
30	29	85	88	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	226				
30	29	86	89	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	227				
31	30	87	90	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	228	ornamentShortTrill			8
31	30	88	91	0.0		1/4	1/4	Spanner	3/4	1	1	0								
31	30	88	91	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	229				
31	30	177/2	183/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	230				
31	30	89	92	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	231				
31	30	179/2	185/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	232				
31	30	87	90	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	233				
31	30	88	91	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	234				
31	30	89	92	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	235				
32	31	90	93	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	236				
32	31	363/4	375/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	237				
32	31	91	94	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	238				
32	31	183/2	189/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	239				
32	31	92	95	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	240				
32	31	185/2	191/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	241				
32	31	90	93	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	242				
32	31	91	94	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	243				
32	31	92	95	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	244				
33	32	93	96	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	245				
33	32	375/4	387/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	246				
33	32	94	97	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	247				
33	32	95	98	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	248				
33	32	93	96	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	249				
33	32	94	97	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	250				
33	32	95	98	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	251				
