mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
17	17	48	48	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	92		articStaccatoBelow											8	8
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	93								20					8	8
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	94								20					8	8
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	95													8	8
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	96										2				
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	97								21		2				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	98								21		2				
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	99								21		2				
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0																		
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0																	9	9
18	18	51	51	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	100		articStaccatoBelow											9	9
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	101								22					9	9
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	102								22					9	9
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	103													9	9
19	19	54	54	0.0	0	0	Spanner	3/4	1	1	0																		
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	104		articStaccatoAbove												
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	105		ornamentShortTrill						23						
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	106								23						
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	107								23						
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																		
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																	10	10
19	19	54	54	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	108		articStaccatoBelow											10	10
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	109								24					10	10
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	110								24					10	10
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111													10	10
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	112														
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	113								25						
20	20	58	58	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	114		articAccentBelow						25						
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																	11	11
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																	11	11
20	20	57	57	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	115		articStaccatoBelow											11	11
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	116								26					11	11
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117								26					11	11
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118													11	11
21	21	60	60	0.0	0	0	Dynamic	3/4	1	1	0					pp							25						
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	119								25						
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	120								25						
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	121								25						
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	122								25						
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																		
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																	12	12
21	21	60	60	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	123		articStaccatoBelow											12	12
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	124								27					12	12
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	125								27					12	12
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	126													12	12
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	127								25						
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	128								25						
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	129								25						
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	130								25						
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																		
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																	13	13
22	22	63	63	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	131		articStaccatoBelow											13	13
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	132								28					13	13
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	133								28					13	13
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134													13	13
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	135		articStaccatoAbove												
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	136		ornamentShortTrill						29						
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	137								29						
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	138								29						
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																		
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																	14	14
23	23	66	66	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	139		articStaccatoBelow											14	14
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	140								30					14	14
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	141								30					14	14
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	142													14	14
24	24	69	69	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	143								29						
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	144								29						
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	145		articAccentBelow												
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0																		
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0																	15	15
24	24	69	69	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	146		articStaccatoBelow											15	15
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	147								31					15	15
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	148								31					15	15
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	149													15	15
25	25	72	72	0.0	0	0	Dynamic	3/4	1	1	0					f													
25	25	72	72	0.0	0	0	StaffText	3/4	1	1	0							con anima											
25	25	72	72	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	150		articAccentAbove						32						
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																		
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																	16	16
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	151													16	16
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	152													16	16
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	153													16	16
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	154								32						
26	26	151/2	151/2	0.0	1/8	1/8	StaffText	3/4	1	1	0							♭					32						
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	155		ornamentShortTrill						32						
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	156								32						
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	157								32						
26	26	77	77	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	158								32						
26	26	311/4	311/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	159								32						
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	160													16	16
26	26	76	76	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161														
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162														
27	27	78	78	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	163								32						
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	164								32						
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	165								32						
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	166								32						
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																	17	17
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	167													17	17
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	168													17	17
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	169													17	17
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	170								32						
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	171								32						
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	172														
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																		
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																	18	18
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	173													18	18
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	174													18	18
28	28	83	83	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	175														
29	29	84	84	0.0	0	0	StaffText	3/4	1	1	0							dolce											
29	29	84	84	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	176								33						
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																	19	19
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	177													19	19
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178													19	19
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179													19	19
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	180								33						
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	181		ornamentShortTrill						33						
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	182								33						
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	183								33						
30	30	89	89	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	184								33						
30	30	359/4	359/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	185								33						
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	186													19	19
30	30	88	88	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187														
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	188														
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0												33				0		
31	31	90	90	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	189								33				0		
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	190								33				0		
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	191								33				0		
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	192								33				0		
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																	20	20
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	193													20	20
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	194													20	20
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	195													20	20
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	196								33				0		
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	197								33				0		
32	32	94	94	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	198												0		
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																		
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																	21	21
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	199													21	21
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200													21	21
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	201													21	21
33	33	96	96	0.0	0	0	Spanner	3/4	1	1	0																		
33	33	97	97	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	202		articAccentAbove						34						
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0																		
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	203														
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	204														
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	205														
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	206								34						
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	207		ornamentShortTrill						34						
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	208								34						
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	209								34						
34	34	101	101	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	210								34						
34	34	407/4	407/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	211								34						
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	212														
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	213														
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	214														
35	35	102	102	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	215								34						
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	216								34						
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	217								34						
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	218								34						
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0																	22	22
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	219													22	22
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	220													22	22
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	221													22	22
36	36	105	105	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	222								34						
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	223								34						
36	36	106	106	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	224														
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0																		
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0																	23	23
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	225													23	23
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	226													23	23
