mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	17								1						
5	4	10	10	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	18								0						
5	4	10	10	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	19														
5	4	11	11	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	20														
5	4	10	10	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	21								1						
5	4	21/2	21/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	22								1						
5	4	11	11	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	23								1						
5	4	25/2	25/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	24								1						
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	25														
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	26								0						
6	5	14	14	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	27								0						
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	28								0						
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	29								0						
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	30								0						
6	5	13	13	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	31														
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	32														
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	33								0						
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	34								0						
7	6	17	17	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	35								0						
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	36								0						
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	37														
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38			articAccentAbove					2						
8	7	19	19	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	39								0						
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	40								2						
8	7	20	20	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	41								2						
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	42								2						
8	7	21	21	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	43								2						
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	44								2						
9	8	22	22	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	45								0						
9	8	22	22	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	46														
9	8	23	23	0.0	1/4	1/4	Spanner	3/4	1	2	0													0					
9	8	23	23	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	47									0					
9	8	22	22	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	48								2						
9	8	45/2	45/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	49								2						
9	8	23	23	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	50								2						
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	51								2						
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	52														
10	9	25	25	0.0	0	0	Spanner	3/4	1	1	0													1					
10	9	25	25	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	53								3	1					
10	9	51/2	51/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	54								3	1					
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	55								3	1					
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	56								3	1					
10	9	27	27	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	57								3	1					
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	58								3	1					
10	9	25	25	0.0	0	0	Spanner	3/4	1	2	0													1					
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0																	0	0
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	59			articStaccatoAbove										0	0
11	10	28	28	0.0	0	0	Spanner	3/4	1	1	0												3						
11	10	28	28	0.0	0	0	Spanner	3/4	1	1	0												3				0		
11	10	28	28	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	60								3				0		
11	10	85/3	85/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	61								3				0		
11	10	86/3	86/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	62								3				0		
11	10	29	29	0.0	1/4	1/4	Spanner	3/4	1	1	0												3						
11	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	63								3						
11	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	64								3						
11	10	30	30	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	65								3						
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	66								3						
11	10	29	29	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	67														
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	68														
12	11	31	31	0.0	0	0	Spanner	3/4	1	1	0												3	2					
12	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	69								3	2					
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	70								3	2					
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	71								3	2					
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	72								3	2					
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	73								3	2					
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	74								3	2					
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0																	1	1
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	75													1	1
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	76			articStaccatoBelow										1	1
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	77													1	1
13	12	34	34	0.0	0	0	Spanner	3/4	1	1	0												3						
13	12	34	34	0.0	0	0	Spanner	3/4	1	1	0												3				1		
13	12	34	34	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	78								3				1		
13	12	103/3	103/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	79								3				1		
13	12	104/3	104/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	80								3				1		
13	12	35	35	0.0	1/4	1/4	Spanner	3/4	1	1	0												3						
13	12	35	35	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	81								3						
13	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	82								3						
13	12	36	36	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	83								3						
13	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	84								3						
13	12	35	35	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	85								4						
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	86								4						
14	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	87								3						
14	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	88								3						
14	13	38	38	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	89								3						
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	90								3						
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	91														
14	13	38	38	0.0	1/4	1/4	Spanner	3/4	2	1	0																	2	2
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	92			articStaccatoBelow										2	2
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	93								5					2	2
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	94								3						
15	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	95								3						
15	14	41	41	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	96								3						
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	97								3						
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	98								5					2	2
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99													2	2
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	100			articStaccatoBelow										2	2
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	101								3						
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	102								3						
16	15	44	44	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	103								3						
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	104								3						
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105			articStaccatoBelow										2	2
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106													2	2
16	15	45	45	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	107								3						
17	16	93/2	93/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	108								3						
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	109														
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0																	3	3
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	110			articStaccatoBelow										3	3
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	111													3	3
18	16	48	48	0.0	0	1/2	Spanner	3/4	2	1	0																		
19	17	49	49	0.0	0	0	Dynamic	3/4	1	1	0						f												
19	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	112														
19	17	50	50	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	113			articAccentBelow											
19	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	114								6						
19	17	49	49	0.0	0	0	Spanner	3/4	2	1	0																	4	4
19	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	115													4	4
19	17	50	50	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	116													4	4
19	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	117													4	4
20	18	52	52	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	118														
20	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	119														
20	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	120														
20	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	121			articAccentBelow					7						
20	18	52	52	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	122													4	4
20	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	123													4	4
20	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	124													4	4
20	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	125								8					4	4
21	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	126														
21	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	127								9						
21	19	56	56	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	128								9						
21	19	169/3	169/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	129								9						
21	19	170/3	170/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	130								9						
21	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	131								9						
21	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	132								9						
21	19	56	56	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	133			articAccentBelow											
21	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	134													4	4
21	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135													4	4
22	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	136														
22	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	137														
22	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	138														
22	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	139			articAccentBelow											
22	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																		
22	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																	5	5
22	20	58	58	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	140													5	5
22	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	141													5	5
22	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	142								10					5	5
23	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	143														
23	21	62	62	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	144			articAccentBelow											
23	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	145								11						
23	21	61	61	0.0	0	0	Spanner	3/4	2	1	0																		
23	21	61	61	0.0	0	0	Spanner	3/4	2	1	0																	6	6
23	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	146													6	6
23	21	62	62	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	147													6	6
23	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	148													6	6
24	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	149														
24	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	150								12						
24	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	151														
24	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	152			articAccentBelow					13						
24	22	64	64	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	153													6	6
24	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	154													6	6
24	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	155													6	6
24	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	156													6	6
25	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	157														
25	23	271/4	271/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	158								14						
25	23	68	68	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	159								14						
25	23	205/3	205/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	160								14						
25	23	206/3	206/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	161								14						
25	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	162								14						
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	163								14						
25	23	68	68	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	164														
25	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	165													6	6
25	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	166													6	6
26	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	167														
26	24	283/4	283/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	168								15						
26	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	169														
26	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	170			articAccentBelow											
26	24	70	70	0.0	0	0	Spanner	3/4	2	1	0																		
26	24	70	70	0.0	0	0	Spanner	3/4	2	1	0																	7	7
26	24	70	70	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	171			articStaccatoBelow										7	7
26	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	172													7	7
26	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	173													7	7
27	25	73	73	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	174								16						
27	25	75	75	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	175								16						
27	25	73	73	0.0	0	0	Dynamic	3/4	1	2	0						p												
27	25	73	73	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	176														
27	25	73	73	0.0	0	0	Spanner	3/4	2	1	0																		
27	25	73	73	0.0	0	0	Spanner	3/4	2	1	0																	8	8
27	25	73	73	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	177								17					8	8
27	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	178								17					8	8
27	25	74	74	0.0	1/4	1/4	Spanner	3/4	2	1	0												17						
27	25	74	74	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	179								17						
27	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	180								17						
27	25	75	75	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	181								17						
27	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	182								17						
28	26	76	76	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	183														
28	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	184								18						
28	26	76	76	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	185								17						
28	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	186								17						
28	26	77	77	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	187								17						
28	26	155/2	155/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	188								17						
28	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	189														
29	27	79	79	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	190								18						
29	27	81	81	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	191								18						
29	27	79	79	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	192														
29	27	79	79	0.0	0	0	Spanner	3/4	2	1	0																	9	9
29	27	79	79	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	193								19					9	9
29	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	194								19					9	9
29	27	80	80	0.0	1/4	1/4	Spanner	3/4	2	1	0												19						
29	27	80	80	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	195								19						
29	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	196								19						
29	27	81	81	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	197								19						
29	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	198								19						
30	28	82	82	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	199								18						
30	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	200								18						
30	28	82	82	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	201								19						
30	28	165/2	165/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	202								19						
30	28	83	83	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	203								19						
30	28	167/2	167/2	0.0	3/8	3/8	Chord	3/4	2	1	0	acciaccatura	1/8	1	204								19						
30	28	167/2	167/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	205								19						
30	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	206														
31	29	85	85	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	207								18						
31	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	208								18						
31	29	85	85	0.0	0	0	Spanner	3/4	2	1	0																	10	10
31	29	85	85	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	209								20					10	10
31	29	171/2	171/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	210								20					10	10
31	29	86	86	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	211								20					10	10
31	29	173/2	173/2	0.0	3/8	3/8	Spanner	3/4	2	1	0												20						
31	29	173/2	173/2	0.0	3/8	3/8	Spanner	3/4	2	1	0												20	3					
31	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	212								20	3					
31	29	87	87	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	213								20	3					
31	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	214								20	3					
32	30	88	88	0.0	0	0	Spanner	3/4	1	1	0													4					
32	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	215									4					
32	30	90	90	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
32	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	216														
32	30	88	88	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	217								20	3					
32	30	177/2	177/2	0.0	1/8	1/8	Spanner	3/4	2	1	0												20						
32	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	218								20						
32	30	89	89	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	219								20						
32	30	179/2	179/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	220														
32	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	221														
33	31	91	91	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	222														
33	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	223														
33	31	91	91	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	224								21						
33	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	225								21						
33	31	92	92	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	226								21						
33	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	227								21						
33	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	228								21						
34	32	94	94	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	229														
34	32	96	96	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	230								22						
34	32	94	94	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	231								21						
34	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	232								21						
34	32	95	95	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	233								21						
34	32	191/2	191/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	234								21						
34	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	235			articAccentAbove					21						
35	33	97	97	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	236								22						
35	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	237								21						
35	33	98	98	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	238								21						
35	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	239								21						
35	33	99	99	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	240								21						
35	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	241								21						
36	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	242								22						
36	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	243								22						
36	34	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	244								22						
36	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	245								22						
36	34	100	100	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	246														
36	34	101	101	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	247														
36	34	100	100	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	248								21						
36	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	249								21						
36	34	101	101	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	250								21						
