mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	pedal
8	7	20	20	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	55									12				
8	7	81/4	81/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	56									12				
8	7	85/4	85/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	57													
8	7	85/4	85/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	58													
8	7	85/4	85/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	59													
8	7	77/4	77/4	0.0		0	0	Spanner	3/4	2	1	0																	
8	7	77/4	77/4	0.0		0	0	Spanner	3/4	2	1	0																	6
8	7	77/4	77/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	60													6
8	7	81/4	81/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	61													6
8	7	85/4	85/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	62													6
9	8	89/4	89/4	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	63													
9	8	89/4	89/4	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	64													
9	8	24	24	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	65									13				
9	8	97/4	97/4	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	66									13				
9	8	25	25	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	67									13				
9	8	89/4	89/4	0.0		0	0	Spanner	3/4	2	1	0																	
9	8	89/4	89/4	0.0		0	0	Spanner	3/4	2	1	0																	7
9	8	89/4	89/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	68													7
9	8	93/4	93/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	69													7
10	9	101/4	101/4	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	70													
10	9	101/4	101/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	71													
10	9	26	26	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	72									14				
10	9	105/4	105/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	73									14				
10	9	109/4	109/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	74													
10	9	109/4	109/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	75													
10	9	109/4	109/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	76		ornamentTrill											
10	9	101/4	101/4	0.0		0	0	StaffText	3/4	2	1	0							Ped. simile										
10	9	101/4	101/4	0.0		0	0	Spanner	3/4	2	1	0																	
10	9	101/4	101/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	77													
10	9	105/4	105/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	78													
10	9	109/4	109/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	79		articAccentAbove											
11	10	113/4	113/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	80									15				
11	10	29	29	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	81									15				
11	10	117/4	117/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	82									15				
11	10	121/4	121/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	83									15				
11	10	113/4	113/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	84													
11	10	117/4	117/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	85													
11	10	121/4	121/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	86													
12	11	125/4	125/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	87									16				
12	11	32	32	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	88									16				
12	11	129/4	129/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	89									16				
12	11	133/4	133/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	90		ornamentTrill											
12	11	125/4	125/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	91													
12	11	129/4	129/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	92													
12	11	133/4	133/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	93													
13	12	137/4	137/4	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	94		articStaccatissimoBelow							17				
13	12	139/4	139/4	0.0		1/8	1/8	Spanner	3/4	1	1	0													17	1			
13	12	35	35	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	95									17	1			
13	12	141/4	141/4	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	96		articStaccatissimoBelow							17	1			
13	12	36	36	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	97									17	1			
13	12	145/4	145/4	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	98		articStaccatissimoBelow							17	1			
13	12	37	37	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	99									18	1			
13	12	137/4	137/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	100													
13	12	141/4	141/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	101													
13	12	145/4	145/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	102													
14	13	149/4	149/4	0.0		0	0	Spanner	3/4	1	1	0																	
14	13	149/4	149/4	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	103		articStaccatissimoAbove							19				
14	13	38	38	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	104									19, 20				
14	13	153/4	153/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	105									19				
14	13	157/4	157/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	106													
14	13	157/4	157/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	107													
14	13	157/4	157/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	108		ornamentTrill											
14	13	149/4	149/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	109													
14	13	153/4	153/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	110													
14	13	157/4	157/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111		articAccentAbove											
15	14	161/4	161/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	112									21				
15	14	41	41	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	113									21				
15	14	165/4	165/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	114									21				
15	14	169/4	169/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	115									21				
15	14	161/4	161/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	116													
15	14	165/4	165/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117													
15	14	169/4	169/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118													
16	15	173/4	173/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	119									22				
16	15	44	44	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	120									22				
16	15	177/4	177/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	121									22				
16	15	181/4	181/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	122													
16	15	181/4	181/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	123													
16	15	181/4	181/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	124		ornamentTrill											
16	15	173/4	173/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	125													
16	15	177/4	177/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126													
16	15	181/4	181/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127													
17	16	185/4	185/4	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	128													
17	16	185/4	185/4	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	129													
17	16	48	48	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	130									23				
17	16	193/4	193/4	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	131									23				
17	16	49	49	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	132									23				
17	16	185/4	185/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	133													
18	17	197/4	197/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	134									24				
18	17	50	50	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	135									24				
18	17	201/4	201/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	136									24				
18	17	205/4	205/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	137													
18	17	205/4	205/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	138													
18	17	205/4	205/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	139		ornamentTrill											
18	17	197/4	197/4	0.0		0	0	Spanner	3/4	2	1	0																	8
18	17	197/4	197/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	140													8
18	17	201/4	201/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	141													8
18	17	205/4	205/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	142		articAccentAbove											8
19	18	209/4	209/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	143									25				
19	18	53	53	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	144									25				
19	18	213/4	213/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	145									25				
19	18	217/4	217/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	146													
19	18	217/4	217/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	147													
19	18	217/4	217/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	148		articAccentAbove											
19	18	209/4	209/4	0.0		0	0	Spanner	3/4	2	1	0																	
19	18	209/4	209/4	0.0		0	0	Spanner	3/4	2	1	0																	9
19	18	209/4	209/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	149													9
19	18	213/4	213/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150													9
19	18	217/4	217/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151		articAccentAbove											9
20	19	221/4	221/4	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	152									26				
20	19	56	56	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	153									26				
20	19	225/4	225/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	154									26				
20	19	229/4	229/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	155		articAccentAbove											
20	19	221/4	221/4	0.0		0	0	Spanner	3/4	2	1	0																	
20	19	221/4	221/4	0.0		0	0	Spanner	3/4	2	1	0																	10
20	19	221/4	221/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	156													10
20	19	225/4	225/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	157													10
20	19	229/4	229/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	158		articAccentAbove											10
21	20	233/4	233/4	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	159													
21	20	233/4	233/4	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	160													
21	20	233/4	233/4	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	161													
21	20	233/4	233/4	0.0		0	0	Spanner	3/4	2	1	0																	
21	20	233/4	233/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	162													
21	20	237/4	237/4	0.0		1/4	1/4	StaffText	3/4	2	1	0							rit.										
21	20	237/4	237/4	0.0		1/4	1/4	Spanner	3/4	2	1	0																	11
21	20	237/4	237/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	163									27				11
21	20	241/4	241/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	164													11
22	21	245/4	245/4	0.0		0	0	Dynamic	3/4	1	1	0					p												
22	21	245/4	245/4	0.0		0	0	StaffText	3/4	1	1	0							a tempo										
22	21	245/4	245/4	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	165									28				
22	21	245/4	245/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	166									28				
22	21	62	62	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	167									28				
22	21	249/4	249/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	168									28				
22	21	253/4	253/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	169													
22	21	253/4	253/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	170													
22	21	253/4	253/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	171		articAccentAbove											
22	21	245/4	245/4	0.0		0	0	Spanner	3/4	2	1	0																	
22	21	245/4	245/4	0.0		0	0	Spanner	3/4	2	1	0																	12
22	21	245/4	245/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	172													12
22	21	249/4	249/4	0.0		1/4	1/4	Spanner	3/4	2	1	0																	
22	21	249/4	249/4	0.0		1/4	1/4	Spanner	3/4	2	1	0																	13
22	21	249/4	249/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	173													13
22	21	253/4	253/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	174		articAccentAbove											13
23	22	257/4	257/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	175									29				
23	22	65	65	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	176									29				
23	22	261/4	261/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	177									29				
23	22	265/4	265/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	178									29				
23	22	257/4	257/4	0.0		0	0	StaffText	3/4	2	1	0							Ped. come sopra										
23	22	257/4	257/4	0.0		0	0	Spanner	3/4	2	1	0																	
23	22	257/4	257/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	179													
23	22	261/4	261/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180													
23	22	265/4	265/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181													
24	23	269/4	269/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	182									30				
24	23	68	68	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	183									30				
24	23	273/4	273/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	184									30				
24	23	277/4	277/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	185													
24	23	277/4	277/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	186													
24	23	277/4	277/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	187		ornamentTrill											
24	23	269/4	269/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	188													
24	23	273/4	273/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	189													
24	23	277/4	277/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190													
25	24	281/4	281/4	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	191									31				
25	24	283/4	283/4	0.0		1/8	1/8	Spanner	3/4	1	1	0													31	2			
25	24	71	71	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	192									31, 32	2			
25	24	285/4	285/4	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	193		articStaccatissimoBelow							31	2			
25	24	72	72	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	194									31, 33	2			
25	24	289/4	289/4	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	195		articStaccatissimoBelow							31	2			
25	24	73	73	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	196									34	2			
25	24	281/4	281/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	197													
25	24	285/4	285/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	198													
25	24	289/4	289/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	199													
26	25	293/4	293/4	0.0		0	0	Spanner	3/4	1	1	0																	
26	25	293/4	293/4	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	200									35				
26	25	74	74	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	201									35, 36				
26	25	297/4	297/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	202									35				
26	25	301/4	301/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	203													
26	25	301/4	301/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	204													
26	25	301/4	301/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	205		ornamentTrill											
26	25	293/4	293/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	206													
26	25	297/4	297/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	207													
26	25	301/4	301/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	208													
27	26	305/4	305/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	209									37				
27	26	77	77	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	210									37				
27	26	309/4	309/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	211									37				
27	26	313/4	313/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	212									37				
27	26	305/4	305/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	213													
27	26	309/4	309/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	214													
27	26	313/4	313/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	215													
28	27	317/4	317/4	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	216									38				
28	27	80	80	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	217									38				
28	27	321/4	321/4	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	218									38				
28	27	325/4	325/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	219													
28	27	325/4	325/4	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	220													
28	27	325/4	325/4	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	221		ornamentTrill											
28	27	317/4	317/4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	222													
28	27	321/4	321/4	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	223													
28	27	325/4	325/4	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	224													
29	28		329/4	0.0	1	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	225													
29	28		329/4	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	226													
29	28		84	0.25	1	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	227									39				
29	28		337/4	0.75	1	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	228									39				
29	28		85	0.25	1	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	229													
29	28		329/4	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	230													
29	28		333/4	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	231													
30	28	329/4	341/4	0.0	2	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	232													
30	28	329/4	341/4	1.0	2	0	0	Chord	3/4	1	1	1/4		1/4	1	233													
30	28	84	87	0.25	2	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	234									40				
30	28	337/4	349/4	0.75	2	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	235									40				
30	28	85	88	0.25	2	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	236													
30	28	329/4	341/4	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	237													
