mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
3	2	5	5	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	16							0						
3	2	11/2	11/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	17							0						
3	2	6	6	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	18							0						
3	2	13/2	13/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	19							0						
3	2	5	5	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	20													
3	2	6	6	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	21		articAccentBelow											
3	2	4	4	0.0		0	0	Spanner	3/4	2	1	0																	
3	2	4	4	0.0		0	0	Spanner	3/4	2	1	0												1	1				
3	2	4	4	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	22		articStaccatoBelow						1	1				
3	2	5	5	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	23		articStaccatoAbove						1	1				
3	2	6	6	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	24		articStaccatoAbove						1	1				
4	3	7	7	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	25							0						
4	3	15/2	15/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	26							0						
4	3	8	8	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	27							0						
4	3	25/3	25/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	28							0						
4	3	26/3	26/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	29							0						
4	3	9	9	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	30							0						
4	3	19/2	19/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	31													
4	3	8	8	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	32													
4	3	9	9	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	33		articAccentBelow											
4	3	7	7	0.0		0	0	Spanner	3/4	2	1	0																	
4	3	7	7	0.0		0	0	Spanner	3/4	2	1	0												2	2				
4	3	7	7	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	34		articStaccatoBelow						2	2				
4	3	8	8	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35								2	2				
4	3	9	9	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	36								2	2				
5	4	10	10	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	37		articAccentAbove					1						
5	4	12	12	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	38													
5	4	11	11	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	39													
5	4	12	12	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	40		articAccentBelow											
5	4	10	10	0.0		0	0	Spanner	3/4	2	1	0																	
5	4	10	10	0.0		0	0	Spanner	3/4	2	1	0												3	3				
5	4	10	10	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	41		articStaccatoBelow						3	3				
5	4	11	11	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42								3	3				
5	4	12	12	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43								3	3				
6	5	13	13	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	44							2						
6	5	27/2	27/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	45							2						
6	5	14	14	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	46							2						
6	5	29/2	29/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	47							2						
6	5	15	15	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	48							2						
6	5	31/2	31/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	49							2						
6	5	14	14	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	50													
6	5	15	15	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	51		articAccentBelow											
6	5	13	13	0.0		0	0	Spanner	3/4	2	1	0																	
6	5	13	13	0.0		0	0	Spanner	3/4	2	1	0												4	4				
6	5	13	13	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	52								4	4				
6	5	14	14	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	53								4	4				
6	5	15	15	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	54								4	4				
7	6	16	16	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	55							2						
7	6	16	16	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	56							2						
7	6	16	16	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	57							2						
7	6	17	17	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	58							2						
7	6	35/2	35/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	59							2						
7	6	18	18	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	60							2						
7	6	37/2	37/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	61													
7	6	17	17	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	62													
7	6	18	18	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	63		articAccentBelow											
7	6	16	16	0.0		0	0	Spanner	3/4	2	1	0																	
7	6	16	16	0.0		0	0	Spanner	3/4	2	1	0												5	5				
7	6	16	16	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	64		articStaccatoBelow						5	5				
7	6	17	17	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	65								5	5				
7	6	18	18	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	66								5	5				
8	7	19	19	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	67							3						
8	7	39/2	39/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	68							3						
8	7	20	20	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	69							3						
8	7	61/3	61/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	70							3						
8	7	62/3	62/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	71							3						
8	7	21	21	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	72							3						
8	7	43/2	43/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	73													
8	7	20	20	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	74													
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	75		articAccentBelow											
8	7	19	19	0.0		0	0	Spanner	3/4	2	1	0																	
8	7	19	19	0.0		0	0	Spanner	3/4	2	1	0												6	6				
8	7	19	19	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	76								6	6				
8	7	20	20	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	77								6	6				
8	7	21	21	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78								6	6				
9	8	22	22	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	79		articAccentAbove											
9	8	23	23	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	80													
9	8	24	24	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	81		articAccentBelow											
9	8	22	22	0.0		0	0	Spanner	3/4	2	1	0																	
9	8	22	22	0.0		0	0	Spanner	3/4	2	1	0												7	7				
9	8	22	22	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	82								7	7				
9	8	23	23	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	83								7	7				
9	8	24	24	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	84								7	7				
10	9	25	25	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	85							4						
10	9	51/2	51/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	86							4						
10	9	26	26	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	87							4						
10	9	53/2	53/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	88							4						
10	9	27	27	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	89							4						
10	9	55/2	55/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	90							4						
10	9	25	25	0.0		0	0	Dynamic	3/4	1	2	0					pp												
10	9	25	25	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	91													
10	9	26	26	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	92													
10	9	27	27	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	93		articAccentBelow											
10	9	25	25	0.0		0	0	Spanner	3/4	2	1	0																	
10	9	25	25	0.0		0	0	Spanner	3/4	2	1	0												8	8				
10	9	25	25	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	94								8	8				
10	9	26	26	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	95								8	8				
10	9	27	27	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96								8	8				
11	10	28	28	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	97							4						
11	10	28	28	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	98							4						
11	10	28	28	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	99							4						
11	10	29	29	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	100							4						
11	10	59/2	59/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	101							4						
11	10	30	30	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	102							4						
11	10	61/2	61/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	103													
11	10	29	29	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	104													
11	10	30	30	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	105		articAccentBelow											
11	10	28	28	0.0		0	0	Spanner	3/4	2	1	0																	
11	10	28	28	0.0		0	0	Spanner	3/4	2	1	0												9	9				
11	10	28	28	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	106								9	9				
11	10	29	29	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	107								9	9				
11	10	30	30	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	108								9	9				
12	11	31	31	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	109							5						
12	11	63/2	63/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	110							5						
12	11	32	32	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	111							5						
12	11	97/3	97/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	112							5						
12	11	98/3	98/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	113							5						
12	11	33	33	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	114							5						
12	11	67/2	67/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	115													
12	11	32	32	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	116													
12	11	33	33	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	117		articAccentBelow											
12	11	31	31	0.0		0	0	Spanner	3/4	2	1	0																	
12	11	31	31	0.0		0	0	Spanner	3/4	2	1	0												10	10				
12	11	31	31	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	118		articStaccatoBelow						10	10				
12	11	32	32	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119								10	10				
12	11	33	33	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	120								10	10				
13	12	34	34	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	121		articAccentAbove					6						
13	12	36	36	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	122													
13	12	35	35	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	123													
13	12	36	36	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	124													
13	12	34	34	0.0		0	0	Spanner	3/4	2	1	0																	
13	12	34	34	0.0		0	0	Spanner	3/4	2	1	0												11	11				
13	12	34	34	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	125		articStaccatoBelow						11	11				
13	12	35	35	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126								11	11				
13	12	36	36	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127								11	11				
14	13	37	37	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	128							7						
14	13	75/2	75/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	129							7						
14	13	38	38	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	130							7						
14	13	77/2	77/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	131							7						
14	13	39	39	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	132							7						
14	13	79/2	79/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	133							7						
14	13	38	38	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	134													
14	13	39	39	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	135		articAccentBelow											
14	13	37	37	0.0		0	0	Spanner	3/4	2	1	0																	
14	13	37	37	0.0		0	0	Spanner	3/4	2	1	0												12	12				
14	13	37	37	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	136								12	12				
14	13	38	38	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	137								12	12				
14	13	39	39	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	138								12	12				
15	14	40	40	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	139							7						
15	14	40	40	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	140							7						
15	14	40	40	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	141							7						
15	14	41	41	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	142							7						
15	14	83/2	83/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	143							7						
15	14	42	42	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	144							7						
15	14	85/2	85/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	145													
15	14	41	41	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	146													
15	14	42	42	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	147		articAccentBelow											
15	14	40	40	0.0		0	0	Spanner	3/4	2	1	0																	
15	14	40	40	0.0		0	0	Spanner	3/4	2	1	0												13	13				
15	14	40	40	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	148		articStaccatoBelow						13	13				
15	14	41	41	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	149								13	13				
15	14	42	42	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	150								13	13				
16	15	43	43	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	151							8						
16	15	87/2	87/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	152							8						
16	15	44	44	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	153							8						
16	15	133/3	133/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	154							8						
16	15	134/3	134/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	155							8						
16	15	45	45	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	156							8						
16	15	91/2	91/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	157													
16	15	44	44	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	158													
16	15	45	45	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	159		articAccentBelow											
16	15	43	43	0.0		0	0	Spanner	3/4	2	1	0																	
16	15	43	43	0.0		0	0	Spanner	3/4	2	1	0												14	14				
16	15	43	43	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	160								14	14				
16	15	44	44	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161								14	14				
16	15	45	45	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162								14	14				
17	16	46	46	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	163		articAccentAbove											
17	16	47	47	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	164													
17	16	48	48	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	165		articAccentBelow											
17	16	46	46	0.0		0	0	Spanner	3/4	2	1	0																	
17	16	46	46	0.0		0	0	Spanner	3/4	2	1	0												15	15				
17	16	46	46	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	166		articStaccatoBelow						15	15				
17	16	47	47	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	167								15	15				
17	16	48	48	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	168								15	15				
18	17	49	49	0.0		0	0	Dynamic	3/4	1	1	0					f												
18	17	49	49	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	169							9						
18	17	99/2	99/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	170							9						
18	17	50	50	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	171							9						
18	17	101/2	101/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	172							9						
18	17	51	51	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	173							9						
18	17	103/2	103/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	174							9						
18	17	50	50	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	175													
18	17	51	51	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	176		articAccentBelow											
18	17	49	49	0.0		0	0	Spanner	3/4	2	1	0																	
18	17	49	49	0.0		0	0	Spanner	3/4	2	1	0												16	16				
18	17	49	49	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	177								16	16				
18	17	50	50	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178								16	16				
18	17	51	51	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179								16	16				
19	18	52	52	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	180							9						
19	18	52	52	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	181							9						
19	18	52	52	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	182							9						
19	18	53	53	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	183							9						
19	18	107/2	107/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	184							9						
19	18	54	54	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	185							9						
19	18	109/2	109/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	186													
19	18	53	53	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	187													
19	18	54	54	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	188		articAccentBelow											
19	18	52	52	0.0		0	0	Spanner	3/4	2	1	0												17	17				
19	18	52	52	0.0		0	0	Spanner	3/4	2	1	0												17	17				
19	18	52	52	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	189								17	17				
19	18	53	53	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190								17	17				
19	18	54	54	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191								17	17				
20	19	55	55	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	192							10						
20	19	111/2	111/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	193							10						
20	19	56	56	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	194							10						
20	19	169/3	169/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	195							10						
20	19	170/3	170/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	196							10						
20	19	57	57	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	197							10						
20	19	115/2	115/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	198													
20	19	56	56	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	199													
20	19	57	57	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	200		articAccentBelow											
20	19	55	55	0.0		0	0	Spanner	3/4	2	1	0																	
20	19	55	55	0.0		0	0	Spanner	3/4	2	1	0												18	18				
20	19	55	55	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	201								18	18				
20	19	56	56	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	202								18	18				
20	19	57	57	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	203								18	18				
21	20	58	58	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	204		articAccentAbove					11						
21	20	60	60	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	205													
21	20	59	59	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	206													
21	20	60	60	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	207		articAccentBelow											
21	20	58	58	0.0		0	0	Spanner	3/4	2	1	0																	
21	20	58	58	0.0		0	0	Spanner	3/4	2	1	0												19	19				
21	20	58	58	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	208								19	19				
21	20	59	59	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	209								19	19				
21	20	60	60	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	210								19	19				
22	21	61	61	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	211							12						
22	21	123/2	123/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	212							12						
22	21	62	62	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	213							12						
22	21	125/2	125/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	214							12						
22	21	63	63	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	215							12						
22	21	127/2	127/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	216							12						
22	21	62	62	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	217													
22	21	63	63	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	218		articAccentBelow											
22	21	61	61	0.0		0	0	Spanner	3/4	2	1	0																	
22	21	61	61	0.0		0	0	Spanner	3/4	2	1	0												20	20				
22	21	61	61	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	219		articStaccatoBelow						20	20				
22	21	62	62	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	220								20	20				
22	21	63	63	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	221								20	20				
23	22	64	64	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	222							12						
23	22	64	64	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	223							12						
23	22	64	64	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	224							12						
23	22	65	65	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	225							12						
23	22	131/2	131/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	226							12						
23	22	66	66	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	227							12						
23	22	133/2	133/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	228													
23	22	65	65	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	229													
23	22	66	66	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	230		articAccentBelow											
23	22	64	64	0.0		0	0	Spanner	3/4	2	1	0																	
23	22	64	64	0.0		0	0	Spanner	3/4	2	1	0												21	21				
23	22	64	64	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	231								21	21				
23	22	65	65	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	232								21	21				
23	22	66	66	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	233								21	21				
24	23	67	67	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	234							13						
24	23	135/2	135/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	235							13						
24	23	68	68	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	236							13						
24	23	205/3	205/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	237							13						
24	23	206/3	206/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	238							13						
24	23	69	69	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	239							13						
24	23	139/2	139/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	240													
24	23	68	68	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	241													
24	23	69	69	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	242		articAccentBelow											
24	23	67	67	0.0		0	0	Spanner	3/4	2	1	0																	
24	23	67	67	0.0		0	0	Spanner	3/4	2	1	0												22	22				
