mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
3	2	11/2	11/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	13									2						
3	2	6	6	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	14															
3	2	5	5	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	15															
3	2	4	4	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	16		articAccentBelow							3						
3	2	5	5	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	17									3						
3	2	6	6	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	18															
4	3	7	7	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	19									4						
4	3	31/4	31/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	20									4						
4	3	8	8	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	21									4						
4	3	17/2	17/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	22									4						
4	3	9	9	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	23									4						
4	3	8	8	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	24															
4	3	7	7	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	25		articAccentBelow							5						
4	3	8	8	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	26															
4	3	9	9	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	27									6						
5	4	10	10	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	28		articAccentBelow													
5	4	10	10	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	29															
5	4	10	10	0.75		0	0	Chord	3/4	2	2	3/16		1/8	3/2	30									6						
5	4	43/4	43/4	0.25		3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	31									6						
5	4	11	11	0.5		1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	32									6						
5	4	23/2	23/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	33									6						
5	4	12	12	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	34															
6	5	13	13	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	35									7						
6	5	55/4	55/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	36									7						
6	5	14	14	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	37									7						
6	5	29/2	29/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	38									7						
6	5	15	15	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	39									7						
6	5	14	14	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	40															
6	5	13	13	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	41		articAccentBelow							8						
6	5	14	14	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	42									8						
6	5	15	15	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	43															
7	6	16	16	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	44									7						
7	6	67/4	67/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	45									7						
7	6	17	17	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	46									7						
7	6	35/2	35/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	47									7						
7	6	18	18	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	48									7						
7	6	17	17	2.0		1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	49															
7	6	17	17	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	50															
7	6	16	16	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	51		articAccentBelow							9						
7	6	17	17	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	52									9						
7	6	18	18	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	53									9						
8	7	19	19	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	54									7						
8	7	20	20	0.75		1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	55		articAccentAbove							7						
8	7	83/4	83/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	56									7						
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	57									7						
8	7	20	20	2.0		1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	58		articAccentBelow													
8	7	19	19	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	59															
8	7	20	20	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	60									10						
8	7	19	19	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	61															
8	7	20	20	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	62															
8	7	21	21	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	63															
9	8	22	22	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	64		articAccentAbove							7						
9	8	45/2	45/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	65									7						
9	8	23	23	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	66									7						
9	8	24	24	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	67															
9	8	22	22	3.0		0	0	Chord	3/4	1	2	3/4		1/2	3/2	68		articAccentBelow													
9	8	22	22	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	69									10						
9	8	24	24	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70															
9	8	23	23	2.0		1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	71															
10	9	25	25	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	72									11						
10	9	103/4	103/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	73									11						
10	9	26	26	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	74									11						
10	9	53/2	53/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	75									11						
10	9	27	27	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	76		articAccentAbove													
10	9	26	26	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	77															
10	9	25	25	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	78		articAccentBelow							12						
10	9	26	26	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	79									12						
10	9	27	27	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	80															
11	10	28	28	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	81									13						
11	10	115/4	115/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	82									13						
11	10	29	29	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	83									13						
11	10	59/2	59/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	84									13						
11	10	30	30	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	85		articAccentAbove													
11	10	29	29	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	86															
11	10	28	28	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	87		articAccentBelow							14						
11	10	29	29	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	88									14						
11	10	30	30	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	89															
12	11	31	31	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	90															
12	11	127/4	127/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	91															
12	11	32	32	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	92									15						
12	11	97/3	97/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	93									15						
12	11	98/3	98/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	94															
12	11	33	33	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	95									16						
12	11	100/3	100/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	96															
12	11	203/6	203/6	0.16666666666666666		17/24	17/24	Chord	3/4	1	1	1/24		1/16	2/3	97															
12	11	32	32	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	98															
12	11	31	31	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	99		articAccentBelow							17						
12	11	32	32	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	100															
12	11	33	33	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	101									18						
13	12	34	34	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	102															
13	12	34	34	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	103									19						
13	12	34	34	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	104															
13	12	34	34	0.75		0	0	Chord	3/4	2	2	3/16		1/8	3/2	105									18						
13	12	139/4	139/4	0.25		3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	106									18						
13	12	35	35	0.5		1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	107									18						
13	12	71/2	71/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	108									18						
13	12	36	36	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	109															
14	13	37	37	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	110															
14	13	151/4	151/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	111		articStaccatoAbove													
14	13	38	38	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	112									20						
14	13	77/2	77/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	113									20						
14	13	39	39	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	114		articAccentAbove													
14	13	38	38	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	115															
14	13	37	37	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	116									21						
14	13	38	38	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	117									21						
14	13	39	39	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	118															
15	14	40	40	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	119															
15	14	81/2	81/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	120									22						
15	14	325/8	325/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	121									22						
15	14	163/4	163/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	122									22						
15	14	327/8	327/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	123									22						
15	14	41	41	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	124															
15	14	167/4	167/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	125									23						
15	14	42	42	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	126		articAccentAbove							24						
15	14	40	40	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	127									25						
15	14	41	41	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	128															
15	14	42	42	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	129									26						
16	15	43	43	0.0		0	0	Spanner	3/4	1	1	0													24		0				
16	15	45	45	0.0		1/2	1/2	Spanner	3/4	1	1	0													24						
16	15	45	45	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	130									24						
16	15	183/4	183/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	131									24						
16	15	43	43	0.75		0	0	Chord	3/4	1	2	3/16		1/8	3/2	132															
16	15	175/4	175/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	133															
16	15	44	44	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	134															
16	15	45	45	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	135															
16	15	43	43	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	136									26						
16	15	44	44	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	137															
16	15	45	45	0.75		1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	138									27						
16	15	183/4	183/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	139									27						
16	15	45	45	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	140															
17	16	46	46	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	141									24						
17	16	187/4	187/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	142									24						
17	16	47	47	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	143															
17	16	46	46	2.0		0	0	Chord	3/4	1	2	1/2		1/2	1	144															
17	16	46	46	0.75		0	0	Chord	3/4	2	1	3/16		1/8	3/2	145									27						
17	16	187/4	187/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	146									27						
17	16	47	47	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	147															
17	16	46	46	2.0		0	0	Chord	3/4	2	2	1/2		1/2	1	148															
18	16	48	48	0.0		0	1/2	Dynamic	3/4	1	1	0					mf														
18	16	48	48	1.0		0	1/2	Chord	3/4	1	1	1/4		1/4	1	149									28						
19	17	49	49	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	150		articStaccatoAbove													
19	17	50	50	0.75		1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	151									29						
19	17	203/4	203/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	152									29						
19	17	51	51	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	153		articAccentAbove													
19	17	50	50	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	154		articStaccatoAbove													
19	17	51	51	0.0		1/2	1/2	Spanner	3/4	2	1	0																		0	0
19	17	51	51	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155		articStaccatoAbove												0	0
20	18	52	52	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	156									30						
20	18	211/4	211/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	157									30						
20	18	53	53	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	158									30						
20	18	107/2	107/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	159															
20	18	54	54	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	160		articAccentAbove													
20	18	53	53	0.0		1/4	1/4	Spanner	3/4	2	1	0																			
20	18	53	53	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161		articStaccatoAbove													
20	18	54	54	0.0		1/2	1/2	Spanner	3/4	2	1	0																		1	1
20	18	54	54	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162		articStaccatoAbove												1	1
21	19	55	55	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	163									31						
21	19	55	55	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	164									31						
21	19	55	55	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	165									31						
21	19	56	56	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	166									31						
21	19	113/2	113/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	167									31						
21	19	57	57	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	168		articAccentAbove													
21	19	56	56	0.0		1/4	1/4	Spanner	3/4	2	1	0																			
21	19	56	56	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	169		articStaccatoAbove													
21	19	57	57	0.0		1/2	1/2	Spanner	3/4	2	1	0																		2	2
21	19	57	57	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	170		articStaccatoAbove												2	2
22	20	58	58	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	171															
22	20	60	60	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	172		articAccentAbove													
22	20	58	58	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	173									32						
22	20	117/2	117/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	174									32						
22	20	59	59	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	175									32						
22	20	119/2	119/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	176															
22	20	60	60	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	177															
22	20	59	59	0.0		1/4	1/4	Spanner	3/4	2	1	0																			
22	20	59	59	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178		articStaccatoAbove													
22	20	60	60	0.0		1/2	1/2	Spanner	3/4	2	1	0																		3	3
22	20	60	60	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179		articStaccatoAbove												3	3
23	21	61	61	0.0		0	0	StaffText	3/4	1	1	0							stretto												
23	21	61	61	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	180															
23	21	63	63	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	181		articAccentAbove													
23	21	61	61	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	182									33						
23	21	123/2	123/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	183									33						
23	21	62	62	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	184									33						
23	21	125/2	125/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	185															
23	21	63	63	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	186															
23	21	62	62	0.0		1/4	1/4	Spanner	3/4	2	1	0																			
23	21	62	62	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187		articStaccatoAbove							34						
23	21	63	63	0.0		1/2	1/2	Spanner	3/4	2	1	0																		4	4
23	21	63	63	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	188		articStaccatoAbove												4	4
24	22	64	64	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	189															
24	22	66	66	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	190		articAccentAbove													
24	22	64	64	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	191									35						
24	22	129/2	129/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	192									35						
24	22	65	65	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	193									35						
24	22	131/2	131/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	194															
24	22	66	66	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	195															
24	22	65	65	0.0		1/4	1/4	Spanner	3/4	2	1	0																			
24	22	65	65	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	196		articStaccatoAbove													
24	22	66	66	0.0		1/2	1/2	Spanner	3/4	2	1	0																		5	5
24	22	66	66	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	197		articStaccatoAbove												5	5
25	23	67	67	0.0		0	0	StaffText	3/4	1	1	0							legato												
25	23	67	67	0.0		0	0	StaffText	3/4	1	1	0							riten.												
25	23	67	67	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	198									36						
25	23	69	69	0.0		1/2	1/2	Spanner	3/4	1	1	0													36				0		
25	23	69	69	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	199									36				0		
25	23	68	68	0.0		1/4	1/4	Spanner	3/4	2	1	0																			
25	23	68	68	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200															
25	23	69	69	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	201															
26	24	70	70	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	202									36				0		
26	24	71	71	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	203									36				0		
26	24	72	72	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	204													0		
26	24	70	70	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	205															
26	24	71	71	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	206															
26	24	72	72	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	207															
27	25	73	73	0.0		0	0	StaffText	3/4	1	1	0							a tempo												
27	25	73	73	0.0		0	0	Spanner	3/4	1	1	0																			
27	25	73	73	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	208		articAccentAbove							37						
27	25	295/4	295/4	0.0		3/16	3/16	Dynamic	3/4	1	1	0					p								37						
27	25	295/4	295/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	209									37						
27	25	74	74	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	210									37						
27	25	149/2	149/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	211									37						
27	25	75	75	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	212		articAccentAbove							37, 38						
27	25	74	74	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	213															
27	25	73	73	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	214									39						
27	25	74	74	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	215									39						
27	25	75	75	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	216															
28	26	76	76	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	217									37						
28	26	307/4	307/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	218									37						
28	26	77	77	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	219															
28	26	311/4	311/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	220									40						
28	26	78	78	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	221															
28	26	77	77	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	222															
28	26	76	76	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	223		articAccentBelow							41						
28	26	77	77	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	224									41						
28	26	78	78	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	225															
29	27	79	79	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	226									42						
29	27	319/4	319/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	227									42						
29	27	80	80	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	228									42						
29	27	161/2	161/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	229									42						
29	27	81	81	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	230									42						
29	27	244/3	244/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	231									42						
29	27	491/6	491/6	0.16666666666666666		17/24	17/24	Chord	3/4	1	1	1/24		1/16	2/3	232															
29	27	80	80	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	233															
29	27	79	79	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	234		articAccentBelow							43						
29	27	80	80	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	235															
29	27	81	81	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	236									44						
30	28	82	82	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	237									45						
30	28	82	82	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	238		articAccentBelow							45						
30	28	82	82	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	239															
30	28	82	82	0.75		0	0	Chord	3/4	2	2	3/16		1/8	3/2	240									44						
30	28	331/4	331/4	0.25		3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	241									44, 46						
30	28	83	83	0.5		1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	242									44, 46						
30	28	167/2	167/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	243									44, 46						
30	28	84	84	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	244															
31	29	85	85	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	245		articStaccatissimoAbove													
31	29	343/4	343/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	246									47						
31	29	86	86	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	247									47						
31	29	173/2	173/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	248															
31	29	87	87	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	249		articAccentAbove							48						
31	29	86	86	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	250															
31	29	85	85	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	251		articAccentBelow							49						
31	29	86	86	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	252									49						
31	29	87	87	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	253															
32	30	89	89	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	254		articAccentAbove							48						
32	30	88	88	0.75		0	0	Chord	3/4	1	2	3/16		1/8	3/2	255															
32	30	355/4	355/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	256															
32	30	89	89	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	257		articAccentBelow													
32	30	179/2	179/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	258															
32	30	90	90	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	259															
