mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
5	4	21/2	21/2	1.5		1/8	1/8	Chord	3/4	1	1	3/8		1/4	3/2	21													
5	4	10	10	3.0		0	0	Chord	3/4	1	2	3/4		1/2	3/2	22									3				
5	4	10	10	0.0		0	0	Spanner	3/4	2	1	0																2	2
5	4	11	11	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	23		articStaccatoAbove							4			2	2
5	4	12	12	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	24		articStaccatoAbove										2	2
6	5	13	13	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	25													
6	5	55/4	55/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	26									5				
6	5	14	14	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	27		articStaccatoBelow							5				
6	5	15	15	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	28		articStaccatoBelow							5				
6	5	13	13	0.0		0	0	Spanner	3/4	2	1	0																	
6	5	13	13	0.0		0	0	Spanner	3/4	2	1	0																3	3
6	5	13	13	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	29												3	3
6	5	14	14	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30												3	3
6	5	15	15	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31												3	3
7	6	16	16	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	32		articAccentBelow											
7	6	18	18	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	33									6				
7	6	75/4	75/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	34									6				
7	6	16	16	0.0		0	0	Spanner	3/4	2	1	0																	
7	6	16	16	0.0		0	0	Spanner	3/4	2	1	0																4	4
7	6	16	16	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	35												4	4
7	6	17	17	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36												4	4
7	6	18	18	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37												4	4
8	7	19	19	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	38									6				
8	7	79/4	79/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	39									6				
8	7	20	20	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	40		articStaccatoBelow							6				
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	41		articStaccatoBelow							6				
8	7	19	19	0.0		0	0	Spanner	3/4	2	1	0																	
8	7	20	20	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42									7				
8	7	21	21	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43													
9	8	22	22	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	44													
9	8	22	22	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	45		articAccentBelow											
9	8	24	24	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	46		articAccentBelow							8				
9	8	23	23	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	47		articStaccatoAbove							9				
9	8	24	24	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	48		articAccentAbove											
10	9	25	25	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	49									8				
10	9	51/2	51/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	50									8				
10	9	26	26	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	51													
10	9	27	27	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	52									10				
10	9	111/4	111/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	53									10				
10	9	27	27	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	54													
10	9	25	25	0.0		0	0	Spanner	3/4	2	1	0																5	5
10	9	25	25	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	55												5	5
10	9	26	26	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56												5	5
10	9	27	27	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57												5	5
11	10	28	28	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	58									10				
11	10	30	30	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	59									10				
11	10	61/2	61/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	60									10				
11	10	28	28	2.0		0	0	Chord	3/4	1	2	1/2		1/2	1	61		articAccentBelow											
11	10	28	28	0.0		0	0	Spanner	3/4	2	1	0																	
11	10	28	28	0.0		0	0	Spanner	3/4	2	1	0																6	6
11	10	28	28	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	62		articStaccatoBelow										6	6
11	10	29	29	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	63												6	6
11	10	30	30	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	64												6	6
12	11	31	31	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	65													
12	11	127/4	127/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	66									11				
12	11	32	32	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	67									11				
12	11	33	33	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	68		articAccentAbove							11				
12	11	31	31	0.0		0	0	Spanner	3/4	2	1	0																	
12	11	32	32	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	69		articStaccatoBelow							12				
12	11	33	33	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70		articStaccatoBelow											
13	12	34	34	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	71									11, 13				
13	12	69/2	69/2	1.5		1/8	1/8	Chord	3/4	1	1	3/8		1/4	3/2	72													
13	12	34	34	3.0		0	0	Chord	3/4	1	2	3/4		1/2	3/2	73									14				
13	12	35	35	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74		articStaccatoAbove							15				
13	12	36	36	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75		articStaccatoAbove											
14	13	37	37	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	76													
14	13	151/4	151/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	77									16				
14	13	38	38	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	78									16				
14	13	39	39	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	79									16				
14	13	37	37	0.0		0	0	Spanner	3/4	2	1	0																7	7
14	13	37	37	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	80												7	7
14	13	38	38	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81												7	7
14	13	39	39	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	82												7	7
15	14	40	40	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	83		articAccentBelow											
15	14	42	42	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	84									17				
15	14	171/4	171/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	85									17				
15	14	40	40	0.0		0	0	Spanner	3/4	2	1	0																	
15	14	40	40	0.0		0	0	Spanner	3/4	2	1	0																8	8
15	14	40	40	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	86												8	8
15	14	41	41	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	87												8	8
15	14	42	42	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	88												8	8
16	15	43	43	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	89													
16	15	87/2	87/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	90									18				
16	15	44	44	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	91		articStaccatoBelow							18				
16	15	45	45	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	92		articStaccatoBelow							18				
16	15	43	43	0.0		0	0	Spanner	3/4	2	1	0																	
16	15	44	44	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	93									19				
16	15	45	45	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	94													
17	16	46	46	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	95													
17	16	46	46	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	96		articAccentBelow							20				
17	16	47	47	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	97		articStaccatoAbove							21				
17	16	48	48	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98		articStaccatoAbove											
18	17	49	49	0.0		0	0	Dynamic	3/4	1	1	0					fz												
18	17	49	49	0.0		0	0	StaffText	3/4	1	1	0							"dolce
"										
18	17	49	49	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	99		articStaccatoBelow											
18	17	50	50	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	100		articAccentBelow							22				
18	17	151/3	151/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	101									22				
18	17	152/3	152/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	102									22				
18	17	51	51	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	103		articStaccatoBelow											
18	17	49	49	0.0		0	0	Spanner	3/4	2	1	0																9	9
18	17	49	49	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	104												9	9
18	17	50	50	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	105									23			9	9
18	17	51	51	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106									23			9	9
19	18	52	52	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	107		articAccentBelow							24				
19	18	157/3	157/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	108									24				
19	18	158/3	158/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	109									24				
19	18	53	53	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	110		articStaccatoBelow											
19	18	54	54	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	111		articAccentAbove							25				
19	18	52	52	0.0		0	0	Spanner	3/4	2	1	0													23				
19	18	52	52	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	112									23				
19	18	53	53	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	113													
20	19	55	55	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	114									25				
20	19	166/3	166/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	115									25				
20	19	167/3	167/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	116									25				
20	19	56	56	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	117		articAccentAbove							25				
20	19	115/2	115/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	118													
20	19	55	55	0.0		0	0	Spanner	3/4	2	1	0																10	10
20	19	55	55	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	119												10	10
20	19	56	56	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	120												10	10
20	19	57	57	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	121												10	10
21	20	58	58	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	122									26				
21	20	175/3	175/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	123									26				
21	20	176/3	176/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	124									26				
21	20	59	59	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	125		articAccentAbove							26				
21	20	58	58	0.0		0	0	Spanner	3/4	2	1	0																	
21	20	58	58	0.0		0	0	Spanner	3/4	2	1	0																11	11
21	20	58	58	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	126		articStaccatoBelow										11	11
21	20	59	59	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	127												11	11
22	21	61	61	0.0		0	0	Dynamic	3/4	1	1	0					fz												
22	21	61	61	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	128		articStaccatoBelow											
22	21	62	62	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	129		articAccentBelow							27				
22	21	187/3	187/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	130									27				
22	21	188/3	188/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	131									27				
22	21	63	63	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	132		articStaccatoBelow											
22	21	61	61	0.0		0	0	Spanner	3/4	2	1	0																	
22	21	61	61	0.0		0	0	Spanner	3/4	2	1	0																12	12
22	21	61	61	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	133												12	12
22	21	62	62	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	134									28			12	12
22	21	63	63	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	135									28			12	12
23	22	64	64	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	136		articAccentBelow							29				
23	22	193/3	193/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	137									29				
23	22	194/3	194/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	138									29				
23	22	65	65	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	139		articStaccatoBelow											
23	22	66	66	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	140		articAccentAbove							30				
23	22	64	64	0.0		0	0	Spanner	3/4	2	1	0													28				
23	22	64	64	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	141									28				
23	22	65	65	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	142													
23	22	66	66	0.0		1/2	1/2	Spanner	3/4	2	1	0															0		
23	22	66	66	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	143									31		0		
24	23	67	67	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	144									30				
24	23	202/3	202/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	145									30				
24	23	203/3	203/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	146									30				
24	23	68	68	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	147									30				
24	23	139/2	139/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	148													
24	23	67	67	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	149									31		0		
24	23	68	68	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150									31		0		
24	23	69	69	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151											0		
25	24	70	70	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	152									32				
25	24	211/3	211/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	153									32				
25	24	212/3	212/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	154									32				
25	24	71	71	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	155									32				
25	24	72	72	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	156		articAccentBelow							32				
25	24	145/2	145/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	157									32				
25	24	70	70	0.0		0	0	Spanner	3/4	2	1	0																	
25	24	70	70	0.0		0	0	Spanner	3/4	2	1	0																13	13
25	24	70	70	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	158		articStaccatoBelow										13	13
25	24	71	71	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	159												13	13
25	24	72	72	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	160												13	13
26	25	73	73	0.0		0	0	Dynamic	3/4	1	1	0					fz												
26	25	73	73	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	161		articStaccatoBelow											
26	25	74	74	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	162		articAccentBelow							33				
26	25	223/3	223/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	163									33				
26	25	224/3	224/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	164									33				
26	25	75	75	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	165		articStaccatoBelow											
26	25	73	73	0.0		0	0	Spanner	3/4	2	1	0																	
26	25	73	73	0.0		0	0	Spanner	3/4	2	1	0																14	14
26	25	73	73	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	166												14	14
26	25	74	74	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	167									34			14	14
26	25	75	75	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	168									34			14	14
27	26	76	76	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	169		articAccentBelow							35				
27	26	229/3	229/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	170									35				
27	26	230/3	230/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	171									35				
27	26	77	77	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	172		articStaccatoBelow											
27	26	78	78	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	173		articAccentAbove							36				
27	26	76	76	0.0		0	0	Spanner	3/4	2	1	0													34				
27	26	76	76	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	174									34				
27	26	77	77	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	175									34				
27	26	78	78	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	176													
28	27	79	79	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	177									36				
28	27	238/3	238/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	178									36				
28	27	239/3	239/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	179									36				
28	27	80	80	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	180		articAccentAbove							36				
28	27	163/2	163/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	181													
28	27	79	79	0.0		0	0	Spanner	3/4	2	1	0																15	15
28	27	79	79	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	182												15	15
28	27	80	80	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	183												15	15
28	27	81	81	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	184												15	15
29	28	82	82	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	185									37				
29	28	247/3	247/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	186									37				
29	28	248/3	248/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	187									37				
29	28	83	83	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	188		articAccentAbove							37				
29	28	82	82	0.0		0	0	Spanner	3/4	2	1	0																	
29	28	82	82	0.0		0	0	Spanner	3/4	2	1	0																16	16
29	28	82	82	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	189		articStaccatoBelow										16	16
29	28	83	83	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190												16	16
30	29	85	85	0.0		0	0	Dynamic	3/4	1	1	0					fz												
30	29	85	85	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	191		articStaccatoBelow											
30	29	86	86	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	192		articAccentBelow							38				
30	29	259/3	259/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	193									38				
30	29	260/3	260/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	194									38				
30	29	87	87	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	195		articStaccatoBelow											
30	29	85	85	0.0		0	0	Spanner	3/4	2	1	0																	
30	29	85	85	0.0		0	0	Spanner	3/4	2	1	0																17	17
30	29	85	85	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	196		articStaccatoBelow										17	17
30	29	86	86	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	197									39			17	17
30	29	87	87	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	198									39			17	17
31	30	88	88	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	199		articAccentBelow							40				
31	30	265/3	265/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	200									40				
31	30	266/3	266/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	201									40				
31	30	89	89	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	202		articStaccatoBelow											
31	30	90	90	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	203		articAccentAbove							41				
31	30	88	88	0.0		0	0	Spanner	3/4	2	1	0													39				
31	30	88	88	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	204									39				
31	30	89	89	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	205									39				
31	30	90	90	0.0		1/2	1/2	Spanner	3/4	2	1	0													39		1		
31	30	90	90	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	206									39		1		
32	31	91	91	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	207									41				
32	31	274/3	274/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	208									41				
32	31	275/3	275/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	209									41				
32	31	92	92	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	210		articAccentAbove							41				
32	31	187/2	187/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	211													
32	31	91	91	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	212									39		1		
32	31	92	92	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	213									39		1		
32	31	93	93	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	214											1		
33	32		94	0.3333333333333333	1	0	0	Chord	3/4	1	1	1/12		1/8	2/3	215									42				
33	32		283/3	0.3333333333333333	1	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	216									42				
33	32		284/3	0.3333333333333333	1	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	217													
33	32		95	1.5	1	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	218		articAccentAbove							43				
33	32		193/2	0.5	1	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	219													
33	32		94	0.0	1	0	0	Spanner	3/4	2	1	0																	
33	32		94	0.0	1	0	0	Spanner	3/4	2	1	0																18	18
33	32		94	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	220												18	18
33	32		95	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	221												18	18
33	32		96	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	222												18	18
34	32	94	97	0.3333333333333333	2	0	0	Chord	3/4	1	1	1/12		1/8	2/3	223									44				
34	32	283/3	292/3	0.3333333333333333	2	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	224									44				
34	32	284/3	293/3	0.3333333333333333	2	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	225									44				
34	32	95	98	1.5	2	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	226													
34	32	193/2	199/2	0.5	2	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	227									45				
34	32	94	97	0.0	2	0	0	Spanner	3/4	2	1	0																19	19
34	32	94	97	0.0	2	0	0	Spanner	3/4	2	1	0																19	19
