mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin
6	5	14	14	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	28									6		0	
6	5	15	15	0.0		1/2	1/2	Spanner	3/4	1	1	0													6			
6	5	15	15	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	29									6			
6	5	14	14	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30									7			
6	5	15	15	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31												
7	6	16	16	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	32		articStaccatoAbove										
7	6	17	17	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	33		articAccentAbove										
7	6	17	17	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	34									8			
7	6	18	18	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	35												
8	7	19	19	0.0		0	0	Dynamic	3/4	1	1	0					f											
8	7	19	19	0.0		0	0	StaffText	3/4	1	1	0							stretto									
8	7	19	19	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	36									9			
8	7	39/2	39/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	37									9			
8	7	20	20	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	38									9			
8	7	41/2	41/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	39									9			
8	7	21	21	0.0		1/2	1/2	Spanner	3/4	1	1	0													9	1		
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	40									9	1		
8	7	20	20	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	41												
8	7	21	21	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	42												
9	8	22	22	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	43										1		
9	8	24	24	0.0		1/2	1/2	Dynamic	3/4	1	1	0					p											
9	8	24	24	0.0		1/2	1/2	Spanner	3/4	1	1	0																
9	8	24	24	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	44									10			
9	8	22	22	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	45												
9	8	23	23	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46												
10	9	25	25	0.0		0	0	Spanner	3/4	1	1	0													10	2		
10	9	25	25	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	47									10	2		
10	9	103/4	103/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	48									10	2		
10	9	26	26	0.0		1/4	1/4	Spanner	3/4	1	1	0													10			
10	9	26	26	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	49									10			
10	9	27	27	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	50									10			
10	9	26	26	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	51		articStaccatoAbove							11			
10	9	27	27	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	52		articStaccatoAbove										
11	10	28	28	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	53		articAccentAbove							10			
11	10	30	30	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	54												
11	10	29	29	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	55		articStaccatoAbove							12			
11	10	30	30	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	56		articStaccatoAbove										
12	11	31	31	0.0		0	0	Spanner	3/4	1	1	0														3		
12	11	31	31	0.16666666666666666		0	0	Chord	3/4	1	1	1/24		1/16	2/3	57									13	3		
12	11	187/6	187/6	0.16666666666666666		1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	58									13	3		
12	11	94/3	94/3	0.16666666666666666		1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	59									13	3		
12	11	63/2	63/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	60									13	3		
12	11	32	32	0.0		1/4	1/4	Spanner	3/4	1	1	0													13			
12	11	32	32	0.0		1/4	1/4	Spanner	3/4	1	1	0													13		1	
12	11	32	32	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	61									13		1	
12	11	65/2	65/2	0.0		3/8	3/8	Spanner	3/4	1	1	0													13			
12	11	65/2	65/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	62									13			
12	11	33	33	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	63									13			
12	11	67/2	67/2	0.0		5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	64									13			
12	11	67/2	67/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	65									13			
12	11	32	32	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	66		articStaccatoAbove							14			
12	11	33	33	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67		articStaccatoAbove										
13	12	34	34	0.0		0	0	Spanner	3/4	1	1	0													13			3
13	12	34	34	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	68		articAccentAbove							13			3
13	12	36	36	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	69												3
13	12	35	35	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	70		articStaccatoAbove							15			
13	12	36	36	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	71		articStaccatoAbove										
14	13	37	37	0.0		0	0	StaffText	3/4	1	1	0							poco rall.									
14	13	37	37	0.0		0	0	Spanner	3/4	1	1	0																
14	13	37	37	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	72									16			
14	13	112/3	112/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	73									16			
14	13	113/3	113/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	74									16			
14	13	38	38	0.0		1/4	1/4	Spanner	3/4	1	1	0													16	4		
14	13	38	38	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	75									16	4		
14	13	39	39	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	76									16	4		
14	13	38	38	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	77									17			
14	13	39	39	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78												
15	14	40	40	0.0		0	0	Spanner	3/4	1	1	0													16			
15	14	40	40	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	79									16			
15	14	41	41	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	80												
15	14	40	40	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	81												
15	14	40	40	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	82									18			
15	14	41	41	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	83												
16	15	43	43	0.0		0	0	StaffText	3/4	1	1	0							a tempo									
16	15	43	43	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	84		articAccentBelow										
16	15	175/4	175/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	85												
16	15	44	44	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	86									19			
16	15	45	45	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	87									19			
16	15	44	44	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	88												
16	15	45	45	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	89												
16	15	44	44	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90		articStaccatoAbove							20			
16	15	45	45	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91		articStaccatoAbove										
17	16	46	46	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	92												
17	16	46	46	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	93												
17	16	46	46	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	94												
17	16	47	47	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	95												
18	16	48	48	0.0		0	1/2	Dynamic	3/4	1	1	0					p											
18	16	48	48	1.0		0	1/2	Chord	3/4	1	1	1/4		1/4	1	96									21			
19	17	49	49	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	97									21			
19	17	99/2	99/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	98									21			
19	17	50	50	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	99												
19	17	51	51	0.0		1/2	1/2	Spanner	3/4	1	1	0														5		
19	17	51	51	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	100									22	5		
19	17	207/4	207/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	101									22	5		
19	17	50	50	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	102		articStaccatoAbove							23			
19	17	51	51	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	103		articStaccatoAbove										
20	18	52	52	0.0		0	0	Spanner	3/4	1	1	0													22			
20	18	52	52	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	104		articAccentAbove							22			
20	18	54	54	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	105												
20	18	53	53	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106		articStaccatoAbove							24			
20	18	54	54	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	107		articStaccatoAbove										
21	19	55	55	0.0		0	0	Spanner	3/4	1	1	0														6		
21	19	55	55	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	108									25	6		
21	19	111/2	111/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	109									25	6		
21	19	56	56	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	110										6		
21	19	57	57	0.0		1/2	1/2	Spanner	3/4	1	1	0																
21	19	57	57	0.0		1/2	1/2	Spanner	3/4	1	1	0															2	
21	19	57	57	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	111									26		2	
21	19	231/4	231/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	112									26		2	
21	19	56	56	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	113												
21	19	57	57	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	114												
22	20	58	58	0.0		0	0	Spanner	3/4	1	1	0													26			
22	20	58	58	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	115		articAccentAbove							26			
22	20	60	60	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	116												
22	20	59	59	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117		articStaccatoAbove							27			
22	20	60	60	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118		articStaccatoAbove										
23	21	61	61	0.0		0	0	Spanner	3/4	1	1	0																4
23	21	61	61	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	119									28			4
23	21	63	63	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	120									28			4
23	21	62	62	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	121												
23	21	63	63	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	122												
24	22	64	64	0.0		0	0	Spanner	3/4	1	1	0													28			
24	22	64	64	0.0		0	0	Spanner	3/4	1	1	0													28			5
24	22	64	64	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	123									28			5
24	22	66	66	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	124									28			5
24	22	65	65	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	125												
24	22	66	66	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	126												
25	23	67	67	0.0		0	0	Spanner	3/4	1	1	0													28			
25	23	67	67	0.0		0	0	Spanner	3/4	1	1	0													28			6
25	23	67	67	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	127									28			6
25	23	69	69	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	128									28			6
25	23	68	68	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	129												
25	23	69	69	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	130												
26	24	70	70	0.0		0	0	Spanner	3/4	1	1	0																
26	24	70	70	0.0		0	0	Spanner	3/4	1	1	0																7
26	24	70	70	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	131												7
26	24	143/2	143/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	132									29			7
26	24	72	72	0.0		1/2	1/2	Spanner	3/4	1	1	0													29			
26	24	72	72	0.0		1/2	1/2	Spanner	3/4	1	1	0													29	7		
26	24	72	72	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	133									29	7		
26	24	145/2	145/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	134									29	7		
26	24	71	71	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135												
26	24	72	72	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136									30			
27	25	73	73	0.0		0	0	Spanner	3/4	1	1	0													29			
27	25	73	73	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	137									29			
27	25	147/2	147/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	138									29			
27	25	74	74	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	139									29			
27	25	75	75	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	140												
27	25	73	73	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	141												
27	25	74	74	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	142		articStaccatoAbove							31			
27	25	75	75	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	143		articStaccatoAbove										
28	26	76	76	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	144		articAccentAbove							32			
28	26	78	78	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	145												
28	26	77	77	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	146		articStaccatoAbove							33			
28	26	78	78	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147		articStaccatoAbove										
29	27	79	79	0.0		0	0	Spanner	3/4	1	1	0														8		
29	27	79	79	0.16666666666666666		0	0	Chord	3/4	1	1	1/24		1/16	2/3	148									34	8		
29	27	475/6	475/6	0.16666666666666666		1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	149									34	8		
29	27	238/3	238/3	0.16666666666666666		1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	150									34	8		
29	27	159/2	159/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	151									34	8		
29	27	80	80	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	152									34	8		
29	27	161/2	161/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	153									34	8		
29	27	81	81	0.0		1/2	1/2	Spanner	3/4	1	1	0													34			
29	27	81	81	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	154									34			
29	27	163/2	163/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	155									34			
29	27	80	80	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	156		articStaccatoAbove							35			
29	27	81	81	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	157		articStaccatoAbove										
30	28	82	82	0.0		0	0	Spanner	3/4	1	1	0													34			8
30	28	82	82	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	158									34			8
30	28	84	84	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	159												8
30	28	83	83	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	160		articStaccatoAbove							36			
30	28	84	84	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	161		articStaccatoAbove										
31	29	85	85	0.0		0	0	StaffText	3/4	1	1	0							poco rall.									
31	29	85	85	0.0		0	0	Spanner	3/4	1	1	0																
31	29	85	85	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	162									37			
31	29	256/3	256/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	163									37			
31	29	257/3	257/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	164									37			
31	29	86	86	0.0		1/4	1/4	Spanner	3/4	1	1	0													37	9		
31	29	86	86	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	165									37	9		
31	29	87	87	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	166									37	9		
31	29	86	86	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	167												
31	29	87	87	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	168												
32	30	88	88	0.0		0	0	Spanner	3/4	1	1	0													37			
32	30	88	88	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	169									37			
32	30	89	89	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	170												
32	30	88	88	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	171												
32	30	88	88	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	172									38			
32	30	89	89	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	173												
33	31	91	91	0.0		0	0	StaffText	3/4	1	1	0							a tempo									
33	31	91	91	0.0		0	0	Spanner	3/4	1	1	0																9
33	31	91	91	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	174												9
33	31	367/4	367/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	175												9
33	31	92	92	0.0		1/4	1/4	Spanner	3/4	1	1	0																
33	31	92	92	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	176									39			
33	31	93	93	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	177									39			
33	31	92	92	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	178												
33	31	93	93	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	179												
33	31	92	92	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180												
33	31	93	93	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181												
34	32		94	2.0	1	0	0	Chord	3/4	1	1	1/2		1/2	1	182												
34	32		94	1.0	1	0	0	Chord	3/4	1	2	1/4		1/4	1	183												
34	32		94	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	184												
34	32		95	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	185												
35	32	94	96	3.0	2	0	0	Chord	3/4	1	1	3/4		1/2	3/2	186												
35	32	95	97	1.0	2	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	187		articStaccatoBelow							40			
35	32	96	98	1.0	2	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	188		articStaccatoBelow										
35	32	95	97	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	189												
35	32	96	98	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190												
36	33	97	99	0.0		0	0	StaffText	3/4	1	1	0							dolce									
36	33	97	99	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	191												
36	33	391/4	399/4	0.0		3/16	3/16	Spanner	3/4	1	1	0																10
36	33	391/4	399/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	192												10
36	33	98	100	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	193									41			10
36	33	99	101	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	194									41			10
36	33	97	99	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	195												10
36	33	98	100	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	196												10
36	33	99	101	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	197												10
36	33	97	99	0.0		0	0	StaffText	3/4	2	1	0							sempre legato									
36	33	97	99	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	198									42			
36	33	98	100	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	199												
36	33	99	101	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	200									43			
37	34	100	102	0.0		0	0	Spanner	3/4	1	1	0													41			
37	34	100	102	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	201									41			
37	34	403/4	411/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	202									41			
37	34	101	103	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	203												
37	34	205/2	209/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	204												
37	34	100	102	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	205												
37	34	100	102	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	206									43			
37	34	101	103	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	207												
37	34	102	104	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	208									44			
38	35	103	105	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	209									45			
38	35	415/4	423/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	210												
38	35	104	106	0.0		1/4	1/4	Spanner	3/4	1	1	0														10		
38	35	104	106	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	211										10		
38	35	105	107	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	212										10		
38	35	103	105	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	213										10		
38	35	104	106	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	214										10		
38	35	105	107	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	215										10		
38	35	103	105	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	216									44			
38	35	104	106	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	217												
38	35	105	107	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	218									46			
39	36	106	108	0.0		0	0	Spanner	3/4	1	1	0																
39	36	106	108	0.0		0	0	Spanner	3/4	1	1	0														11		
39	36	106	108	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	219									47	11		
39	36	319/3	325/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	220									47	11		
39	36	320/3	326/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	221										11		
39	36	107	109	0.0		1/4	1/4	Spanner	3/4	1	1	0																
39	36	107	109	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	222												
39	36	217/2	221/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	223												
39	36	106	108	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	224												
39	36	106	108	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	225									46			
39	36	107	109	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	226												
39	36	108	110	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	227									48			
40	37	109	111	0.0		0	0	StaffText	3/4	1	1	0							scherz.									
40	37	109	111	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	228		articStaccatoBelow							49			
