mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	56		articAccentAbove					5		
7	6	17	17	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	57									
7	6	16	16	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	58							4		
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	59							4		
7	6	17	17	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	60									
7	6	16	16	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	61									
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	62									
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	63							5		
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	64							5		
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	65		articAccentAbove					5		
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	66							5		
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	67							5		
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	68									
8	7	20	20	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	69									
8	7	19	19	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	70							6		
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	71							6		
8	7	19	19	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	72									
8	7	20	20	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	73									
8	7	19	19	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	74									
8	7	21	21	0.5	1/2	1/2	Chord	3/4	2	4	1/8		1/8	1	75									
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	2	4	1/8		1/8	1	76									
9	8	22	22	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	77							5		
9	8	45/2	45/2	1.5	1/8	1/8	Chord	3/4	1	1	3/8		1/4	3/2	78									
9	8	24	24	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz								
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	79		articAccentBelow							
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	80							6		
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81									
9	8	22	22	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	82									
9	8	22	22	0.5	0	0	Chord	3/4	2	3	1/8		1/8	1	83									
9	8	45/2	45/2	0.5	1/8	1/8	Chord	3/4	2	3	1/8		1/8	1	84									
10	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	85									
10	9	26	26	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	86							7		
10	9	79/3	79/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	87							7		
10	9	80/3	80/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	88									
10	9	27	27	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	89							8		
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	90							8		
10	9	25	25	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	91									
10	9	26	26	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	92									
10	9	25	25	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	93									
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	94									
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	95							8		
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	96							8		
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	97									
11	10	30	30	0.0	1/2	1/2	StaffText	3/4	1	1	0							♭						
11	10	30	30	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	98									
11	10	30	30	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	99									
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	100		ornamentTrill							
11	10	28	28	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	101									
11	10	29	29	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	102									
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	103									
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	104									
11	10	30	30	0.0	1/2	1/2	Spanner	3/4	2	1	0												1	1
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	105								1	1
11	10	28	28	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	106								1	1
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	107								1	1
12	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	108							9		
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	109							9		
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	110									
12	11	33	33	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	111									
12	11	33	33	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	112									
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	113		ornamentTrill							
12	11	31	31	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	114									
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0													
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	115									
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116									
12	11	33	33	0.0	1/2	1/2	Spanner	3/4	2	1	0												2	2
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	117								2	2
12	11	31	31	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	118								2	2
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	119								2	2
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	120							10		
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	121							10		
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	122									
13	12	36	36	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz								
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	123		articAccentBelow							
13	12	34	34	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	124									
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0													
13	12	34	34	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	125									
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	126									
13	12	34	34	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	127									
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	128									
14	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	129									
14	13	38	38	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	130							11		
14	13	115/3	115/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	131							11		
14	13	116/3	116/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	132							11		
14	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	133							11		
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	134							11		
14	13	37	37	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	135									
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	136									
14	13	38	38	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	137									
14	13	37	37	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	138							12		
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	139									
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	140									
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	141							13		
15	14	41	41	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	142							13		
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	143							13		
15	14	42	42	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	144							13		
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	145									
15	14	40	40	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	146									
15	14	41	41	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	147							14		
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0												3	3
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	148								3	3
15	14	41	41	0.0	1/4	1/4	Spanner	3/4	2	1	0													
15	14	41	41	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	149									
15	14	40	40	0.0	0	0	Chord	3/4	2	2	0	acciaccatura	1/8	1	150									
15	14	40	40	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	151									
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	152							15		
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	153							16		
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	154							16		
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	155							16		
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	156							16		
16	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	157							16		
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	158							16		
16	15	43	43	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	159									
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0												4	4
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	160								4	4
16	15	44	44	0.0	1/4	1/4	Spanner	3/4	2	1	0													
16	15	44	44	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	161									
16	15	43	43	0.0	0	0	Chord	3/4	2	2	0	acciaccatura	1/8	1	162									
16	15	43	43	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	163									
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	164							17		
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	165									
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	166									
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	167									
17	16	48	48	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz								
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	168									
17	16	46	46	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	169									
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	170		articAccentBelow							
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	171									
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	172									
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	173									
17	16	46	46	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	174									
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	175									
18	17	49	49	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	176							18		
18	17	99/2	99/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	177							18		
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	178		articAccentAbove					18		
18	17	51	51	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	179							18		
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	180							18		
18	17	49	49	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	181									
18	17	50	50	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	182									
18	17	49	49	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	183							19		
18	17	51	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	184							19		
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	185							19		
18	17	49	49	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	186									
18	17	50	50	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	187		articAccentBelow							
19	18	52	52	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	188							18		
19	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	189							18		
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	190									
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	191		articAccentAbove							
19	18	52	52	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	192							19		
19	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	193							19		
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	194									
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	195									
19	18	52	52	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	196									
20	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	197							20		
20	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	198							20		
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	199		articAccentAbove					20		
20	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	200							20		
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	201							20		
20	19	55	55	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	202									
20	19	56	56	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	203									
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	204									
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	205							21		
20	19	57	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	206							21		
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	207							21		
20	19	55	55	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	208									
21	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	209							20		
21	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	210							20		
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	211									
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	212		articAccentBelow							
21	20	58	58	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	213							21		
21	20	117/2	117/2	1.5	1/8	1/8	Chord	3/4	2	1	3/8		1/4	3/2	214							21		
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	215									
21	20	58	58	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	216									
22	21	61	61	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	217							22		
22	21	123/2	123/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	218							22		
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	219		articAccentAbove					22		
22	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	220							22		
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	221							22		
22	21	62	62	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	222									
22	21	61	61	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	223									
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	224							23		
22	21	63	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	225							23		
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	226							23		
22	21	61	61	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	227									
23	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	228							22		
23	22	129/2	129/2	1.5	1/8	1/8	Chord	3/4	1	1	3/8		1/4	3/2	229									
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	230		articAccentAbove							
23	22	65	65	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	231									
23	22	64	64	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	232							23		
23	22	129/2	129/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	233							23		
23	22	65	65	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	234									
23	22	64	64	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	235									
23	22	129/2	129/2	1.5	1/8	1/8	Chord	3/4	2	3	3/8		1/4	3/2	236									
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	237									
24	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	238									
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	239									
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	240		articAccentAbove							
24	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	241									
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	242									
24	23	67	67	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	243									
24	23	68	68	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	244									
24	23	67	67	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	245									
24	23	69	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	246							24		
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	247							24		
24	23	67	67	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	248									
24	23	68	68	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	249									
24	23	67	67	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	250									
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	251									
25	24	141/2	141/2	1.5	1/8	1/8	Chord	3/4	1	1	3/8		1/4	3/2	252									
25	24	72	72	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz								
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	253		articAccentBelow							
25	24	70	70	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	254									
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	255									
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	256									
25	24	70	70	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	257									
25	24	70	70	1.0	0	0	Chord	3/4	2	3	1/4		1/4	1	258									
