mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31													
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	32							3						
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	33							3						
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	34							3						
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	35							3						
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36													
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37													
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0											3					1	
8	8	21	21	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	38							3					1	
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	39							3					1	
8	8	22	22	0.0	1/4	1/4	StaffText	3/4	1	1	0							ten.				3					1	
8	8	22	22	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16after	1/16	1	40							3					1	
8	8	22	22	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16after	1/16	1	41							3					1	
8	8	22	22	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	42							3					1	
8	8	22	22	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	43							3					1	
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	44		ornamentTrill					3					1	
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0												2	2				
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	45								2	2				
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46								2	2				
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47								2	2				
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0											3						
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	48							3						
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	49							3						
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	50							3						
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	51							3						
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	52							3						
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																	
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0												3	3				
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	53								3	3				
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	54								3	3				
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	55								3	3				
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	56													
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	57							4						
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	58							4						
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																	
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0												4	4				
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	59								4	4				
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	60								4	4				
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	61								4	4				
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	62							4						
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	63							4						
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	64							4						
11	11	32	32	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	65							4						
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	66							4						
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																	
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0												5	5				
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	67								5	5				
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	68								5	5				
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	69								5	5				
12	12	33	33	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	70													
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	71													
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	72							5						
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	73													
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																	
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0												6	6				
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74								6	6				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75								6	6				
12	12	33	33	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	76							6	6	6				
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	77													
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	78							7						
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	79							7						
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	80							7						
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	81							7						
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																	
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0												7	7				
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	82								7	7				
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	83								7	7				
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	84								7	7				
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	85							7						
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	86							7						
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	87							8						
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																	
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0												8	8				
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	88								8	8				
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	89								8	8				
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	90								8	8				
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	91							9						
15	15	85/2	85/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	92							9						
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	93							9						
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	94							9						
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	95							9						
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	96							9						
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	97							9						
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0																	
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0												9	9				
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	98								9	9				
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99								9	9				
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	100								9	9				
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	101							9						
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	102							9						
16	16	46	46	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	103							9						
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	104													
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																	
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0												10	10				
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105								10	10				
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106								10	10				
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	107								10	10				
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	108							10						
17	17	97/2	97/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	109							10						
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	110							10						
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	111							10						
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	112							10						
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	113							10						
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	114							10						
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																	
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0												11	11				
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	115								11	11				
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116								11	11				
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	117								11	11				
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	118							10						
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	119							10						
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	120							10						
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	121							10						
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	122							10						
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	123							10						
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0																	
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0												12	12				
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	124								12	12				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	125								12	12				
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	126								12	12				
19	19	54	54	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	127							10						
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	128							10						
19	19	55	55	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	129							10						
19	19	223/4	223/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	130							10						
19	19	56	56	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	131							10						
19	19	227/4	227/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	132							10						
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																	
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0												13	13				
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	133								13	13				
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	134								13	13				
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	135								13	13				
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0																2	
20	20	57	57	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	136												2	
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	137							11					2	
20	20	58	58	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	138							11					2	
20	20	235/4	235/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	139							11					2	
20	20	59	59	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	140							11					2	
20	20	239/4	239/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	141							11					2	
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																	
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0												14	14				
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	142								14	14				
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	143								14	14				
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144								14	14				
21	21	60	60	0.0	0	0	Spanner	3/4	1	1	0											11						
21	21	60	60	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	145							11						
21	21	181/3	181/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	146							11						
21	21	182/3	182/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	147							11						
21	21	61	61	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	148							11						
21	21	247/4	247/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	149							11						
21	21	62	62	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	150							11						
21	21	251/4	251/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	151							11						
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																	
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0												15	15				
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	152								15	15				
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	153								15	15				
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	154								15	15				
22	22	63	63	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	155							11						
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	156							11						
22	22	64	64	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	157							11						
22	22	259/4	259/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	158							11						
22	22	65	65	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	159							11						
22	22	263/4	263/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	160							11						
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																	
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0												16	16				
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	161								16	16				
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	162							12	16	16				
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	163		articAccentBelow					12	16	16				
23	23	66	66	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	164							11						
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	165							11						
23	23	67	67	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	166							11						
23	23	271/4	271/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	167							11						
23	23	68	68	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	168							11						
23	23	275/4	275/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	169							11						
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0											12						
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	170							12						
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	171							12						
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	172		articAccentBelow					12						
24	24	69	69	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	173							11						
24	24	208/3	208/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	174							11						
24	24	209/3	209/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	175							11						
24	24	70	70	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	176							11						
24	24	283/4	283/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	177							11						
24	24	71	71	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	178							11						
24	24	287/4	287/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	179							11						
24	24	69	69	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	180							12						
24	24	69	69	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	181													
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	182													
25	25	72	72	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	183							11						
25	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	184							11						
25	25	73	73	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	185		ornamentShortTrill					11						
25	25	295/4	295/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	186							11						
25	25	74	74	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	187		ornamentShortTrill					11						
25	25	299/4	299/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	188							11						
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0															0		
25	25	72	72	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	189											0		
25	25	72	72	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	190							13				0		
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	191							13				0		
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	192							13				0		
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	193							13				0		
26	26	75	75	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	194							11						
26	26	303/4	303/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	195													
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	196		articAccentBelow											
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	197													
26	26	75	75	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	198							13				0		
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	199							13				0		
26	26	76	76	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	200											0		
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	201											0		
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	202							14						
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	203							14						
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	204							14						
27	27	80	80	0.0	1/2	1/2	Spanner	3/4	1	1	0											14					3	
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	205							14					3	
27	27	78	78	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	206												3	
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																	
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	207													
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	208													
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	209							14					3	
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	210							14					3	
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	211							14					3	
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	212							14					3	
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	213							14					3	
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	214							14					3	
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0												17	17				
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	215								17	17				
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	216								17	17				
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	217								17	17				
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0											14						
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	218							14						
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	219							14						
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	220							14						
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	221							14						
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	222							14						
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	223							14						
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																	
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0												18	18				
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	224								18	18				
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	225								18	18				
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	226								18	18				
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	227							14						
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	228							14						
30	30	88	88	0.0	1/4	1/4	Spanner	3/4	1	1	0															1		
30	30	88	88	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	229											1		
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																	
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	230													
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231													
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0																	
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0																4	
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	232							15					4	
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	233							15					4	
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	234							15					4	
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	235							15					4	
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	236													
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	237													
32	32	93	93	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	238							15					4	
32	32	375/4	375/4	0.0	3/16	3/16	Spanner	3/4	1	1	0											15						
32	32	375/4	375/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	239							15						
32	32	94	94	0.0	1/4	1/4	StaffText	3/4	1	1	0							ten.				15						
32	32	94	94	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16after	1/16	1	240							15						
