mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	54							
7	6	17	17	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	55							
7	6	16	16	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	56							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	57							
8	7	19	19	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	58				1			
8	7	79/4	79/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	59				1			
8	7	20	20	0.0	1/4	1/4	Spanner	3/4	1	1	0								1			0
8	7	20	20	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	60				1			0
8	7	43/2	43/2	0.0	5/8	5/8	Chord	3/4	1	1	0	grace16	1/16	1	61				1			0
8	7	43/2	43/2	0.0	5/8	5/8	Chord	3/4	1	1	0	grace16	1/16	1	62				1			0
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	63				1			0
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	64							0
8	7	20	20	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	65		articAccentBelow					0
8	7	20	20	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	66		articAccentAbove					
8	7	19	19	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	67							
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	68							
9	8	22	22	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	69				1			0
9	8	91/4	91/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	70				1			0
9	8	23	23	0.0	1/4	1/4	Spanner	3/4	1	1	0											
9	8	23	23	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	71		articAccentBelow					
9	8	22	22	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	72							
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	73							
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	74							
10	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	75				2			
10	9	26	26	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	76				2			
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	77				2			
10	9	26	26	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	78		articAccentBelow					
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	79							
10	9	26	26	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	80							
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	81							
11	10	28	28	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	82				2			
11	10	28	28	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	83				2			
11	10	28	28	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	84				2			
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	85				2			
11	10	29	29	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	86				2			
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	87				2			
11	10	28	28	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	88							
11	10	29	29	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	89							
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	90							
11	10	29	29	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	91							
11	10	28	28	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	92							
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	93							
12	11	31	31	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	94				2			
12	11	127/4	127/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	95				2			
12	11	32	32	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	96				2			
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	97				2			
12	11	31	31	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	98							
12	11	32	32	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	99		articAccentBelow					
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	100							
12	11	32	32	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	101							
12	11	31	31	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	102							
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	103							
13	12	34	34	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	104				2			
13	12	34	34	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	105				2			
13	12	34	34	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	106				2			
13	12	139/4	139/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	107				2			
13	12	35	35	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	108				2			
13	12	34	34	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	109							
13	12	35	35	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	110							
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	111							
13	12	35	35	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	112							
13	12	34	34	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	113							
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	114							
14	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	115				2			
14	13	38	38	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	116				2			
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	117				2			
14	13	38	38	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	118							
14	13	38	38	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	119							
14	13	37	37	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	120							
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	121							
15	14	40	40	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	122				2			
15	14	40	40	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	123				2			
15	14	40	40	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	124				2			
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	125				2			
15	14	41	41	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	126				2			
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	127				2			
15	14	40	40	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	128							
15	14	41	41	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	129							
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	130							
15	14	41	41	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	131		articAccentAbove					
15	14	40	40	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	132							
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	133							
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	134							
16	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	135				3			
16	15	44	44	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	136				3			
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	137				3			
16	15	43	43	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	138							
16	15	44	44	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	139		articAccentBelow					
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	140							
16	15	44	44	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	141							
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	142							
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	143							
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	144							
17	16	47	47	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	145							
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	146							
17	16	48	48	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f						
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	147		articAccentAbove					
17	16	46	46	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	148							
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	149							
17	16	46	46	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	150							
18	17	49	49	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	151							
18	17	99/2	99/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	152				4			
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	153				4			
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	154				4			
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0									0	0	
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	155					0	0	
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	156					0	0	
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	157					0	0	
19	18	52	52	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	158				4			
19	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	159				4			
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	160				4			
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	161				4			
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0											
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0									1	1	
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	162					1	1	
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	163					1	1	
19	18	54	54	0.0	1/2	1/2	Spanner	3/4	2	1	0											
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	164							
20	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	165				4			
20	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	166				4			
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	167				4			
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	168							
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0									2	2	
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169					2	2	
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	170					2	2	
20	19	57	57	0.0	1/2	1/2	Spanner	3/4	2	1	0											
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	171							
21	20	58	58	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	172		articAccentAbove		5			
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	173							
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	174				6			
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	175							
21	20	58	58	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	176							
22	21	61	61	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	177							
22	21	123/2	123/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	178				7			
22	21	62	62	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	179				7			
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	180				7			
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0									3	3	
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	181					3	3	
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	182					3	3	
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	183					3	3	
23	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	184				7			
23	22	129/2	129/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	185				7			
23	22	65	65	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	186				7			
23	22	65	65	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	187				7			
23	22	65	65	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	188				7			
23	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	189							
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0											
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0									4	4	
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190					4	4	
23	22	66	66	0.0	1/2	1/2	Spanner	3/4	2	1	0											
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191							
23	22	64	64	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	192							
24	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	193				8			
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	194				8			
24	23	68	68	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	195				8			
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	196				8			
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0									5	5	
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	197					5	5	
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	198					5	5	
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	199					5	5	
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	200				8			
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	201				8			
25	24	71	71	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	202				8			
25	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	203				8			
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	204							
25	24	70	70	0.0	0	0	Spanner	3/4	2	1	0											
25	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	205							
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	206							
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	207							
26	25	73	73	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	208				9			
26	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	209				9			
26	25	74	74	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	210				9			
26	25	75	75	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	211				9			
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0									6	6	
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	212					6	6	
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	213					6	6	
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	214					6	6	
27	26	76	76	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	215				9			
27	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	216				9			
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	217				9			
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	218				9			
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0											
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	219							
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	220							
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	221							
28	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	222				9			
28	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	223				9			
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	224				9			
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	225				9			
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0									7	7	
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	226					7	7	
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	227					7	7	
28	27	81	81	0.0	1/2	1/2	Spanner	3/4	2	1	0											
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	228							
29	28	82	82	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	229		articAccentBelow		9			
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	230							
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	231							
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	232							
29	28	82	82	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	233							
30	29	85	85	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	234				10			
30	29	171/2	171/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	235				10			
30	29	86	86	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	236				10			
30	29	86	86	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	237				10			
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	238				10			
30	29	85	85	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	239							
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0									8	8	
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	240					8	8	
30	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	241					8	8	
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	242					8	8	
31	30	88	88	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	243				10			
31	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	244				10			
31	30	89	89	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	245				10			
31	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	246				10			
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	247							
31	30	88	88	0.0	0	0	Spanner	3/4	2	1	0											
31	30	88	88	0.0	0	0	Spanner	3/4	2	1	0									9	9	
31	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	248					9	9	
31	30	90	90	0.0	1/2	1/2	Spanner	3/4	2	1	0											
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	249							
31	30	88	88	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	250							
32	31	91	91	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	251				11			
32	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	252				11			
32	31	92	92	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	253				11			
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	254				11			
32	31	91	91	0.0	0	0	Spanner	3/4	2	1	0									10	10	
32	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	255					10	10	
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	256					10	10	
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	257					10	10	
33	32	94	94	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	258				11			
33	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	259				11			
33	32	95	95	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	260				11			
33	32	95	95	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	261				11			
33	32	95	95	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	262				11			
33	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	263				11			
33	32	94	94	0.0	0	0	Spanner	3/4	2	1	0											
33	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	264							
33	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	265							
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	266							
34	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	267				11			
34	33	98	98	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	268				11			
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	269				11			
34	33	97	97	0.0	0	0	Chord	3/4	1	2	0	grace16	1/16	1	270							
34	33	97	97	0.0	0	0	Chord	3/4	1	2	0	grace16	1/16	1	271							
34	33	97	97	0.0	0	0	Chord	3/4	1	2	0	grace16	1/16	1	272							
34	33	97	97	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	273							
34	33	98	98	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	274							
