mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
7	7	18	18	0.0		0	0	Spanner	3/4	2	1	0																
7	7	18	18	0.0		0	0	Spanner	3/4	2	1	0															7	7
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	55											7	7
7	7	19	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56		articAccentAbove									7	7
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57											7	7
8	8	21	21	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	58								3				
8	8	43/2	43/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	59								3				
8	8	22	22	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	60								3				
8	8	22	22	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	61		articAccentAbove						3				
8	8	23	23	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	62												
8	8	21	21	0.0		0	0	Spanner	3/4	2	1	0																
8	8	21	21	0.0		0	0	Spanner	3/4	2	1	0															8	8
8	8	21	21	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	63											8	8
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	64											8	8
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	65											8	8
9	9	24	24	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	66								4				
9	9	24	24	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	67								4				
9	9	49/2	49/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	68								4				
9	9	25	25	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	69												
9	9	25	25	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	70		articAccentAbove										
9	9	26	26	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	71								5				
9	9	53/2	53/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	72								5				
9	9	24	24	0.0		0	0	Spanner	3/4	2	1	0																
9	9	24	24	0.0		0	0	Spanner	3/4	2	1	0															9	9
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	73											9	9
9	9	25	25	0.0		1/4	1/4	Spanner	3/4	2	1	0																
9	9	25	25	0.0		1/4	1/4	Spanner	3/4	2	1	0															10	10
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74											10	10
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75											10	10
10	10	27	27	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	76								5				
10	10	55/2	55/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	77								5				
10	10	28	28	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	78								5				
10	10	57/2	57/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	79								5				
10	10	29	29	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	80								5				
10	10	59/2	59/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	81												
10	10	27	27	0.0		0	0	Spanner	3/4	2	1	0																
10	10	27	27	0.0		0	0	Spanner	3/4	2	1	0															11	11
10	10	27	27	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	82											11	11
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	83											11	11
11	11	30	30	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	84								6				
11	11	123/4	123/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	85		ornamentTrill						6				
11	11	31	31	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	86								6				
11	11	63/2	63/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	87								6				
11	11	32	32	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	88								6				
11	11	65/2	65/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89								6				
11	11	30	30	0.0		0	0	Spanner	3/4	2	1	0																
11	11	30	30	0.0		0	0	Spanner	3/4	2	1	0															12	12
11	11	30	30	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	90											12	12
11	11	31	31	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91											12	12
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	92											12	12
12	12	33	33	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	93								6, 7				
12	12	100/3	100/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	94								6, 7				
12	12	101/3	101/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	95								6				
12	12	34	34	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	96												
12	12	35	35	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	97								8				
12	12	71/2	71/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	98								8				
12	12	33	33	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	99												
12	12	67/2	67/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	100												
12	12	33	33	0.0		0	0	Spanner	3/4	2	1	0																
12	12	33	33	0.0		0	0	Spanner	3/4	2	1	0															13	13
12	12	33	33	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	101											13	13
12	12	34	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	102											13	13
13	13	36	36	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	103												
13	13	73/2	73/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	104												
13	13	37	37	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	105												
13	13	37	37	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	106		articAccentAbove										
13	13	38	38	0.0		1/2	1/2	Spanner	3/4	1	1	0													2			
13	13	38	38	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	107								9	2			
13	13	77/2	77/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	108								9	2			
13	13	36	36	0.0		0	0	Spanner	3/4	2	1	0																
13	13	36	36	0.0		0	0	Spanner	3/4	2	1	0															14	14
13	13	36	36	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	109											14	14
13	13	37	37	0.0		1/4	1/4	Spanner	3/4	2	1	0																
13	13	37	37	0.0		1/4	1/4	Spanner	3/4	2	1	0															15	15
13	13	37	37	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	110											15	15
13	13	38	38	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111											15	15
14	14	39	39	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	112								9	2			
14	14	79/2	79/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	113								9	2			
14	14	40	40	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	114								9	2			
14	14	81/2	81/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	115								9	2			
14	14	41	41	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	116								9	2			
14	14	83/2	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	117									2			
14	14	39	39	0.0		0	0	Spanner	3/4	2	1	0																
14	14	39	39	0.0		0	0	Spanner	3/4	2	1	0															16	16
14	14	39	39	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	118											16	16
14	14	40	40	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119											16	16
15	15	42	42	0.0		0	0	Spanner	3/4	1	1	0																
15	15	42	42	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	120								10				
15	15	85/2	85/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	121								10				
15	15	43	43	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	122								10				
15	15	43	43	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	123		articAccentAbove						10				
15	15	44	44	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	124								10				
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	125												
15	15	42	42	0.0		0	0	Spanner	3/4	2	1	0																
15	15	42	42	0.0		0	0	Spanner	3/4	2	1	0															17	17
15	15	42	42	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	126											17	17
15	15	43	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	127		articAccentAbove									17	17
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	128											17	17
16	16	45	45	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	129								11				
16	16	91/2	91/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	130								11				
16	16	46	46	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	131								11				
16	16	46	46	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	132		articAccentAbove						11				
16	16	47	47	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	133												
16	16	45	45	0.0		0	0	Spanner	3/4	2	1	0																
16	16	45	45	0.0		0	0	Spanner	3/4	2	1	0															18	18
16	16	45	45	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	134											18	18
16	16	46	46	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	135								12			18	18
16	16	47	47	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	136											18	18
17	17	48	48	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	137								13				
17	17	48	48	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	138								13				
17	17	97/2	97/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	139								13				
17	17	49	49	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	140												
17	17	49	49	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	141		articAccentAbove										
17	17	50	50	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	142								14				
17	17	101/2	101/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	143								14				
17	17	48	48	0.0		0	0	Spanner	3/4	2	1	0															19	19
17	17	48	48	0.0		0	0	Spanner	3/4	2	1	0															19	19
17	17	48	48	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	144											19	19
17	17	49	49	0.0		1/4	1/4	Spanner	3/4	2	1	0																
17	17	49	49	0.0		1/4	1/4	Spanner	3/4	2	1	0															20	20
17	17	49	49	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	145											20	20
17	17	50	50	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	146											20	20
18	18	51	51	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	147								14				
18	18	103/2	103/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	148								14				
18	18	52	52	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	149								14				
18	18	105/2	105/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	150								14				
18	18	53	53	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	151								14				
18	18	107/2	107/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	152												
18	18	51	51	0.0		0	0	Spanner	3/4	2	1	0																
18	18	51	51	0.0		0	0	Spanner	3/4	2	1	0															21	21
18	18	51	51	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	153											21	21
18	18	52	52	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	154											21	21
19	19	54	54	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	155								15				
19	19	219/4	219/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	156								15				
19	19	55	55	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	157								15				
19	19	111/2	111/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	158								15				
19	19	56	56	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	159								15				
19	19	113/2	113/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	160												
19	19	54	54	0.0		0	0	Spanner	3/4	2	1	0																
19	19	54	54	0.0		0	0	Spanner	3/4	2	1	0															22	22
19	19	54	54	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	161											22	22
19	19	55	55	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	162											22	22
19	19	56	56	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	163											22	22
20	20	57	57	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	164								16				
20	20	172/3	172/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	165								16				
20	20	173/3	173/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	166								16				
20	20	58	58	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	167												
20	20	59	59	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	168								17				
20	20	119/2	119/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	169												
20	20	57	57	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	170												
20	20	115/2	115/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	171												
20	20	57	57	0.0		0	0	Spanner	3/4	2	1	0																
20	20	57	57	0.0		0	0	Spanner	3/4	2	1	0															23	23
20	20	57	57	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	172											23	23
20	20	58	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	173											23	23
21	21	60	60	0.0		0	0	Dynamic	3/4	1	1	0					f											
21	21	60	60	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	174												
21	21	243/4	243/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	175												
21	21	61	61	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	176												
21	21	62	62	0.0		1/2	1/2	Dynamic	3/4	1	1	0					fz											
21	21	62	62	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	177												
21	21	60	60	0.0		0	0	Spanner	3/4	2	1	0																
21	21	60	60	0.0		0	0	Spanner	3/4	2	1	0															24	24
21	21	60	60	0.75		0	0	Chord	3/4	2	1	3/16		1/8	3/2	178											24	24
21	21	243/4	243/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	179											24	24
21	21	61	61	0.0		1/4	1/4	Spanner	3/4	2	1	0																
21	21	61	61	0.0		1/4	1/4	Spanner	3/4	2	1	0															25	25
21	21	61	61	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180											25	25
21	21	62	62	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181											25	25
22	22	63	63	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	182												
22	22	255/4	255/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	183												
22	22	64	64	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	184												
22	22	65	65	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	185												
22	22	131/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	186												
22	22	65	65	0.0		1/2	1/2	Dynamic	3/4	1	2	0					fz											
22	22	65	65	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	187												
22	22	63	63	0.0		0	0	Spanner	3/4	2	1	0																
22	22	63	63	0.0		0	0	Spanner	3/4	2	1	0															26	26
22	22	63	63	0.75		0	0	Chord	3/4	2	1	3/16		1/8	3/2	188											26	26
22	22	255/4	255/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	189											26	26
22	22	64	64	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190											26	26
22	22	65	65	0.0		1/2	1/2	Spanner	3/4	2	1	0																
22	22	65	65	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191												
23	23	66	66	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	192												
23	23	267/4	267/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	193												
23	23	67	67	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	194												
23	23	68	68	0.0		1/2	1/2	Dynamic	3/4	1	1	0					fz											
23	23	68	68	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	195												
23	23	66	66	0.0		0	0	Spanner	3/4	2	1	0															27	27
23	23	66	66	0.75		0	0	Chord	3/4	2	1	3/16		1/8	3/2	196											27	27
23	23	267/4	267/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	197											27	27
23	23	67	67	0.0		1/4	1/4	Spanner	3/4	2	1	0																
23	23	67	67	0.0		1/4	1/4	Spanner	3/4	2	1	0															28	28
23	23	67	67	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	198											28	28
23	23	68	68	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	199											28	28
24	24	69	69	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	200												
24	24	279/4	279/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	201												
24	24	70	70	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	202												
24	24	71	71	0.0		1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	203												
24	24	71	71	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	204								18				
24	24	143/2	143/2	0.0		5/8	5/8	Dynamic	3/4	1	1	0					p											
24	24	143/2	143/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	205												
24	24	71	71	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	206												
24	24	69	69	0.0		0	0	Spanner	3/4	2	1	0																
24	24	69	69	0.0		0	0	Spanner	3/4	2	1	0															29	29
24	24	69	69	0.75		0	0	Chord	3/4	2	1	3/16		1/8	3/2	207											29	29
24	24	279/4	279/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	208											29	29
24	24	70	70	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	209											29	29
24	24	71	71	0.0		1/2	1/2	Spanner	3/4	2	1	0																
24	24	71	71	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	210		articAccentAbove										
25	25	72	72	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	211								19				
25	25	145/2	145/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	212												
25	25	73	73	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	213		articAccentBelow										
25	25	74	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	214								20				
25	25	149/2	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	215								20				
25	25	72	72	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	216												
25	25	72	72	0.0		0	0	Spanner	3/4	2	1	0															30	30
25	25	72	72	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	217											30	30
25	25	73	73	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	218											30	30
25	25	74	74	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	219											30	30
26	26	75	75	0.0		0	0	Spanner	3/4	1	1	0												20	3			
26	26	75	75	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	220								20	3			
26	26	151/2	151/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	221								20	3			
