mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	slur	crescendo_hairpin	diminuendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	113				15	0			
17	16	47	47	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	114					0			
17	16	46	46	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	115								
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	116								
17	16	47	47	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	117								
17	16	46	46	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	118								
17	16	47	47	0.75	1/4	1/4	Chord	3/4	2	2	3/16		1/8	3/2	119								
17	16	191/4	191/4	0.25	7/16	7/16	Chord	3/4	2	2	1/16		1/16	1	120				16				
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	121				17				
18	17	49	49	0.0	0	0	Spanner	3/4	1	1	0												
18	17	49	49	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	122				18				
18	17	199/4	199/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	123				18				
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	124				18				
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	125								
18	17	49	49	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	126								
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	127								
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	128								
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	129								
18	17	50	50	0.0	1/4	1/4	Spanner	3/4	2	1	0											0	0
18	17	50	50	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	130							0	0
18	17	49	49	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	131				19			0	0
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	132							0	0
19	18	52	52	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	133		ornamentShortTrill		20				
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	134				20				
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	135				20				
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	136								
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	137								
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0												
19	18	53	53	0.0	1/4	1/4	Spanner	3/4	2	1	0											1	1
19	18	53	53	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	138							1	1
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	139				21			1	1
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	140							1	1
20	19	55	55	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	141				22				
20	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	142				22				
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	143				22				
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	144				22				
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	145								
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	146								
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0												
20	19	56	56	0.0	1/4	1/4	Spanner	3/4	2	1	0											2	2
20	19	56	56	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	147							2	2
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	148				23			2	2
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	149							2	2
21	20	58	58	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	150		ornamentShortTrill		22				
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	151				22				
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	152				22				
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	153								
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	154								
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0												
21	20	59	59	0.0	1/4	1/4	Spanner	3/4	2	1	0											3	3
21	20	59	59	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	155							3	3
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	156				24			3	3
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	157							3	3
22	21	61	61	0.0	0	0	Dynamic	3/4	1	1	0					f							
22	21	61	61	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	158				25				
22	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	159				25				
22	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	160		ornamentShortTrill		25				
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	161				25				
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0												
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0											4	4
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	162							4	4
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	163							4	4
22	21	61	61	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	164							4	4
23	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	165		articStaccatoBelow		25				
23	22	129/2	129/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	166		articStaccatoBelow		25				
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	167		articStaccatoAbove		25				
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	168		articAccentStaccatoAbove						
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169							4	4
23	22	65	65	0.0	1/4	1/4	Spanner	3/4	2	1	0												
24	23	67	67	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	170				26				
24	23	68	68	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	171		articAccentBelow		26				
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	172				26				
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0											5	5
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	173							5	5
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	174							5	5
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	175							5	5
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	176				26				
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	177				26				
25	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	178				26				
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	179								
25	24	70	70	0.0	0	0	Spanner	3/4	2	1	0												
25	24	70	70	0.0	0	0	Spanner	3/4	2	1	0											6	6
25	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	180							6	6
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	181							6	6
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	182							6	6
26	25	73	73	0.0	0	0	Dynamic	3/4	1	1	0					p							
26	25	73	73	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	183				27				
26	25	74	74	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	184				27				
26	25	151/2	151/2	0.0	5/8	5/8	Spanner	3/4	1	1	0								27		0		
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	185				27		0		
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0												
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0											7	7
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	186							7	7
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187							7	7
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	188							7	7
27	26	76	76	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	189				27		0		
27	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	190				27		0		
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	191				27		0		
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	192				27		0		
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0												
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0											8	8
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	193							8	8
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	194							8	8
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	195							8	8
28	27	79	79	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	196				27		0		
28	27	80	80	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	197				27		0		
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	198				27		0		
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0												
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0											9	9
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	199							9	9
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200							9	9
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	201							9	9
29	28	82	82	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	202				27		0		
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	203				28		0		
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0												
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0											10	10
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	204							10	10
29	28	82	82	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	205							10	10
30	29	85	85	0.0	0	0	Dynamic	3/4	1	1	0					f			28				
30	29	85	85	0.0	0	0	Spanner	3/4	1	1	0								28				
30	29	85	85	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	206				28				
30	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	207				28				
30	29	87	87	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	208		ornamentShortTrill		28				
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	209				28				
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0												
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0											11	11
30	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	210							11	11
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	211							11	11
30	29	85	85	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	212							11	11
31	30	88	88	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	213				28				
31	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	214				28				
31	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	215		articStaccatoAbove		28				
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	216		articAccentStaccatoAbove						
31	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	217							11	11
31	30	89	89	0.0	1/4	1/4	Spanner	3/4	2	1	0												
31	30	88	88	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	218								
32	31	91	91	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	219				29				
32	31	92	92	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	220		articAccentBelow		29				
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	221				29				
32	31	91	91	0.0	0	0	Spanner	3/4	2	1	0											12	12
32	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	222							12	12
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	223							12	12
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	224							12	12
33	32	94	94	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	225				29				
33	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	226				29				
33	32	95	95	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	227				29				
33	32	96	96	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	228								
33	32	94	94	0.0	0	0	Spanner	3/4	2	1	0												
33	32	94	94	0.0	0	0	Spanner	3/4	2	1	0											13	13
33	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	229							13	13
33	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	230							13	13
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231							13	13
34	33	97	97	0.0	0	0	Dynamic	3/4	1	1	0					p							
34	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	232				30				
34	33	98	98	0.0	1/4	1/4	Spanner	3/4	1	1	0								30		1		
34	33	98	98	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	233				30		1		
34	33	199/2	199/2	0.0	5/8	5/8	Spanner	3/4	1	1	0								30				
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	234				30				
34	33	97	97	0.0	0	0	Spanner	3/4	2	1	0												
34	33	97	97	0.0	0	0	Spanner	3/4	2	1	0											14	14
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	235							14	14
34	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	236							14	14
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	237							14	14
35	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	238				30				
35	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	239				30				
35	34	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	240				30				
35	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	241				30				
35	34	100	100	0.0	0	0	Spanner	3/4	2	1	0												
35	34	100	100	0.0	0	0	Spanner	3/4	2	1	0											15	15
35	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	242							15	15
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	243							15	15
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	244							15	15
36	35	103	103	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	245				30				
36	35	104	104	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	246				30				
36	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	247								
36	35	103	103	0.0	0	0	Spanner	3/4	2	1	0												
36	35	103	103	0.0	0	0	Spanner	3/4	2	1	0											16	16
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	248							16	16
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	249							16	16
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	250							16	16
37	36	106	106	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	251								
37	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	252		articAccentBelow		31				
37	36	106	106	0.0	0	0	Spanner	3/4	2	1	0												
37	36	106	106	0.0	0	0	Spanner	3/4	2	1	0											17	17
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	253							17	17
37	36	108	108	0.0	1/2	1/2	Spanner	3/4	2	1	0												
