mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	92							10				
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	93							10				
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	94							10				
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	95							10				
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	96							10				
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0															
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0												10	10		
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	97								10	10		
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	98								10	10		
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	99								10	10		
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	100											
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	101							11				
13	12	35	35	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	102							11				
13	12	35	35	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	103							11				
13	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	104							11				
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	105		articAccentAbove									
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0															
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0												11	11		
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	106								11	11		
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	107								11	11		
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	108								11	11		
14	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	109							12				
14	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	110							12				
14	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	111							12				
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	112							12				
14	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	113							12				
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	114							12				
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0															
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0												12	12		
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	115								12	12		
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116								12	12		
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	117								12	12		
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	118											
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	119							13				
15	14	41	41	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	120							13				
15	14	41	41	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	121							13				
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	122							13				
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	123		articAccentBelow									
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0															
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0												13	13		
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	124								13	13		
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	125								13	13		
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	126								13	13		
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	127							14				
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	128							14				
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	129							14				
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	130							14				
16	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	131							14				
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	132							14				
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0															
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0												14	14		
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	133								14	14		
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	134								14	14		
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	135								14	14		
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	136											
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	137							15				
17	16	47	47	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	138							15				
17	16	47	47	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	139							15				
17	16	95/2	95/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	140							15				
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	141		articAccentBelow									
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0															
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0												15	15		
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	142								15	15		
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	143								15	15		
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144								15	15		
18	17	49	49	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	145							16				
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	146							16				
18	17	49	49	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	147											
18	17	50	50	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	148											
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0															
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149											
18	17	50	50	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	150											
18	17	49	49	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	151											
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	152											
19	18	52	52	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	153							16				
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	154							16				
19	18	53	53	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	155							16				
19	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	156							16				
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	157							16				
19	18	52	52	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	158											
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	159											
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0												16	16		
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	160								16	16		
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	161								16	16		
20	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	162							16				
20	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	163							16				
20	19	56	56	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	164							16				
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	165							16				
20	19	55	55	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	166											
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	167											
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0															
20	19	55	55	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	168											
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	169											
21	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	170							16				
21	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	171							16				
21	20	59	59	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	172							16				
21	20	59	59	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	173							16				
21	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	174							16				
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	175							16				
21	20	58	58	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	176											
21	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	177											
21	20	59	59	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	178											
21	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	179											
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	180											
21	20	58	58	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	181											
22	21	61	61	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	182							16				
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	183							16				
22	21	61	61	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	184											
22	21	62	62	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	185											
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	186											
22	21	62	62	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	187											
22	21	61	61	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	188											
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	189											
23	22	64	64	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	190							16				
23	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	191							16				
23	22	65	65	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	192							16				
23	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	193							16				
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	194							16				
23	22	64	64	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	195											
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	196											
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0												17	17		
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	197								17	17		
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	198								17	17		
24	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	199							16				
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	200							16				
24	23	68	68	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	201							16				
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	202							16				
24	23	67	67	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	203											
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	204											
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	205											
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0															
24	23	67	67	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	206											
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	207							17				
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	208											
25	24	70	70	0.0	0	0	Spanner	3/4	1	1	0											16				0
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	209							16				0
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	210							16				0
25	24	71	71	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	211							16				0
25	24	70	70	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	212											0
25	24	70	70	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	213							17				
25	24	70	70	0.75	0	0	Chord	3/4	2	2	3/16		1/8	3/2	214											
25	24	283/4	283/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	215											
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	216											
25	24	72	72	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	217											
25	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	218											
26	25	73	73	0.0	0	0	Spanner	3/4	1	1	0											16				
26	25	73	73	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	219							16				
26	25	75	75	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	220							16				
26	25	73	73	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	221											
26	25	74	74	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	222											
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	223											
26	25	74	74	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	224											
26	25	73	73	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	225											
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	226											
27	26	76	76	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	227							16				
27	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	228							16				
27	26	77	77	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	229							16				
27	26	155/2	155/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	230							16				
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	231							16				
27	26	76	76	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	232											
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	233											
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0												18	18		
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	234								18	18		
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	235								18	18		
28	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	236							16				
28	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	237							16				
28	27	80	80	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	238							16				
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	239							16				
28	27	79	79	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	240											
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	241											
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0															
28	27	79	79	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	242											
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	243											
29	28	82	82	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	244							16				
29	28	165/2	165/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	245							16				
29	28	83	83	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	246							16				
29	28	83	83	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	247							16				
29	28	167/2	167/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	248							16				
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	249							16				
29	28	82	82	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	250											
29	28	165/2	165/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	251											
29	28	83	83	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	252											
29	28	167/2	167/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	253											
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	254											
29	28	82	82	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	255											
30	29	85	85	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	256							16				
30	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	257							16				
30	29	85	85	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	258											
