mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	decrescendo_hairpin	crescendo_hairpin
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	23													
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	2	1	0													0	0			
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	24									0	0			
4	4	23/2	23/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																	
4	4	9	9	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	25													
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	26													
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	27													
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	28								0					
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	29			articAccentBelow					0					
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	30													
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	31													
5	5	12	12	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	32													
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	33													
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	34								0					
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	35								0					
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	36													
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	37													
7	7	18	18	0.0	0	0	Spanner	3/4	1	1	0												0				0	
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	38								0				0	
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	39								0				0	
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	40													
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	41													
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	42												0	
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	1	1	0																	
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	43								1					
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	44													
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	45								1					
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	46								1					
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	47								1					
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	48								1					
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0													1	1			
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49									1	1			
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50									1	1			
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	51								1					
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	52								1					
10	10	28	28	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	53								1					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	54								1					
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																	
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0													2	2			
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	55									2	2			
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56									2	2			
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57									2	2			
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	58			ornamentShortTrill					1					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	59								1					
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	60								1					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	61								1					
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	62								1					
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																	
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0													3	3			
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	63									3	3			
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	64									3	3			
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	65									3	3			
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	66								1					
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	67								1					
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	68								2					
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	69								2					
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																	
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0													4	4			
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	70								3	4	4			
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	71									4	4			
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	72								2					
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	73								2					
13	13	37	37	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	74								2					
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	75								2					
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																	
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0													5	5			
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	76									5	5			
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	77									5	5			
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78									5	5			
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	79								2					
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	80								2					
14	14	40	40	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	81								2					
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	82								2					
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																	
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0													6	6			
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	83									6	6			
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84									6	6			
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	85									6	6			
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	86								2					
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	87								2					
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	88								2					
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	89								2					
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	90								2					
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0																	
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0													7	7			
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	91									7	7			
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	92									7	7			
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	93									7	7			
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	94								2					
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	95								2					
16	16	46	46	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	96								2					
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	97								2					
16	16	45	45	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	98													
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	99													
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																	
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0													8	8			
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	100									8	8			
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	101									8	8			
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	102									8	8			
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	103								2					
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	104								2					
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	105								2					
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	106								2					
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	107								2					
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																	
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0													9	9			
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	108								4	9	9			
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	109									9	9			
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	110								2					
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	111								2					
18	18	52	52	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	112								2					
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	113								2					
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0																	
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0													10	10			
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	114									10	10			
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	115									10	10			
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	116									10	10			
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	117			ornamentMordent					2					
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	118								2					
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	119								2					
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	120								2					
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	121								2					
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																	
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	122													
19	19	55	55	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	123													
19	19	54	54	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	124													
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	125													
20	20	57	57	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	126								2					
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	127								2					
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	128								2					
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	129								2					
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	130								2					
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	131													
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	132													
20	20	57	57	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	133													
21	21	60	60	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	134								2					
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	135								2					
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	136								2					
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	137								2					
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0													11	11			
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	138									11	11			
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	139									11	11			
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	140									11	11			
22	22	63	63	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	141								2					
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	142								2					
22	22	64	64	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	143								2					
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	144								2					
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																	
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0													12	12			
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	145									12	12			
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	146									12	12			
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147									12	12			
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	148			ornamentShortTrill					2					
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	149								2					
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	150								2					
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	151								2					
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	152								2					
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	153								2					
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																	
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0													13	13			
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	154									13	13			
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	155									13	13			
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	156									13	13			
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	157								2					
24	24	139/2	139/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	158								2					
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	159								2					
24	24	70	70	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	160								2					
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	161								2					
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0																	
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0													14	14			
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	162									14	14			
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	163									14	14			
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	164									14	14			
25	25	72	72	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	165								2					
25	25	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	166								2					
25	25	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	167								2					
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	168								2					
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	169								2					
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	170								2					
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	171								2					
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																	
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	172													
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	173													
25	25	72	72	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	174													
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	175								2					
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	176								2					
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	177								2					
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0													15	15			
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	178									15	15			
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	179									15	15			
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	180									15	15			
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	181								2					
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	182								2					
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	183								2					
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	184								2					
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	185								2					
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	186								2					
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																	
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0													16	16			
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	187									16	16			
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	188									16	16			
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	189									16	16			
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	190								2					
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	191								2					
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	192								2					
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																	
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0													17	17			
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	193								5	17	17			
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	194									17	17			
28	28	83	83	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	195								6					
29	29	84	84	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	196													
29	29	85	85	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	197			articAccentAbove					7					
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	198								7					
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0													18	18			
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	199									18	18			
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	200			articAccentAbove						18	18			
30	30	87	87	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	201								7					
30	30	87	87	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	202								7					
30	30	351/4	351/4	0.0	3/16	3/16	Spanner	3/4	1	1	0												7					0
30	30	351/4	351/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	203								7					0
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	204								7					0
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	205								7					0
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																	
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	206													
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	207								8					
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	208													
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0												7					
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	209								7					
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	210								7					
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	211								7					
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	212								7					
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	213								7					
31	31	91	91	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	214													
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	215								9					
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	216													
32	32	93	93	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	217								7					
32	32	93	93	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	218								7					
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	219								7					
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	220								7					
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	221								7					
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	222								7					
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	223													
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	224								10					
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	225													
33	33	96	96	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	226								7					
33	33	387/4	387/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	227								7					
33	33	97	97	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	228								7					
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	229								7					
33	33	97	97	0.0	1/4	1/4	Spanner	3/4	2	1	0													19	19			
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	230								11	19	19			
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231									19	19			
34	34	99	99	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	232								7					
34	34	99	99	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	233								7					
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	234								7					
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	235								7					
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	236								7					
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																	
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0													20	20			
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	237									20	20			
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	238								12	20	20			
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	239									20	20			
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	240								7					
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	241								7					
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	242								7					
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	243								7					
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	244								7					
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0																	
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0													21	21			
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	245									21	21			
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	246									21	21			
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	247									21	21			
36	36	105	105	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	248								7					
36	36	105	105	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	249								7					
36	36	105	105	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	250								7					
