mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	decrescendo_hairpin	crescendo_hairpin
5	5	37/3	37/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	13									1					
5	5	38/3	38/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	14									1					
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	15		articAccentBelow							1					
5	5	14	14	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	16									1, 2					
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	17									1					
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																	
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	18														
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	19														
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	20		articAccentAbove							3					
6	6	15	15	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	21									1					
6	6	46/3	46/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	22									1					
6	6	47/3	47/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	23									1					
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	24		articAccentBelow												
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	1	1	0																	0
6	6	17	17	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	25									4					0
6	6	71/4	71/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	26									4					0
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	27		articStaccatoAbove												
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	28														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	29		articAccentAbove							5					
7	7	18	18	0.0	0	0	Dynamic	3/4	1	1	0				fz								4					
7	7	18	18	0.0	0	0	Spanner	3/4	1	1	0												4					
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	30									4					
7	7	19	19	0.0	1/4	1/4	Spanner	3/4	1	1	0												4				1	
7	7	19	19	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	31									4				1	
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	32									4				1	
7	7	20	20	0.0	1/2	1/2	Spanner	3/4	1	1	0												4					
7	7	20	20	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	33									4					
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	34														
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	35														
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	36														
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	37														
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0																	1
8	8	21	21	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	38									6					1
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	39									6					1
8	8	22	22	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	40									6					1
8	8	91/4	91/4	0.0	7/16	7/16	Spanner	3/4	1	1	0												6					
8	8	91/4	91/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	41									6					
8	8	23	23	0.0	1/2	1/2	Dynamic	3/4	1	1	0				fz								6					
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	1	1	0												6				2	
8	8	23	23	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	42									6				2	
8	8	95/4	95/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	43													2	
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0													1	1			
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	44		articStaccatoBelow								1	1			
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	45		articStaccatoAbove								1	1			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	46		articAccentAbove							7	1	1			
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0																	
9	9	24	24	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	47									8					
9	9	73/3	73/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	48									8					
9	9	74/3	74/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	49									8					
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	50		articAccentBelow							8					
9	9	26	26	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	51									8, 9					
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	52									8					
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																	
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	53														
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	54		articStaccatoAbove												
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	55		articAccentAbove							10					
10	10	27	27	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	56									8					
10	10	82/3	82/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	57									8					
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	58									8					
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	59		articAccentBelow												
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	1	1	0																	2
10	10	29	29	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	60									11					2
10	10	119/4	119/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	61									11					2
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	62														
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	63		articStaccatoAbove												
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	64		articAccentAbove							12					
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0				fz								11					
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0												11					
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	65									11					
11	11	31	31	0.0	1/4	1/4	Spanner	3/4	1	1	0												11				3	
11	11	31	31	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	66									11				3	
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	67									11				3	
11	11	32	32	0.0	1/2	1/2	Spanner	3/4	1	1	0												11					
11	11	32	32	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	68									11					
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	69														
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	70														
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	71		articStaccatoAbove												
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	72		articStaccatoAbove												
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																	3
12	12	33	33	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	73									13					3
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	74									13					3
12	12	34	34	0.0	1/4	1/4	Spanner	3/4	1	1	0												13					
12	12	34	34	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	75									13					
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	76									13					
12	12	35	35	0.0	1/2	1/2	Spanner	3/4	1	1	0												13				4	
12	12	35	35	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	77									13				4	
12	12	143/4	143/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	78													4	
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																	4
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0													2	2			4
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	79										2	2			4
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	80		articStaccatoAbove								2	2			4
12	12	35	35	0.0	1/2	1/2	Spanner	3/4	2	1	0													2	2			
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	81									14	2	2			
13	13	36	36	0.0	0	0	StaffText	3/4	1	1	0						sotto voce											
13	13	36	36	0.0	0	0	Spanner	3/4	1	1	0																	
13	13	36	36	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	82									15					
13	13	109/3	109/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	83									15					
13	13	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	84									15					
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	85		articAccentBelow							15					
13	13	38	38	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	86									15					
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	87									15					
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																	
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	88														
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	89		articStaccatoAbove												
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	90		articAccentAbove							16					
14	14	39	39	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	91									15					
14	14	118/3	118/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	92									15					
14	14	119/3	119/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	93									15					
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	94														
14	14	41	41	0.0	1/2	1/2	Spanner	3/4	1	1	0																	5
14	14	41	41	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	95									17					5
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	96									17					5
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	97														
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	98		articStaccatoAbove												
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	99		articAccentAbove							18					
15	15	42	42	0.0	0	0	Dynamic	3/4	1	1	0				fz								17					
15	15	42	42	0.0	0	0	Spanner	3/4	1	1	0												17					
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	100									17					
15	15	43	43	0.0	1/4	1/4	Spanner	3/4	1	1	0												17				5	
15	15	43	43	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	101									17				5	
15	15	175/4	175/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	102									17				5	
15	15	44	44	0.0	1/2	1/2	Spanner	3/4	1	1	0												17					
15	15	44	44	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	103									17					
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	104														
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	105														
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	106		articStaccatoAbove												
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	107		articStaccatoAbove												
16	16	45	45	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	108									19					
16	16	183/4	183/4	0.0	3/16	3/16	Spanner	3/4	1	1	0												19					6
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	109									19					6
16	16	46	46	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	110									19					6
16	16	187/4	187/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	111									19					6
16	16	47	47	0.0	1/2	1/2	Dynamic	3/4	1	1	0				fz								19					
16	16	47	47	0.0	1/2	1/2	Spanner	3/4	1	1	0												19					
16	16	47	47	0.0	1/2	1/2	Spanner	3/4	1	1	0												19				6	
16	16	47	47	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	112									19				6	
16	16	191/4	191/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	113													6	
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0													3	3			
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	114										3	3			
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	115										3	3			
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	116		articAccentAbove							20	3	3			
17	17	48	48	0.0	0	0	Spanner	3/4	1	1	0																	
17	17	48	48	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	117									21					
17	17	145/3	145/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	118									21					
17	17	146/3	146/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	119									21					
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	120		articAccentBelow							21					
17	17	50	50	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	121									21, 22					
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	122									21					
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																	
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	123														
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	124		articStaccatoAbove												
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	125		articAccentAbove							23					
18	18	51	51	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	126									21					
18	18	154/3	154/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	127									21					
18	18	155/3	155/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	128									21					
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	129		articAccentBelow												
18	18	53	53	0.0	1/2	1/2	Spanner	3/4	1	1	0																	7
18	18	53	53	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	130									24					7
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	131									24					7
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	132														
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	133		articStaccatoAbove												
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	134		articAccentAbove							25					
19	19	54	54	0.0	0	0	Dynamic	3/4	1	1	0				fz								24					
19	19	54	54	0.0	0	0	Spanner	3/4	1	1	0												24					
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	135									24					
19	19	55	55	0.0	1/4	1/4	Spanner	3/4	1	1	0												24				7	
19	19	55	55	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	136									24				7	
19	19	223/4	223/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	137									24				7	
19	19	56	56	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	138									24				7	
19	19	227/4	227/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	139													7	
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	140														
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	141														
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	142														
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0																	
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0																	8
20	20	57	57	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	143									26					8
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	144									26					8
20	20	58	58	0.0	1/4	1/4	Spanner	3/4	1	1	0												26					
20	20	58	58	0.0	1/4	1/4	Spanner	3/4	1	1	0												26			0		
20	20	58	58	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	145									26			0		
20	20	235/4	235/4	0.0	7/16	7/16	Spanner	3/4	1	1	0												26					
20	20	235/4	235/4	0.0	7/16	7/16	Spanner	3/4	1	1	0												26				8	
20	20	235/4	235/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	146									26				8	
20	20	59	59	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	147									26				8	
20	20	239/4	239/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	148													8	
20	20	60	60	0.0	3/4	3/4	Spanner	3/4	1	1	0																	
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0													4	4			
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	149										4	4			
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	150										4	4			
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	151										4	4			
20	20	60	60	0.0	3/4	3/4	Spanner	3/4	2	1	0																	
