mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
7	6	33/2	33/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	44	articMarcatoAbove			2			
7	6	17	17	0.0		3/8	3/8	Spanner	3/4	1	1	0											
7	6	69/4	69/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	45							
7	6	35/2	35/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	46							
7	6	18	18	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	47							
7	6	31/2	31/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	48							
7	6	33/2	33/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	49							
7	6	35/2	35/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	50							
8	7	37/2	37/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	51							
8	7	39/2	39/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	52							
8	7	81/4	81/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	53							
8	7	41/2	41/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	54							
8	7	21	21	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	55							
8	7	37/2	37/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	56							
8	7	39/2	39/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57							
8	7	41/2	41/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58							
9	8	43/2	43/2	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	59							
9	8	131/6	131/6	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	60							
9	8	133/6	133/6	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	61							
9	8	45/2	45/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	62							
9	8	43/2	43/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	63							
9	8	45/2	45/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	64							
10	8	24	24	0.5		0	5/8	Chord	3/4	1	1	1/8		1/8	1	65							
11	9	49/2	49/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	66							
11	9	51/2	51/2	0.0		1/4	1/4	Spanner	3/4	1	1	0									2		
11	9	51/2	51/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	67					2		
11	9	105/4	105/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	68					2		
11	9	53/2	53/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	69					2		
11	9	27	27	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	70	articMarcatoAbove				2		
11	9	49/2	49/2	0.0		0	0	Spanner	3/4	2	1	0										3	3
11	9	49/2	49/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	71						3	3
11	9	51/2	51/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	72						3	3
11	9	53/2	53/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	73						3	3
12	10	55/2	55/2	0.0		0	0	Spanner	3/4	1	1	0											
12	10	55/2	55/2	0.0		0	0	Spanner	3/4	1	1	0								3			
12	10	55/2	55/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	74	articMarcatoAbove			3			
12	10	57/2	57/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	75	articMarcatoAbove			3			
12	10	29	29	0.0		3/8	3/8	Spanner	3/4	1	1	0											
12	10	117/4	117/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	76							
12	10	59/2	59/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	77							
12	10	121/4	121/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	78			0				
12	10	55/2	55/2	0.0		0	0	Spanner	3/4	2	1	0											
12	10	55/2	55/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	79							
12	10	57/2	57/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	80							
12	10	59/2	59/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81							
13	11	61/2	61/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	82							
13	11	63/2	63/2	0.0		1/4	1/4	Spanner	3/4	1	1	0									3		
13	11	63/2	63/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	83					3		
13	11	129/4	129/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	84					3		
13	11	65/2	65/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	85					3		
13	11	33	33	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	86	articMarcatoAbove				3		
13	11	61/2	61/2	0.0		0	0	Spanner	3/4	2	1	0										4	4
13	11	61/2	61/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	87						4	4
13	11	63/2	63/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	88						4	4
13	11	65/2	65/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	89						4	4
14	12	67/2	67/2	0.0		0	0	Spanner	3/4	1	1	0											
14	12	67/2	67/2	0.0		0	0	Spanner	3/4	1	1	0								4			
14	12	67/2	67/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	90	articMarcatoAbove			4			
14	12	69/2	69/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	91	articMarcatoAbove			4			
14	12	35	35	0.0		3/8	3/8	Spanner	3/4	1	1	0											
14	12	71/2	71/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	92							
14	12	36	36	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	93							
14	12	67/2	67/2	0.0		0	0	Spanner	3/4	2	1	0											
14	12	67/2	67/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	94							
14	12	69/2	69/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	95							
14	12	71/2	71/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96							
15	13	73/2	73/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	97							
15	13	75/2	75/2	0.0		1/4	1/4	Spanner	3/4	1	1	0									4		
15	13	75/2	75/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	98					4		
15	13	153/4	153/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	99					4		
15	13	77/2	77/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	100					4		
15	13	39	39	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	101	articMarcatoAbove				4		
15	13	73/2	73/2	0.0		0	0	Spanner	3/4	2	1	0										5	5
15	13	73/2	73/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	102						5	5
15	13	75/2	75/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	103						5	5
15	13	77/2	77/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	104						5	5
16	14	79/2	79/2	0.0		0	0	Spanner	3/4	1	1	0											
16	14	79/2	79/2	0.0		0	0	Spanner	3/4	1	1	0								5			
16	14	79/2	79/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	105	articMarcatoAbove			5			
16	14	81/2	81/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	106	articMarcatoAbove			5			
16	14	41	41	0.0		3/8	3/8	Spanner	3/4	1	1	0											
16	14	165/4	165/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	107							
16	14	83/2	83/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	108							
16	14	169/4	169/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	109			1				
16	14	79/2	79/2	0.0		0	0	Spanner	3/4	2	1	0											
16	14	79/2	79/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	110							
16	14	81/2	81/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	111							
16	14	83/2	83/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	112							
17	15	85/2	85/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	113							
17	15	87/2	87/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	114							
17	15	177/4	177/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	115							
17	15	89/2	89/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	116							
17	15	45	45	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	117	articMarcatoAbove						
17	15	85/2	85/2	0.0		0	0	Spanner	3/4	2	1	0										6	6
17	15	85/2	85/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	118						6	6
17	15	87/2	87/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119						6	6
17	15	89/2	89/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	120						6	6
18	16	91/2	91/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	121	articMarcatoAbove						
18	16	93/2	93/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	122	articMarcatoAbove						
18	16	189/4	189/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	123							
18	16	95/2	95/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	124							
18	16	193/4	193/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	125							
18	16	91/2	91/2	0.0		0	0	Spanner	3/4	2	1	0											
18	16	91/2	91/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	126							
18	16	93/2	93/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	127							
19	17	97/2	97/2	0.0		0	0	Spanner	3/4	1	1	0									5		
19	17	97/2	97/2	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	128					5		
19	17	197/4	197/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	129					5		
19	17	99/2	99/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	130					5		
19	17	50	50	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	131					5		
19	17	101/2	101/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	132					5		
19	17	51	51	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	133	articMarcatoAbove				5		
19	17	97/2	97/2	0.0		0	0	Spanner	3/4	2	1	0										7	7
19	17	97/2	97/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	134						7	7
19	17	99/2	99/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135						7	7
19	17	101/2	101/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136						7	7
20	18	103/2	103/2	0.0		0	0	Spanner	3/4	1	1	0											
20	18	103/2	103/2	0.0		0	0	Spanner	3/4	1	1	0								6			
20	18	103/2	103/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	137	articMarcatoAbove			6			
20	18	105/2	105/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	138	articMarcatoAbove			6			
20	18	53	53	0.0		3/8	3/8	Spanner	3/4	1	1	0											
20	18	213/4	213/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	139							
20	18	107/2	107/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	140							
20	18	54	54	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	141							
20	18	103/2	103/2	0.0		0	0	Spanner	3/4	2	1	0											
20	18	103/2	103/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	142							
20	18	105/2	105/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	143							
20	18	107/2	107/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144							
21	19	109/2	109/2	0.0		0	0	Spanner	3/4	1	1	0								7			
21	19	109/2	109/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	145				7			
21	19	111/2	111/2	0.0		1/4	1/4	Spanner	3/4	1	1	0											
21	19	111/2	111/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	146							
21	19	225/4	225/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	147							
21	19	113/2	113/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	148							
21	19	57	57	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	149							
21	19	109/2	109/2	0.0		0	0	Spanner	3/4	2	1	0										8	8
21	19	109/2	109/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	150						8	8
21	19	111/2	111/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	151						8	8
21	19	113/2	113/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	152						8	8
22	20	115/2	115/2	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	153							
22	20	233/4	233/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	154							
22	20	117/2	117/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	155							
22	20	59	59	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	156							
22	20	119/2	119/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	157							
22	20	115/2	115/2	0.0		0	0	Spanner	3/4	2	1	0											
22	20	115/2	115/2	0.0		0	0	Spanner	3/4	2	1	0										9	9
22	20	115/2	115/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	158						9	9
22	20	117/2	117/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	159						9	9
22	20	119/2	119/2	0.0		1/2	1/2	Spanner	3/4	2	1	0											
22	20	119/2	119/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	160							
23	21	121/2	121/2	0.0		0	0	Spanner	3/4	1	1	0									6		
23	21	121/2	121/2	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	161					6		
23	21	245/4	245/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	162					6		
23	21	123/2	123/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	163					6		
23	21	62	62	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	164					6		
23	21	125/2	125/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	165					6		
23	21	63	63	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	166	articMarcatoAbove				6		
23	21	121/2	121/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	167							
23	21	123/2	123/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	168							
23	21	125/2	125/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	169							
24	22	127/2	127/2	0.0		0	0	Spanner	3/4	1	1	0											
24	22	127/2	127/2	0.0		0	0	Spanner	3/4	1	1	0								8			
24	22	127/2	127/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	170	articMarcatoAbove			8			
24	22	129/2	129/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	171	articMarcatoAbove			8			
24	22	65	65	0.0		3/8	3/8	Spanner	3/4	1	1	0											
24	22	261/4	261/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	172							
24	22	131/2	131/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	173							
24	22	66	66	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	174							
24	22	127/2	127/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	175							
24	22	129/2	129/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	176							
24	22	131/2	131/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	177							
25	23	133/2	133/2	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	178							
25	23	135/2	135/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	179							
25	23	273/4	273/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	180							
25	23	137/2	137/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	181							
25	23	69	69	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	182							
25	23	133/2	133/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	183							
25	23	135/2	135/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	184							
25	23	137/2	137/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	185							
26	24	139/2	139/2	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	186							
26	24	419/6	419/6	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	187							
26	24	421/6	421/6	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	188							
26	24	141/2	141/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	189							
26	24	139/2	139/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	190							
26	24	141/2	141/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	191							
27	24	72	72	0.0		0	5/8	SystemText	3/4	1	1	0						Trio					
27	24	72	72	0.5		0	5/8	Chord	3/4	1	1	1/8		1/8	1	192							
28	25	145/2	145/2	0.0		0	0	Spanner	3/4	1	1	0									7		
28	25	145/2	145/2	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	193					7		
28	25	437/6	437/6	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	194					7		
28	25	439/6	439/6	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	195					7		
28	25	147/2	147/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	196	articStaccatoAbove				7		
28	25	149/2	149/2	0.0		1/2	1/2	Spanner	3/4	1	1	0											
28	25	149/2	149/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	197	articStaccatoAbove						
28	25	145/2	145/2	0.0		0	0	Spanner	3/4	2	1	0										10	10
28	25	145/2	145/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	198						10	10
28	25	147/2	147/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	199						10	10
28	25	149/2	149/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	200						10	10
29	26	151/2	151/2	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	201							
29	26	455/6	455/6	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	202							
29	26	457/6	457/6	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	203							
29	26	153/2	153/2	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	204							
29	26	78	78	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	205							
29	26	151/2	151/2	0.0		0	0	Spanner	3/4	2	1	0											
29	26	151/2	151/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	206							
29	26	153/2	153/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	207							
29	26	155/2	155/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	208							
30	27	157/2	157/2	0.0		0	0	Spanner	3/4	1	1	0								9			
30	27	157/2	157/2	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	209				9			
30	27	157/2	157/2	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	210				9			
30	27	80	80	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	211				9			
30	27	161/2	161/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	212				9			
30	27	81	81	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	213				9			
30	27	157/2	157/2	0.0		0	0	Spanner	3/4	2	1	0										11	11
30	27	157/2	157/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	214						11	11
30	27	159/2	159/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	215						11	11
30	27	161/2	161/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	216						11	11
31	28	163/2	163/2	0.0		0	0	Spanner	3/4	1	1	0											
31	28	163/2	163/2	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	217	ornamentTrill						
31	28	329/4	329/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	218							
31	28	165/2	165/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	219			2				
31	28	83	83	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	220			2				
31	28	167/2	167/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	221			2				
31	28	84	84	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	222			2				
31	28	163/2	163/2	0.0		0	0	Spanner	3/4	2	1	0											
31	28	163/2	163/2	0.0		0	0	Spanner	3/4	2	1	0										12	12
31	28	163/2	163/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	223						12	12
31	28	165/2	165/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	224						12	12
31	28	167/2	167/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	225						12	12
32	29	169/2	169/2	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	226			2				
